Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.097959946135691,1.7060716226728994,0.03742026764794097,0.9328800172512282,2.302198845842139,1.8769926356936995,0.04082285361312105,0.9180575046853883
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1055743110843745,1.7081527238414276,0.03744785826089741,0.9325055743522124,2.1626729192514156,1.766242009782071,0.03905292750175555,0.9271113790695783
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1174832489570914,1.730983286781987,0.037906345852322436,0.9313822200468397,2.186630798779341,1.7545735464417285,0.03881521777466206,0.9271406413083588
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.109084448592799,1.7090033168609913,0.037467744465819984,0.9314068469932586,2.2864223459578947,1.8788930701987947,0.04118492853213376,0.9227047656813853
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1042456425182174,1.7124651315403316,0.03760519748647934,0.932468426619876,2.2568161863052816,1.815244932485181,0.03933827589256578,0.9211366589303125
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1164710856220132,1.721692435480362,0.03776287300999196,0.9323571600089257,2.1567714165648,1.7524214799728126,0.038015426690372264,0.9251623854529273
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.107418841017533,1.7140483133591369,0.037589966263870296,0.9322749950048799,2.2565465668541025,1.809719399198561,0.040214709015151125,0.9213246260761427
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0969820574496643,1.701735931538303,0.03736862121594387,0.9325016924220138,2.325407537967045,1.876877468698393,0.04065765825502304,0.9185566952221216
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1160660632636534,1.7252472078498975,0.037723155461820285,0.930929680382474,2.211361827209945,1.7895383140572827,0.039825658493159964,0.9276893336920551
Local Model,203,M,Chemical + CS1 + CS3 + CS7,"(4304, 8)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1006895287237843,1.704279180475782,0.03740519744877075,0.9323780411342109,2.1931713220370086,1.7943286819458009,0.0389252040454558,0.9270920753797327
