Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,203,"(4304, 6)",1,Chemical + Feature Engineering,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.742342447785993,0.14832932949085714,2.148202896162521,0.11593637404996354,0.04589803612808563,0.002709036847481931,0.8718513703818217,0.047173033027160576,3.95527409468554,1.645346853235989,2.953970336219137,0.9690906157135941,0.06672480013597083,0.02202286968210641,0.5806107006283209,0.5386104892165372
Local Model,203,"(4304, 6)",1,Chemical + Feature Engineering,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",2.9484539501106775,0.011335852673575342,2.2654112986648567,0.006745866917895812,0.04854459923398068,0.00011548915599432574,0.8610835191978827,0.0010671152334246845,3.423499483570278,0.03884780261015285,2.71311875207822,0.019106514617868754,0.06262459606473575,0.0005888836728322398,0.8421794317441863,0.003591207885184292
Local Model,203,"(4304, 6)",1,Chemical + Feature Engineering,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.9074566718242685,0.02186399407385925,2.2536345737873025,0.01873252435263898,0.048542036143542126,0.00035295740272957076,0.8707423680599029,0.0018046401789132008,3.070412933427287,0.09550492660098472,2.3672502910220934,0.08194592638842917,0.05114955637742728,0.0018625875926812187,0.855520771901427,0.00806362746371852
Local Model,203,"(4304, 6)",1,Chemical + Feature Engineering,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.9114971402835823,0.03439070157623392,2.253591939733534,0.027171474549945583,0.047569728693749425,0.0009017978814926415,0.8310330809992563,0.03836838916853929,4.263471394329627,0.7866860957359436,3.2375669676826373,0.5535579620219863,0.07218744106949986,0.011717118274467267,0.7108268795977272,0.17093180192106322
Local Model,203,"(4304, 6)",7,Chemical + Feature Engineering,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.050286531126592,0.13814953158729473,1.6319982858887772,0.11949035324003851,0.034250474609574276,0.0031620938435253875,0.9276485754646887,0.029666271185445393,6.154186146046263,3.780973729663223,4.34023394948137,2.004380556703987,0.09766879295928985,0.04548982089176464,-0.3566697111078945,2.15297233014841
Local Model,203,"(4304, 6)",7,Chemical + Feature Engineering,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",2.1267834715163447,0.03424313424682314,1.6884644555489388,0.03319228314457218,0.03538719204962523,0.0008628173717848767,0.9279443324241629,0.002331183435860629,4.9320957727765595,0.8208769307494838,3.8560627390972066,0.6333090641249202,0.08881787432156746,0.016991862634343224,0.6614627926781192,0.10442145188681438
Local Model,203,"(4304, 6)",7,Chemical + Feature Engineering,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.200012009063029,0.10857759826497498,1.748970280334911,0.09449261027392714,0.03717508422986899,0.0021192840364896385,0.9259062917912072,0.0077587203638446005,3.0273812690599167,0.16215017201328122,2.3673263154485644,0.13843722928376928,0.05141043923831725,0.0033151233620714268,0.8588403923252881,0.01396663661652555
Local Model,203,"(4304, 6)",7,Chemical + Feature Engineering,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.24843068444517,0.23333986694074435,1.7973888637626012,0.20576872948413327,0.037126886461364576,0.004046320970211517,0.8980433925846587,0.03406946605205036,6.663358628926007,3.5624132375713007,4.94328808670829,2.4967474713215023,0.11123407748284445,0.05324474253580515,0.027906261920369928,1.3866682850224215
Local Model,203,"(4304, 6)",14,Chemical + Feature Engineering,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.9727705028727522,0.15918715900826763,1.570564657890011,0.1275450145174229,0.032511670683974855,0.0024150961001311497,0.9338214381487152,0.023925555770319372,7.489954340444211,5.499448882391555,5.032706208285272,2.303229053624483,0.11227105713452559,0.053784628553295445,-1.1893880908588383,4.570236654923227
Local Model,203,"(4304, 6)",14,Chemical + Feature Engineering,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.751571842968289,0.029818509648798192,1.389713087764731,0.020682337663858796,0.02894546748384935,0.0003755958720016026,0.9511629434121893,0.0016648015013053525,5.587474241015745,0.7963989768910953,4.34217132031618,0.6681099334938632,0.09863065896283833,0.015218305349883249,0.5670283794162717,0.12348923427586045
Local Model,203,"(4304, 6)",14,Chemical + Feature Engineering,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7678310878677483,0.0521674592396837,1.3981589909820087,0.04346011597300368,0.029151988535303104,0.0007615420511419362,0.9520218037358608,0.0027953369402509065,3.230554001068558,0.10555530635009579,2.505759915470961,0.0823259799770487,0.054175486920005574,0.0019433722319070039,0.837961311862326,0.011119432351130902
Local Model,203,"(4304, 6)",14,Chemical + Feature Engineering,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8543119625432738,0.1295886983211299,1.474683475776075,0.10646892117126962,0.030459144578878567,0.0021998371716664506,0.9308390081134255,0.022236686535378282,6.945227242784234,2.222936635137356,5.034904663193791,1.6420031259814958,0.11581059233234235,0.037655216244533954,0.16726382818826527,0.6504228266400532
