Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,203,"(4304, 5)",1,Chemical,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.9309954714767703,0.17145243988740483,2.2824580107252728,0.12464827543387266,0.048628976868808786,0.0025039798463198856,0.8506463509362534,0.06531683114645867,3.8417834955523356,1.5143414144590188,2.808982831585315,0.6724484925092971,0.06308900887099717,0.014807441232931286,0.6186434357196067,0.5129081721376704
Local Model,203,"(4304, 5)",1,Chemical,LSTM,Out of time Split,"{""Test Size"": 0.2}",3.157604501421579,0.0071798424621461535,2.4200699895644004,0.004328348689522012,0.05203877841100196,3.800134164044201e-05,0.8406777741403703,0.0007248446599613082,3.379329976970262,0.05633607655271029,2.667741463070824,0.04357964989266175,0.05879403630525908,0.0006007177530089212,0.8462025858381201,0.005109035005909043
Local Model,203,"(4304, 5)",1,Chemical,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.118616092830069,0.028811748122602863,2.3991837410568406,0.020739635533434143,0.051829745888223644,0.0004259647997701463,0.8512818044766814,0.002576231868866681,3.2353407659997018,0.09956437265001708,2.4738426180981805,0.07676773720740022,0.05354442985735152,0.0017798558332118208,0.8396033969610102,0.00843053237074345
Local Model,203,"(4304, 5)",1,Chemical,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",3.1412526548053368,0.059287791036672054,2.422859213474196,0.04412786337817022,0.05111717928159216,0.0008256604158377289,0.8024995223460744,0.04961022756939376,4.820182042297838,1.7997919300545893,3.6546630818869335,1.2578860127748943,0.08135762260361849,0.029459268128763497,0.5656096457484522,0.4544759157873038
Local Model,203,"(4304, 5)",7,Chemical,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.487400241349697,0.178936205461545,1.958503736658069,0.12898806765693016,0.041143610401186415,0.0025415501855487323,0.8956986082349927,0.03416789049823958,5.308171862030252,4.060994229366757,3.39960865048798,1.2782756730088312,0.0763921013470625,0.02905576814465509,-0.19689411452819622,2.653365780765142
Local Model,203,"(4304, 5)",7,Chemical,LSTM,Out of time Split,"{""Test Size"": 0.2}",2.4397663980255135,0.06558378501658717,1.935636078362417,0.04760980587703456,0.04089221210537298,0.0005809173876783349,0.9051321147260979,0.00510327802195613,4.657597713162074,1.1988179079806187,3.6518334277260514,0.8508598404047155,0.0861550231860645,0.02299715182835319,0.6867727970851832,0.15867731813964234
Local Model,203,"(4304, 5)",7,Chemical,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.545141921924753,0.07383213620555143,2.016315776161702,0.05839752729942882,0.04258315082112683,0.0009095079705045523,0.9010176579608883,0.005813807205810002,3.066646679845485,0.1476276211260171,2.3892370449983176,0.10993967842668614,0.051267620133148006,0.0024000331183163816,0.8550816174015633,0.01427571326326837
Local Model,203,"(4304, 5)",7,Chemical,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.594547064366168,0.23355213515064696,2.056075853466914,0.1959931179438365,0.042497289052625314,0.0033429993572036834,0.8631086312523588,0.047935043816710335,5.515530726338768,1.9364746147247125,3.9858206049271603,1.0663856407216885,0.08981264621720347,0.02396992257082491,0.45202868071277674,0.5209635756848996
Local Model,203,"(4304, 5)",14,Chemical,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.3722506076461114,0.22039931744964086,1.892045118733829,0.18511064389845916,0.03939224776494068,0.003822022257708365,0.9046402815760324,0.030401167494160015,5.055385571725396,2.1562041885251237,3.813447208432184,1.3604689349810204,0.08501699234888213,0.029797556189481402,0.3304719776517754,0.860108689569759
Local Model,203,"(4304, 5)",14,Chemical,LSTM,Out of time Split,"{""Test Size"": 0.2}",2.158151719460663,0.07123055959389582,1.7158448570269673,0.06039003799454264,0.035950691550999454,0.001496646920259436,0.9257998961308251,0.0048631915811201765,4.546856069893241,0.15505619713861354,3.4023501613431635,0.05246490147492871,0.07997388268061854,0.0006301670220378199,0.7186667908636011,0.019326280785926842
Local Model,203,"(4304, 5)",14,Chemical,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2882208408928815,0.12237953417518745,1.8214092363756167,0.10552181364887285,0.038720988712489725,0.0024598393158206,0.9194794565097253,0.008541748179779804,3.388314126654454,0.19064785237055457,2.636865270795686,0.15718149132610917,0.05742816507433667,0.003903939019183379,0.8213418130371947,0.02126370905150278
Local Model,203,"(4304, 5)",14,Chemical,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.300165608001644,0.14998485322841942,1.8315750666382062,0.12151199147908234,0.03791894214276269,0.0023014843811636834,0.8941134194211211,0.03103570493201238,5.488140886006884,1.3478929241813706,3.984864411520382,0.8502985844567152,0.08932856766000026,0.016915468119324418,0.5217217747682076,0.2501189068796696
