Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,203,"(4304, 7)",1,Chemical + CS1 + CS3,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.08085548900364,0.1721871630351433,1.6395410398291062,0.14930856581590252,0.03466341834935748,0.003567477081070724,0.9280100578985101,0.021461085112718253,2.6822994459774256,0.6374783866785533,2.093136720938276,0.4440964685789656,0.046054136383498666,0.010443363208749435,0.8468277477300047,0.13842408997397396
Local Model,203,"(4304, 7)",1,Chemical + CS1 + CS3,Transformer,Out of time Split,"{""Test Size"": 0.2}",2.2574521360602895,0.05432784350541387,1.7804237223239336,0.045454670212796706,0.03759499271199351,0.001071139479964578,0.9185207139091379,0.003888885188254898,2.8616742101164747,0.019641099036575294,2.2434510617139867,0.01622478087252231,0.04986510083185882,0.0002247071640791637,0.8897374609075429,0.0015169903387173037
Local Model,203,"(4304, 7)",1,Chemical + CS1 + CS3,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.356032032606528,0.0549525852035548,1.868897569744525,0.049558720545310825,0.04019268054178441,0.0012768645398756114,0.9150791950051039,0.004020579714382164,2.4848913406098894,0.08645312892106002,1.9470260127130081,0.06527718897723019,0.042044028293723334,0.0016054686547875335,0.9053436112157791,0.006193554925746054
Local Model,203,"(4304, 7)",1,Chemical + CS1 + CS3,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.0942606499873384,0.14362352666571934,1.6476062091186348,0.11750741175785104,0.03455775372318868,0.0028478972148207014,0.9141871049432424,0.012746810157111313,3.3651689590637432,0.49661816580304763,2.5305540841145606,0.3151320082961442,0.05636165776516079,0.00935224403399766,0.8311774652689125,0.05412648196347525
Local Model,203,"(4304, 7)",7,Chemical + CS1 + CS3,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.4307133742159763,0.15686532347453122,1.9205791342804948,0.11494438728820082,0.04086118467328251,0.003173912882059712,0.9027551241948288,0.02256380068901233,3.6626293862268784,0.7645728300405725,2.8435278351809647,0.4804694974948548,0.06354470954666917,0.011742610948426083,0.7079572110307868,0.24754305607040394
Local Model,203,"(4304, 7)",7,Chemical + CS1 + CS3,Transformer,Out of time Split,"{""Test Size"": 0.2}",2.5568897684827365,0.0246837625167838,2.0118855306432257,0.02518213706048773,0.04333255708828899,0.0009893602484340245,0.8958705666563854,0.0020158768105373944,3.037016661028145,0.061943563963792456,2.3924143741391912,0.049462511274319165,0.05396015945387934,0.0008807601520565839,0.8750455668318343,0.0051170494334317725
Local Model,203,"(4304, 7)",7,Chemical + CS1 + CS3,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.6010013572997255,0.032417748099053546,2.0387339612881843,0.034365734616004284,0.044141511500625015,0.0008812637110177126,0.8966917261718639,0.002903251139034881,3.032446224860346,0.1026231860467149,2.3668903386507747,0.07997827302480125,0.05137216208271589,0.00202053393097142,0.8585861800393363,0.008044284287095634
Local Model,203,"(4304, 7)",7,Chemical + CS1 + CS3,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.43824338325304,0.1756601441379223,1.9306172770729313,0.12896219555449015,0.04114273845235028,0.0034534165965844654,0.8849634069562273,0.010373232424241308,3.876310712716205,0.43377748337426125,2.95173246592771,0.30619780223451465,0.06667425172718291,0.007123910996493113,0.778066952027951,0.05633988353387263
Local Model,203,"(4304, 7)",14,Chemical + CS1 + CS3,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.5000492600309285,0.1663063512208768,1.9726400984315187,0.11828954207372136,0.04183892103206629,0.003121157905502023,0.8972968594081745,0.01944178142353112,3.9051654025917037,0.644766178813603,3.0739799311135703,0.5297183232138565,0.06838340992297817,0.012699516819966184,0.7098905799968078,0.14688814809214873
Local Model,203,"(4304, 7)",14,Chemical + CS1 + CS3,Transformer,Out of time Split,"{""Test Size"": 0.2}",2.624363412592484,0.04611351880507045,2.0694030202411904,0.04711263973340376,0.04456041737276075,0.0013322072746251054,0.8903648683413632,0.00387555934248261,3.659174977530546,0.3015051840562321,2.922023545781172,0.23577713045584872,0.06738043506987562,0.00737753433365971,0.8167690820830241,0.030850077261614785
Local Model,203,"(4304, 7)",14,Chemical + CS1 + CS3,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.6400028684558037,0.04199509500794512,2.077996772012668,0.0371592531635035,0.04491673136297148,0.0010036353185712452,0.8930747171498076,0.0030885788314757535,3.1883639691618537,0.15412211270937798,2.491747048089976,0.10740856833070919,0.05378311765083827,0.0024375307505251583,0.8418542650616234,0.01703164237107601
Local Model,203,"(4304, 7)",14,Chemical + CS1 + CS3,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.5188253245295886,0.1719281138152636,1.9892939145788686,0.12338665799583226,0.04234427219258762,0.0032378414548819333,0.8778201296682108,0.009835150880611704,4.1368129370039455,0.6480758218160474,3.1311781374077228,0.34955858492659536,0.07045386005738145,0.009388140275907,0.7356246250269245,0.11403734917609928
