Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6840434577677006,1.3227560047679718,0.03070309889138872,0.8742410618883603,1.602515681650762,1.2344125608964398,0.029135477473476258,0.8961921705125446
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6123489692315431,1.271598385786956,0.029494112380588963,0.8851690324333623,1.9355426271130165,1.4806144957108933,0.0338755659445182,0.8492769049782303
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6493190440660566,1.281161604166574,0.02954019941597117,0.882006708314601,1.6287564790241051,1.2857694313742898,0.029890367088763147,0.8849267063210129
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6750588154495183,1.2921628741545346,0.02969522361587439,0.881123788710517,1.8394080786861453,1.4373040012028664,0.03271484897352476,0.8384339923519106
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.630239968607191,1.2627115434075922,0.029042282499663893,0.8870736092639384,1.8834902866655565,1.4597562676695384,0.03372813737560234,0.8332210048347806
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6500563301496536,1.3068772578836845,0.030196960864083126,0.8810211510780177,1.783501740206938,1.3025125122070313,0.030446154769811613,0.8657141158833682
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.68896109873196,1.3150345813169022,0.0305074285370171,0.878935897716564,1.7421134088235362,1.39520808133212,0.03236966634532272,0.8561608828580193
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6312770243337822,1.2805236221174445,0.029761943973753334,0.8834659790908066,1.714039227308176,1.3330239001187407,0.031125045645352924,0.8778846171794681
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6725069698592585,1.2954972255216386,0.0298584586029571,0.8801328625978887,1.6611159137439453,1.3173912431551442,0.03055304587237898,0.8748309071920563
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6110129417647208,1.2792513789848527,0.029677934569164413,0.8860821201111189,1.8863609587194488,1.4648402070345945,0.033394494018297166,0.8533741329624442
