Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0682255998539483,1.6297509590965737,0.037953677742605364,0.8103171390987836,2.077175129073532,1.6868871029940515,0.04021321483160114,0.8255898473167586
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0574313003275777,1.6327607708802798,0.03816998694534212,0.8130215217831056,2.4226844620243746,1.8461864402077417,0.042339046667351256,0.7638608309255883
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.008701819282654,1.5972403880403907,0.03714957023488924,0.824983531865709,2.2138940982144164,1.7489944562045012,0.04060456605216885,0.7873938043683284
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.047874885597644,1.6132564349386065,0.037531392133255605,0.8223187202197908,2.297667302820948,1.8131231368948877,0.042060570306209126,0.7479027533541164
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0290306658975026,1.6039588897843953,0.037175312196513266,0.8250678651032588,2.405097765636228,1.883998825560966,0.04388737198469338,0.728055642042787
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.091224170394559,1.6487423494899462,0.03811105882627241,0.8088944052322374,2.571633146535469,1.6831349199468442,0.03869687099846915,0.7208090620543424
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.077707471659961,1.6456197073899532,0.03840231628082989,0.8167918051487262,2.197978176708297,1.7358902341669253,0.04073454378676722,0.7710340438387482
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0085217994296753,1.6055822915531237,0.03753516151494017,0.8233350510597479,2.1921214352821488,1.7013238768144086,0.04040660209463396,0.8002632040314235
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.087242861880002,1.6224421764803423,0.0375456487210469,0.8133146534545835,2.147340496542844,1.7369755766707469,0.04025205794460744,0.7908301640022173
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9969244110925422,1.5833988419707454,0.037034324053011165,0.8249681483367964,2.356074032873527,1.862418989068297,0.04280403715198446,0.7712617153308936
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0640586579425864,1.6232178933528127,0.038061874363282094,0.8160111125254831,2.222446050426648,1.7488831329345704,0.0403300265170842,0.781299161124422
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9990605054331907,1.5835900699902232,0.036841104045323717,0.8228304062205308,2.289035011233459,1.7995306327126241,0.041730574938279016,0.7919562544712617
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.066959417221727,1.6380581032442338,0.03787579318946037,0.8171280377008054,2.4861754814287886,1.7324430552395906,0.04031837212394732,0.7185966188295474
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.985144203002736,1.5565290917579904,0.036118275857377674,0.8284432751192503,2.23146121145119,1.8012968124319972,0.04280921129955088,0.7875239764600034
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1213848109115143,1.6742456394928986,0.0389380678396172,0.8073196481538099,2.2863425041458183,1.7820768556638396,0.04113021056430047,0.762262709728246
Local Model,203,Y,Chemical + CS1,"(1098, 11)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5938474538027112,1.2817732478087802,0.02971228501951155,0.885423083095688,2.2146931296311316,1.7142513194837068,0.04108121111464272,0.7833296432232291
Local Model,203,Y,Chemical + CS1,"(1098, 11)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5627182280276057,1.2468882407782214,0.02869428655244393,0.8906722987182751,2.66155787230482,2.0267421280710325,0.04616415094640924,0.7051608656817535
Local Model,203,Y,Chemical + CS1,"(1098, 11)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6485150820269836,1.2871527991204892,0.02924222207892714,0.8808626690159265,2.165441548446531,1.6836442565917968,0.03863115223475484,0.7798951288636773
Local Model,203,Y,Chemical + CS1,"(1098, 11)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.044361272694574,1.6561182244506405,0.03767154161104036,0.8207853542304544,2.4148335500115645,1.9803054204062807,0.04481953664364398,0.703703868639685
Local Model,203,Y,Chemical + CS1,"(1098, 11)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9081685345271644,1.512893882095463,0.03423506984398319,0.8437231464074917,2.5848405174499476,2.095660800025577,0.047320568669870666,0.669384523061266
Local Model,203,Y,Chemical + CS1,"(1098, 11)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.732811665866307,1.3764072674625323,0.031543903314633914,0.8672118088687859,2.384753149559526,1.7933585116737767,0.04135649869808033,0.7491939051508206
Local Model,203,Y,Chemical + CS1,"(1098, 11)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8005834500035363,1.4591963529586789,0.03353399380772815,0.8607044354634401,2.3585562786748877,1.8682477007414164,0.04286053684630817,0.7161551798069027
Local Model,203,Y,Chemical + CS1,"(1098, 11)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5997694948989372,1.277935269193829,0.029619476090533864,0.885908495161115,2.173587726860487,1.7111143051950555,0.04040281678990905,0.7880443352385673
Local Model,203,Y,Chemical + CS1,"(1098, 11)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1894160126294313,1.7566759484676369,0.03957578605902645,0.7919722004556116,2.4516043758267165,1.9444777392836474,0.04378892998215265,0.7032253996536888
Local Model,203,Y,Chemical + CS1,"(1098, 11)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8129256735236532,1.4177262354514903,0.03232263724976455,0.8527392802162178,2.3507869697172,1.914127156091115,0.043500234944709774,0.7634628114884555
Local Model,203,Y,Chemical + CS1,"(1098, 11)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5509915477486993,1.2211796157764938,0.028326139944031603,0.8943969621893622,2.1606928421607554,1.6673998380962172,0.03818744340844756,0.7801349281516724
Local Model,203,Y,Chemical + CS1,"(1098, 11)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6051024416870416,1.2744956137999048,0.029581813509599077,0.8841504275657277,2.4351669924024866,1.934040860627827,0.044674203692730695,0.7510121538520956
Local Model,203,Y,Chemical + CS1,"(1098, 11)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6542976952398536,1.3007799301507337,0.030486174567022243,0.8808205013002343,3.8306475823182677,2.1082185845626027,0.048795089033084035,0.25062017254493296
Local Model,203,Y,Chemical + CS1,"(1098, 11)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.968548065922636,1.5775287367570245,0.035637922904062654,0.8292133440407541,2.265759949483091,1.8048029581705731,0.041862074258123966,0.7666662756910703
Local Model,203,Y,Chemical + CS1,"(1098, 11)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7555845672808008,1.403507008906388,0.03208222127080989,0.8666400079094068,2.2648544647395528,1.8275045122419087,0.04219365369991391,0.7541074684220717
Local Model,203,Y,Chemical + CS1,"(1098, 11)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.471951328328015,1.1636528756492397,0.0266556499782564,0.9008679697084315,2.1925804016003942,1.7592372032903856,0.04138604155082888,0.7717873606969672
Local Model,203,Y,Chemical + CS1,"(1098, 11)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6612654343635678,1.3158571822763516,0.02996933684189666,0.8725367699075567,2.6344478696235294,2.10226810578377,0.04784613377795795,0.7020940296275715
Local Model,203,Y,Chemical + CS1,"(1098, 11)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5163603098050364,1.1968192932203978,0.027300021381017257,0.8965619609563799,2.1935573126441934,1.7349616856728831,0.03984896553840258,0.766028030758134
Local Model,203,Y,Chemical + CS1,"(1098, 11)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9131622937368045,1.5792938438621726,0.03723636157867209,0.8389224707900452,2.893723298103685,2.365535215897993,0.05462850043774623,0.5144146634603245
Local Model,203,Y,Chemical + CS1,"(1098, 11)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5139985781479142,1.2081501963097574,0.028117489073946823,0.8983990218773181,2.125370375661375,1.7063758111769154,0.03937518029386444,0.7504041997444678
Local Model,203,Y,Chemical + CS1,"(1098, 11)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7858084692381353,1.4595872238553318,0.0340160796924936,0.8551677378170806,2.836051491173352,2.116947291447566,0.050465814444873455,0.6125993503012219
Local Model,203,Y,Chemical + CS1,"(1098, 11)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4950341144374097,1.1915716164226462,0.02747993948277626,0.9024199149178929,2.1566780765018647,1.6857677336662047,0.038297710356578106,0.7574623832026872
Local Model,203,Y,Chemical + CS1,"(1098, 11)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4398152648584996,1.1596752772032115,0.026847117912694767,0.9054025231809023,2.2618638216868363,1.777200287849672,0.040914991096837,0.7507097222447314
Local Model,203,Y,Chemical + CS1,"(1098, 11)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7213471341603739,1.3757681375639443,0.03203689377597389,0.8690316964143946,2.6613035703405896,2.118891403002617,0.04980434696867638,0.617434270280439
