Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,Y,Chemical + Feature Engineering,"(1098, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.232750369283093,2.4077138908564386,0.05721482423676592,0.5365780370051529,3.299245655986284,2.3937324423617983,0.058620733058698596,0.5599978065750566
Local Model,203,Y,Chemical + Feature Engineering,"(1098, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.330752223289437,2.4627456038814275,0.058948325724553975,0.5099667054108343,3.9107221406239647,2.905885069131251,0.07005885899566199,0.3846981185159979
Local Model,203,Y,Chemical + Feature Engineering,"(1098, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.482251491803297,2.5720064031124084,0.06181070143648703,0.4740212049259429,3.366607597409304,2.580359806442216,0.060503974281631526,0.5083599778646789
Local Model,203,Y,Chemical + Feature Engineering,"(1098, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.213433073828631,2.3908237842038997,0.056968044108623606,0.5625047398533771,3.276095523445812,2.364521690407463,0.05675595702170009,0.4874845912044523
Local Model,203,Y,Chemical + Feature Engineering,"(1098, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.3570565956674585,2.4884376307517173,0.059487078898420434,0.521138743631876,3.2313158595915867,2.4584468544553286,0.058771009968617206,0.5091221818877782
Local Model,203,Y,Chemical + Feature Engineering,"(1098, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.4491282393607388,2.528976899766492,0.06060111612799666,0.4801346096911048,3.4538471023893647,2.6720198062557428,0.06417279450839378,0.4963956138802845
Local Model,203,Y,Chemical + Feature Engineering,"(1098, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.4373001074327494,2.562652484718592,0.061353642429376964,0.4985692125210167,3.4928928036034614,2.5379048758162885,0.06028365908870496,0.4217779133318639
Local Model,203,Y,Chemical + Feature Engineering,"(1098, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.1474293243016707,2.3311700324464484,0.055388633264054035,0.5661803032826213,3.703945614119025,2.6439609215782762,0.06526856664060109,0.4297594933747969
Local Model,203,Y,Chemical + Feature Engineering,"(1098, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.182450924438821,2.37052461005679,0.05644300105298578,0.5660020362922293,3.4195546514920085,2.5413900962245175,0.06105834617652116,0.46955992846245875
Local Model,203,Y,Chemical + Feature Engineering,"(1098, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.2835377583648935,2.439062670428211,0.05832957568702387,0.5267639020728746,3.374887535562437,2.47739572039272,0.05847393922300218,0.5306686071939699
