Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1305942048981845,1.694624978589034,0.03921514723721847,0.7987046440963687,1.9779169941970265,1.5744934463500975,0.03723859027283672,0.8418600277634127
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4143299486429246,1.9044274714650216,0.04372295099843938,0.7425255264175725,2.6898742405254676,2.121399872519753,0.04826356571959542,0.7089026347008567
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.284508531115086,1.7914943112870827,0.04091285002693634,0.7736223548108023,2.4778092004899905,1.9802218593250622,0.04510090736455594,0.7336835741437892
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0849521982920867,1.6550945399157424,0.038388246397429875,0.8158265437214004,2.1978294237220646,1.7040029238348136,0.03956703777532268,0.7693349579599704
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1192308058829576,1.6808516462237082,0.03900094662885596,0.8091690152060509,2.3812364760310705,1.885159190278075,0.04379280541564939,0.7334248659864537
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.268074201531037,1.7895947853905194,0.041271033838025224,0.7752049523740429,2.304351596482815,1.7709684684059839,0.04092048644812754,0.7758283046186253
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.12260294227407,1.6862917963084438,0.03891609050099407,0.8087886726328825,2.238214665029391,1.7711550695245917,0.040902228589636484,0.7625743499452213
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.118134879671094,1.6807455710235109,0.03892269149465254,0.8035262580568913,2.3896880993765075,1.8476807941089977,0.04389244575104384,0.7626379396767528
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.084086121575476,1.6582997561857291,0.03862676705570647,0.8138789112394759,2.125458707024333,1.7022928978210172,0.039413185843333656,0.7950714010572284
Local Model,203,Y,Chemical + CS1,"(1098, 11)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0765678785159594,1.6319811021372999,0.03811517079033582,0.8107281186913503,2.3418108715704813,1.873806877658792,0.04314164193119244,0.7740227964151625
