Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8586771547875416,1.4464945067800898,0.03357123267754095,0.8468065508094852,1.6930653037443522,1.3046191694152867,0.030838418035127442,0.8841294805697514
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7760068603188608,1.392473533694801,0.03237116040508182,0.8606746272400647,2.006321372972298,1.498288631588873,0.03487342848966327,0.8380520995339886
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8432543556456766,1.4180910052262237,0.03297016783276514,0.8526268021842757,1.7405011397989167,1.3784282358690443,0.03211602581073942,0.8685953132472723
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8219273958396298,1.3963098284570201,0.032548857474109696,0.8593638508624311,1.8372319933797256,1.475959949204279,0.03388226487059453,0.8388160429176983
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7968439329407468,1.3903273941850334,0.03230407437936787,0.8628129586836992,1.9392523471019827,1.4927631522645055,0.034502104045407087,0.8231996034743627
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8419574165679027,1.4297492283878765,0.03316142408918135,0.8517374746133881,1.7557071871563563,1.3437787349868762,0.031638854118598556,0.8698669939845769
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8235112815879058,1.4085516707805383,0.03279229681203872,0.8588785592724084,1.8264628496976074,1.4294089224913735,0.03284306040830478,0.8418949113672265
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8191981741308847,1.4027102256511008,0.032581005995699484,0.855070325857171,1.8725387859313705,1.488306598785406,0.035009788050180055,0.854256060157106
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8306890166912726,1.4207176922835085,0.03300561347750841,0.8563871128337521,1.8035702356197658,1.3920424484870488,0.03259088528119753,0.8524418009863286
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.777334754207719,1.3809492444243872,0.03219060428216237,0.8613460323334384,2.015379917526597,1.521895683494511,0.0347193308890493,0.8326310668911905
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.816909986111993,1.410555976955091,0.0328835617641988,0.857434531140251,1.885843635876522,1.4515098736016634,0.03316629293317664,0.8425294460605979
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8007612420245571,1.4068929133268715,0.03271107185697613,0.8562361877281714,1.9231376074408355,1.4364408119059038,0.03319918592251515,0.8531511618755696
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8312305003251739,1.4193302511960788,0.03289766356777191,0.8564612195701774,1.8003704234677633,1.3889494604468582,0.0329827443942702,0.8524329170119807
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7972190875471006,1.3836194083247906,0.032120467954041075,0.859386935978952,1.961769602489121,1.5222918328562258,0.03568894382860488,0.8357795463177842
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8415359037525076,1.4212008731748764,0.033090063307921316,0.8548025792177201,1.7556407759012904,1.3837224020030097,0.03192504925304661,0.8598200030716698
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.7923303685930874,1.4343875855192167,0.03300010354063339,0.8422423579427689,1.5230933450647475,1.0828004245444274,0.024841945145282963,0.8648288141339014
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.628328958997012,1.2934453745065912,0.02886770053967386,0.8419725253302819,1.75954145434194,1.3689608733016805,0.030907442066429595,0.6993456972552377
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.5940785881094564,1.2644763389616964,0.028636813188043928,0.8662742305642661,1.9600151507253711,1.6895080230807664,0.03918862542514461,0.6897255391147589
Local Model,203,Y,Chemical + CS1 + CS3 + CS7,"(1098, 13)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.5860119224333513,1.2208875070386764,0.029180495915963632,0.9104750985680241,1.6894864468996227,1.2892890210663115,0.02966578263016082,0.9025535711002065
