Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.236695853981369,1.7411587630426149,0.039877183086927746,0.7781567914062193,2.3432695591357136,1.8306156331842596,0.043019495804438874,0.7780423919949444
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.3163937522902267,1.8359705540476736,0.04241244362287336,0.7629905265692867,2.7358403411619627,2.118931142633612,0.048471995678344176,0.6988687540620475
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9800795871699617,1.5500707743651232,0.03583716475130306,0.8299356580879574,2.1995196374894777,1.7362013279307973,0.0397614524410002,0.7901456776659784
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.947047754483214,1.5407803454089897,0.03573154921747355,0.839384283109629,2.248307569990268,1.785308999884618,0.04156950147588735,0.7586177896282327
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.079924489580787,1.6328525833980485,0.037806061300671136,0.8161822221738055,2.3062341523433374,1.782194323953428,0.04115938455808915,0.7499531535946417
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2465761457223725,1.7544161746605111,0.0402440523210401,0.7794462185433194,2.2823605834984613,1.7934325235540216,0.04157192363926843,0.7800865434067453
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.170886278063888,1.707773246852032,0.039412515186185146,0.7999906771168369,2.5593384352227146,2.0014559555053713,0.04600848814956406,0.6895586242150653
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1010797020734304,1.6833726261634219,0.03872549682678004,0.8066775246998268,2.3287462226049254,1.762008975635875,0.04160008883020015,0.7745899951560676
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2193243700962384,1.7287273932100022,0.03982255297914469,0.7889400526185669,2.345552609968875,1.8840816062335008,0.04344225784710465,0.7504327555726574
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2651073001402464,1.7568255965891415,0.040602962453615825,0.7747984399185832,2.3509287064539004,1.9220824150189961,0.04396661832844895,0.7722596873781503
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2683032045705787,1.7847548326218587,0.0410691644648921,0.7777970934002495,2.3134054464542957,1.792287438132546,0.04109854312425165,0.7630310186703446
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.275901130463,1.7588592889911763,0.04024334067653964,0.7703618209884735,2.7299642057916254,2.1771712840687143,0.05023066586061756,0.7040872357761574
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.277182741128177,1.7863246487593596,0.04103322579487404,0.7780378142591122,2.589656851429113,1.9060328552939676,0.04384568447137351,0.6946835567852088
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2471921358118094,1.7902158882566415,0.04138247663962728,0.780161354427642,2.3300832537511202,1.8135359881675406,0.042131456412172794,0.7683276931757765
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2129420967468887,1.7134415783844168,0.039333003244845774,0.7903288768433046,2.4702517471217886,1.9436358656513093,0.044683990363024985,0.7224781651129488
