Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,Y,Chemical + CS7,"(1098, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9070031260387859,1.4918986532051184,0.034438557514346026,0.8387368709101204,1.6752439897034537,1.3054444646300571,0.03070199031542158,0.886555963392001
Local Model,203,Y,Chemical + CS7,"(1098, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8366268566855863,1.4220090766465836,0.03281070761072084,0.8510011910208157,2.2719955668640095,1.7475500794069696,0.04016742318733396,0.7923225789371702
Local Model,203,Y,Chemical + CS7,"(1098, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8624836815746595,1.4593423076991219,0.033724149745404164,0.8495358894376452,1.8915489435556776,1.4622107796488995,0.03367247510374859,0.8447979700046853
Local Model,203,Y,Chemical + CS7,"(1098, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8552054190297598,1.4387007445371902,0.033272266910341436,0.8541794130415187,1.8748935730709408,1.4629905922275142,0.03374399354708168,0.8321400632563227
Local Model,203,Y,Chemical + CS7,"(1098, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.872335573827287,1.4355714676889395,0.03305647061565625,0.8510433994427259,2.109973491084023,1.677834092126375,0.03854491225127475,0.790700311852608
Local Model,203,Y,Chemical + CS7,"(1098, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8632104215456728,1.4689206452259047,0.033796459223989744,0.848296349592756,1.9571005890295619,1.5421896298305806,0.03597589243948411,0.8383001625670113
Local Model,203,Y,Chemical + CS7,"(1098, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8137685614499441,1.4050613879266602,0.03239861115883448,0.8603825080183296,1.920981982801196,1.4967201756218131,0.034473589510915635,0.8251076775374218
Local Model,203,Y,Chemical + CS7,"(1098, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8816473810612617,1.4350693952261708,0.033109042330259325,0.8449492849160157,1.941536325102573,1.5334340744950465,0.03578417126655295,0.8433177129541193
Local Model,203,Y,Chemical + CS7,"(1098, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8748587175632767,1.4521735586923845,0.033510132967211226,0.8493735106045649,1.976703658485882,1.4958090609333736,0.03451926658861875,0.822752401789867
Local Model,203,Y,Chemical + CS7,"(1098, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8814160081653108,1.4515334526446955,0.033492535484392814,0.8446313095898574,2.1683922622439202,1.6345577162459346,0.03721447161607974,0.806252239121622
