Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2369747789061005,1.7822265598931453,0.04198282634504008,0.7781014584843637,2.4455218117028896,1.907626672224565,0.046774488710857105,0.7582488126950911
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.218155356621788,1.7682582542402052,0.04166940797690622,0.782667409721473,2.6369556042031723,2.1010626116665927,0.04991514200252647,0.7202436462131995
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.195509327268185,1.7567904070460985,0.04162070188026537,0.790917086806917,2.383211123485212,1.927318351052024,0.04511148491551302,0.753630316413969
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.213416347063783,1.747903904139114,0.04141466408114239,0.7924316850134814,2.271645301122748,1.7982819056402055,0.04232216257950776,0.7535806225870743
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2354560556536995,1.7870128323464938,0.042258475537138324,0.7876635028441762,2.1432563744853312,1.7011847300072236,0.039970658193595375,0.7840452149797319
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.180295805480655,1.7511279981608812,0.04117464060837812,0.7922681635852014,2.5873484837837597,2.0550373562899504,0.04927302812727624,0.7173863451892863
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2142116603802178,1.7810447084605014,0.04213764067788553,0.7919276560634475,2.301807694121398,1.7530864507501773,0.04103500718889929,0.7488910242114093
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1450046563966803,1.7195205966541054,0.040563510487504895,0.7985098726219151,2.484130617888772,1.9716642275723546,0.04801570425313285,0.7435057008781525
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1812543973186265,1.7236605838432788,0.04072468431200492,0.7961189315061006,2.255977825453814,1.8612623937598103,0.044008092019996975,0.7691303311706705
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.266800523319531,1.797599181434536,0.0424503922117417,0.7744616267148741,2.400324923179362,1.8899057606039522,0.04423044423799091,0.7625888763694825
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.167943416972652,1.7334883852808787,0.0410339143083201,0.7970245986241079,2.3720750800781327,1.8826735999367454,0.043993509003407726,0.7508591990531207
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.235441402243527,1.774593709541616,0.0419266880403684,0.7784540110672,2.571759092143001,2.0870399128307,0.049322307351076525,0.7373905433337429
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2110799188052073,1.7619092606737836,0.04168828242998231,0.7907371642571195,2.3422790401214693,1.8405374041470612,0.04418562305419316,0.7502284221646659
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1939482818381637,1.7554729413931955,0.0414016382156421,0.7904554362365157,2.326291386142058,1.8469588919861677,0.04462982487494109,0.7690811048179067
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2191023146386333,1.758635124058989,0.04158605959140442,0.7891599194069082,2.3792135775732874,1.8741318619958884,0.044294110401654915,0.7425567038752579
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.946029060069162,1.5916206403459818,0.0371947650239389,0.8140257044771504,2.0231722458130674,1.5576753616333014,0.03644619480709878,0.7614953777500023
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.6659515899138495,1.3048240051269533,0.02910230615836156,0.8345856962409363,2.4029359025194026,2.0270044500177558,0.04582678489257071,0.43927129420318567
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.7935663209466162,1.4078969726562498,0.03223464244530772,0.8307103023469813,1.786105272260729,1.5446027408946643,0.03706740301680873,0.742343396382692
Local Model,203,Y,Chemical + Properties CS Less,"(1098, 15)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.7345014442356443,1.3010971854073659,0.03222183020953584,0.8929269219182245,2.5914818133261197,1.9169674439863726,0.04670373286027532,0.7707270417706231
