Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,203,"(1098, 11)",1,Chemical + CS7,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.4884061159022446,0.16833363519160727,1.947888886224656,0.13558653857094188,0.04524662402181171,0.0036754670908844865,0.7074479824107528,0.05968488892522542,4.484218454363576,2.0387069091385084,3.169819191441391,1.2197659185714336,0.07320901319431486,0.027103665227275905,-0.9472346173608354,2.2506170571052695
Local Model,203,"(1098, 11)",1,Chemical + CS7,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.6594391917532265,0.025467482063954813,1.3077333241769014,0.025190756627732624,0.029863932970795547,0.0005137694677634798,0.8696696482410644,0.00401261255319208,2.1363205082924344,0.03026822247572865,1.664214715090665,0.03137238020754641,0.03973856910564205,0.0007363119283741447,0.8194513636443955,0.005101151041672351
Local Model,203,"(1098, 11)",1,Chemical + CS7,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6921353134547146,0.026645560849759057,1.3287177610525647,0.01889549873153278,0.030675959787802697,0.0004391560103327482,0.8758939894107783,0.003731426279953086,1.7964719678382288,0.09304467031142999,1.4002852042290421,0.06563141411995908,0.03234236754196321,0.0013699210226109427,0.8589363564503534,0.016246034310174462
Local Model,203,"(1098, 11)",1,Chemical + CS7,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8780808188956608,0.31322743144520065,1.4824531537387757,0.25889460487190097,0.03346877345872682,0.00596955537512616,0.8122658102038902,0.06436923619907058,2.3086796088683363,0.6464847231809324,1.7620148498590742,0.43802056427884184,0.04048779616506267,0.009204301426123693,0.6996025420197333,0.2294872191845995
Local Model,203,"(1098, 11)",7,Chemical + CS7,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.8436425739654176,0.2554602096586507,1.5125768373682045,0.23461049928543903,0.035097787689145524,0.0048910219557221435,0.8293170740286235,0.0761531373892218,4.133263888241741,1.3140333741286976,3.4066639030093238,1.1426042626637694,0.07869273179052065,0.026907647366071274,-0.6379497951228441,1.3567081354306734
Local Model,203,"(1098, 11)",7,Chemical + CS7,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.5921362728302473,0.05156875884171392,1.273481763683775,0.042601845371868736,0.028872745611140352,0.0007955491081953669,0.8777395610607511,0.007823470872943794,2.323663506142647,0.27553538393824983,1.803024936475252,0.21527866237906823,0.044049161858851694,0.0051041418838437755,0.7819897163236241,0.05279108064180902
Local Model,203,"(1098, 11)",7,Chemical + CS7,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5729433472580736,0.2042030536511138,1.2527762389312151,0.17599541733237728,0.028600521059314248,0.003838603959140499,0.8896962019868097,0.029279607341074532,2.0523484525138365,0.3317917194116852,1.6006846896725468,0.1633566105438282,0.03664824699750069,0.0036724178240661507,0.799378906510577,0.07097038560740769
Local Model,203,"(1098, 11)",7,Chemical + CS7,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.6890688443979662,0.30816701273855496,1.3630298201291953,0.2823353852086007,0.030597246296361014,0.006340134122990221,0.8413079433997103,0.06522312593372444,3.0473815114581986,1.1786999060280776,2.474546980331538,1.0070030982183291,0.05641472815162809,0.021766986167519053,0.3755230117319709,0.6178585756458
Local Model,203,"(1098, 11)",14,Chemical + CS7,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.4205346197054218,0.037957072221318076,1.1165673209390174,0.031832073725411414,0.025206488086372717,0.0006265635554121164,0.8984790062895374,0.005441149425235015,2.5283328162552805,0.09749066811190017,2.0599998162382396,0.08223651808904961,0.049718696595947666,0.0019050990024329767,0.7502250878669711,0.01920637757684061
Local Model,203,"(1098, 11)",14,Chemical + CS7,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4159419992852476,0.07117336297783572,1.1250463667787962,0.05972636713478436,0.025910286132925103,0.0013986818491778167,0.9096518504078545,0.009258494436857383,1.8976000202780405,0.17672638395011547,1.5057292733609635,0.13383703166062672,0.03469061273861421,0.0032127508759638036,0.8193121718108816,0.035512645443422614
Local Model,203,"(1098, 11)",14,Chemical + CS7,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7676617756838398,0.33424567735436256,1.4381789906826936,0.30410862363588775,0.032433458538736123,0.006679254111770705,0.8181777320126916,0.07257896990163011,2.857347418057762,0.9115556023349084,2.286881992713851,0.7326149119122723,0.05266947881360748,0.015994983679600998,0.4927501227095927,0.41019294572346626
