Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,203,"(1098, 11)",1,Chemical + CS7,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.5444895712869102,0.32289107221738017,2.6849615493047803,0.2805976405638683,0.06242524566337581,0.0064474920406598635,0.39910134143767767,0.16090206060473602,6.350173820215605,2.833470999776799,4.548838920629385,1.5382827769017162,0.10521975340436943,0.034396200866908165,-2.7678029974926304,4.687866064877368
Local Model,203,"(1098, 11)",1,Chemical + CS7,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.724777297975196,0.012972668495903632,1.3756735334635322,0.013386738766905491,0.031426933466540324,0.0002913422893435472,0.8592296384976094,0.002122861637916043,2.3613654655577476,0.0631071863571502,1.8628262213504676,0.050804507293890064,0.04435546494133144,0.0011799205060698825,0.7792957451038012,0.011717887550822939
Local Model,203,"(1098, 11)",1,Chemical + CS7,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.747264996410778,0.05332499707222156,1.3762040437357552,0.04043059574591192,0.03184142609786056,0.0008434184044796974,0.8675941755432999,0.007930179654568312,1.9456450767061026,0.16947342146861158,1.4818994861078638,0.07414361174766824,0.0342736024970492,0.0015524580941527924,0.8335449651974082,0.03206982498949098
Local Model,203,"(1098, 11)",1,Chemical + CS7,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.283674632946969,0.8119392231126221,1.784939204504943,0.6156317210874581,0.040525413286141135,0.014464505256567065,0.6976502029088201,0.23163575269962638,3.2496533032469754,1.498698693999164,2.4227063740103185,0.9977324394051442,0.055589259861016704,0.021629212653506605,0.28735833080914913,0.7506557838249183
Local Model,203,"(1098, 11)",7,Chemical + CS7,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.8866149788432565,0.2666547553499277,1.539806461707945,0.2448279813025055,0.03587832511056954,0.00539224409289117,0.8252728514246751,0.06584419667348289,5.602505470343245,1.7336728741975773,4.386302540188743,1.3946625690785424,0.10024310156590495,0.03253563119826096,-1.841776424983258,2.0429149255611727
Local Model,203,"(1098, 11)",7,Chemical + CS7,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.6213079485439357,0.14576777478331876,1.295848398838403,0.11659992707878976,0.029191078182760732,0.002371144402217672,0.8723274382961789,0.02340838102113297,1.968305286964554,0.06512145521606988,1.5829080119885897,0.09156777918547677,0.038356572178787414,0.0022783829622966155,0.8455718103632708,0.01024438426465584
Local Model,203,"(1098, 11)",7,Chemical + CS7,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5865167821393744,0.21742657197568904,1.268567379871158,0.18577255347730778,0.029014004385694386,0.004026089942588815,0.8875912674826968,0.031816940598378,2.02070501127165,0.18087360367290628,1.6003678771772945,0.14331152837847258,0.03666933513732927,0.0029551719760889275,0.807909639130003,0.03808412159556885
Local Model,203,"(1098, 11)",7,Chemical + CS7,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.815557081905492,0.4890539509034277,1.4626761280399438,0.4233465082584406,0.03279156344415798,0.009409613258845423,0.8109760167362893,0.1158710845578853,3.628220781085126,2.009601985216831,2.9438693806518397,1.632344349067949,0.06683833828029603,0.03479989391324103,-0.047414097343646766,1.48300529086556
Local Model,203,"(1098, 11)",14,Chemical + CS7,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.391614002451688,0.06936088520095389,1.0950335216013904,0.05591855437188626,0.02461453134513349,0.0011417290142086585,0.9023983003351713,0.00955343438828319,2.3869345519134217,0.09077317129391925,1.976445056546119,0.09189703912004951,0.04772858422657386,0.0024355711973959985,0.7773904724005419,0.01669573994112194
Local Model,203,"(1098, 11)",14,Chemical + CS7,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4546593011418993,0.11574586728525443,1.1643001803626487,0.1037958912403761,0.026916881786046086,0.002589653143712712,0.9043082043596693,0.015441183054692742,1.9708040919780647,0.19406739266670822,1.5520876683179992,0.16804517846594885,0.03565010891581931,0.003974765145310388,0.804966522075114,0.04068768421098976
Local Model,203,"(1098, 11)",14,Chemical + CS7,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8241197894675463,0.41528736888346685,1.4956924809169385,0.3837524763074232,0.033846896577440354,0.008670259017586515,0.8032855695501684,0.09519838253165719,3.6289618079106694,2.1708591334701537,2.963755633645668,1.8142404716825533,0.06808748842602626,0.03962340515894002,-0.09305375610610088,1.6141269368182525
