Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,203,"(1098, 11)",1,Chemical + CS3,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.094698905922011,0.8218453147558279,3.1909390604654946,0.6328045839921796,0.07390313077182148,0.013673088210137524,0.1507817061470006,0.46397548495781027,6.014093737093264,2.4869342926696887,4.346814121513656,1.3994431276003567,0.10043524420465037,0.030473147569653358,-2.335280623550264,4.144080458978333
Local Model,203,"(1098, 11)",1,Chemical + CS3,GRU,Out of time Split,"{""Test Size"": 0.2}",1.9933869238872628,0.07493946772016823,1.5583767583176504,0.051441282172174946,0.03556569583935643,0.0010582402301382507,0.8117143707650248,0.014263840385091174,2.616683917413381,0.11919166914958641,1.974280768307772,0.07554455137945741,0.047733563264381905,0.001461116002491784,0.7286205747155269,0.024992568094945163
Local Model,203,"(1098, 11)",1,Chemical + CS3,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0396221050851375,0.07971681612955961,1.594523296151617,0.06473469066663093,0.0368590284508812,0.0013118899243600916,0.8193234732172356,0.01589681398412626,2.147470661555634,0.148119884910794,1.6722348224528518,0.12059396923413125,0.0387133163213637,0.0024478113267523494,0.7982620420977685,0.026717405760243562
Local Model,203,"(1098, 11)",1,Chemical + CS3,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.5892368978454106,0.9894901093961871,2.03382916921721,0.7879033659095668,0.04634636810958055,0.018485209576955607,0.6050638671555026,0.3267805729635616,3.44382441592388,1.6971457037469935,2.64503962490728,1.31284292152234,0.06080519511229064,0.028410347256547813,0.1807775974276869,0.9252101862364206
Local Model,203,"(1098, 11)",7,Chemical + CS3,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.4884201207789336,0.25464450964579827,2.0080826873663145,0.263811212122595,0.04555925122856504,0.005335329942478331,0.6951416266195454,0.10748575047010415,4.4009144612458435,1.300890624801315,3.5689016667320614,0.9090852904462239,0.08130299582311773,0.020161145690088582,-0.9960468510395264,2.364321815964914
Local Model,203,"(1098, 11)",7,Chemical + CS3,GRU,Out of time Split,"{""Test Size"": 0.2}",1.8221771361836574,0.10922692699781897,1.468197718506339,0.11082086325007649,0.03364723997042215,0.0024415452879999293,0.8394504892032627,0.01949299197962309,2.987572214132386,0.16147864693367006,2.386584096540485,0.10524440035935066,0.05831119742423674,0.0033712110060878605,0.6435732724342166,0.03808113822786388
Local Model,203,"(1098, 11)",7,Chemical + CS3,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.887845760075241,0.13511043203179585,1.5067946702503512,0.11478574826253014,0.034739441710704165,0.0025162956206276274,0.842631658172768,0.02244113450974777,2.234097344188435,0.16931758981304257,1.779818213141043,0.14140959186348545,0.04108292178781275,0.0033493892505042765,0.7667177467550523,0.03548613458459163
Local Model,203,"(1098, 11)",7,Chemical + CS3,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.174630221354656,0.36922844936813093,1.7467198010031273,0.3104015227934551,0.03943590318651847,0.006531789148637023,0.7378227700133743,0.09307453828733936,3.601174883807269,1.0948355531553031,2.889402531349938,0.8819721611014091,0.06682557646317445,0.017656538119557513,0.17201326892945368,0.6711856162241082
Local Model,203,"(1098, 11)",14,Chemical + CS3,GRU,Out of time Split,"{""Test Size"": 0.2}",1.9742194797207493,0.208267318200773,1.5803389253260516,0.1744890301201261,0.03522779586004523,0.0035629609534275695,0.8018748395648756,0.04202024268617582,2.531463605786932,0.11405108538036517,1.9799194524621448,0.08272363562269906,0.04859868972104142,0.0020535760235851803,0.7494703609299819,0.022565141560624797
Local Model,203,"(1098, 11)",14,Chemical + CS3,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8960488320299622,0.18461264977926772,1.5065612029055517,0.158600944942011,0.034233773560136606,0.003303769337063266,0.8369880073016123,0.03268125520274012,2.219792260641395,0.16372707764807676,1.7744726753982485,0.14239816517376094,0.0402113998994654,0.0030010044497157705,0.7533887124611522,0.040972036645768053
Local Model,203,"(1098, 11)",14,Chemical + CS3,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.9256550468351052,0.24648534622625776,1.5360709510549033,0.21200944087134319,0.03468572467373389,0.0048740087775305625,0.7886753405817113,0.059777399398814865,3.0532483844667833,0.8706590446101116,2.469690429473239,0.7193600673089742,0.05739710439369151,0.015516204061384587,0.43386958920336893,0.4146043322671262
