Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,203,"(1098, 11)",1,Chemical + CS1,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.747895882643152,0.18797058143343348,1.4104389729817706,0.13757046382096097,0.033048960701120546,0.002632034839307203,0.8496805802958147,0.0505028370078758,2.302459090353302,0.34689505558932987,1.8314554434111625,0.30326664588899593,0.042947087356342215,0.006970503046227646,0.6422613488518675,0.2349979162776189
Local Model,203,"(1098, 11)",1,Chemical + CS1,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.8451482921659217,0.0065539825683197505,1.4681403517089473,0.004521967273327501,0.0340768526383122,0.0002470397593922621,0.838902561803241,0.0011451693350279565,2.7168687634599884,0.08997168283263185,2.2723596607555048,0.08628415502016679,0.056096172142628555,0.002278274207419122,0.70772776769019,0.019288790779351826
Local Model,203,"(1098, 11)",1,Chemical + CS1,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8807870596662966,0.02817302315580642,1.5047446587893913,0.023802444836561177,0.03539474898402792,0.0006295990277814908,0.8466461119799042,0.005502612810835916,2.1152678035286194,0.07643182857336919,1.6861200177794555,0.058847494607291294,0.039758639923565396,0.0014610141225450608,0.8047217044081306,0.017420124528931106
Local Model,203,"(1098, 11)",1,Chemical + CS1,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8759542373597784,0.06511218861532687,1.490735313906551,0.05745824806354256,0.03437963333680262,0.0015020399122032898,0.8165968703827957,0.016068363027533557,2.533202432170922,0.21759024891746961,2.0089865123422204,0.22294984063539836,0.04784242573163148,0.007158149100165743,0.691202619779721,0.055441276941421445
Local Model,203,"(1098, 11)",7,Chemical + CS1,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.2517381933667364,0.4149065038623662,1.8128470800817489,0.3624174499953592,0.042567462202876764,0.007158498233354683,0.7341932464270415,0.13115095098561758,2.7023650074514105,0.4861966479377816,2.278620671953474,0.3489091428071297,0.05398853293552053,0.007264884470440347,0.33737799324984497,0.4743468554928693
Local Model,203,"(1098, 11)",7,Chemical + CS1,Transformer,Out of time Split,"{""Test Size"": 0.2}",2.3279355891860427,0.019050856566923548,1.8561353479541325,0.025541486658534934,0.042984088796229135,0.000664038981381226,0.738879417676538,0.004273800468102915,3.103960216587454,0.18184294494603734,2.6025349158571482,0.14296095406971604,0.0655003308220559,0.0033812936796509836,0.6150655149667029,0.04587754152203104
Local Model,203,"(1098, 11)",7,Chemical + CS1,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2089435867546485,0.03468784199035275,1.762202296911601,0.03625515612678525,0.041229732419820246,0.0009912079242037897,0.7854913111888057,0.00792456114585034,2.6513826829515277,0.17874463776210947,2.1057313311159094,0.14294788806453948,0.049413987522029905,0.003554944349991234,0.6713852390044276,0.046343177229862524
Local Model,203,"(1098, 11)",7,Chemical + CS1,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.422762268171779,0.06264632299425467,1.9466173119055095,0.04653197467253528,0.04501687725682692,0.0010358538006001192,0.6850776374797195,0.03257406788473026,3.188178639659058,0.5165518918491856,2.5411371267317295,0.3727898844999095,0.06042752259603334,0.008119232156366556,0.43022920775880125,0.3028961472548608
Local Model,203,"(1098, 11)",14,Chemical + CS1,Transformer,Out of time Split,"{""Test Size"": 0.2}",2.380638573498391,0.02130964078275089,1.9033178153513104,0.029098782323599234,0.044005216566436606,0.0006572961279144807,0.7150530713911696,0.005114548833959807,2.947556379405159,0.14196172504604862,2.4973246404176117,0.14161976335498053,0.0626571881423164,0.0032137944363690666,0.6602452233302589,0.03221349352981351
Local Model,203,"(1098, 11)",14,Chemical + CS1,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2609148517811657,0.048264745893747636,1.7974259467950253,0.048624743588860216,0.042071598136811,0.0012283942875980524,0.7700451673662229,0.011772886227585403,2.8821432894458963,0.26300543092247286,2.324643709157404,0.22204731554465756,0.05414595589273726,0.005578647450825836,0.5864182418306998,0.060206198881209726
Local Model,203,"(1098, 11)",14,Chemical + CS1,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.5248167763972247,0.08589504173145698,2.043375471706335,0.0757328647728099,0.047141142297093305,0.001560443564283578,0.6427583124603242,0.04410465777646263,3.0074767550710537,0.08434855097941034,2.4584069566523823,0.07278215670759032,0.05844246420576683,0.0035905918157698915,0.5029873081458817,0.1465370113777697
