Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,A,Chemical + CS3 + CS7,"(1446, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6506735468186173,1.2588606899749861,0.030985405005135244,0.9194864600547652,1.8041756509193658,1.3795555493584997,0.03392127044151908,0.9076130732973716
Local Model,204,A,Chemical + CS3 + CS7,"(1446, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6002206575886837,1.2012773559623064,0.029460642538786632,0.9253363132809862,1.5940597953650026,1.221907720862788,0.030043796410998806,0.9239468175735819
Local Model,204,A,Chemical + CS3 + CS7,"(1446, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6166609371777647,1.2078969482316368,0.029617741995043426,0.9226280820837143,1.5186863212180925,1.1742117325409884,0.029117465610922374,0.9347855113654422
Local Model,204,A,Chemical + CS3 + CS7,"(1446, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5942060485278164,1.2072069771782326,0.02960646596595472,0.9255508966970047,1.7341635850929724,1.2941321481882906,0.0318167154039399,0.9116805747047251
Local Model,204,A,Chemical + CS3 + CS7,"(1446, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5628673889693185,1.190040998071458,0.029340716648623727,0.9293432648593117,1.8269667537582979,1.26844561883735,0.03077802371250724,0.8967221017583179
Local Model,204,A,Chemical + CS3 + CS7,"(1446, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6539124681555433,1.2731626471021185,0.030992161272050765,0.9197212948596296,2.005571537844827,1.4925386860288423,0.03609229796231127,0.882558834319942
Local Model,204,A,Chemical + CS3 + CS7,"(1446, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6191217258090096,1.2046879000651392,0.029504011366537183,0.9235146623540006,1.599115856877898,1.2189923391375161,0.029927392053474593,0.9236999527114063
Local Model,204,A,Chemical + CS3 + CS7,"(1446, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5818243382674426,1.190682538954884,0.029165142487653943,0.9262613531489013,1.788507850388008,1.366401547758637,0.03270868477102991,0.9075211162895811
Local Model,204,A,Chemical + CS3 + CS7,"(1446, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5978566330935144,1.2102935856297392,0.02941643186648492,0.9250849083658694,1.6752204985437436,1.2387760555702922,0.031068867657999495,0.9174613038998113
Local Model,204,A,Chemical + CS3 + CS7,"(1446, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.675416607698829,1.2727725341058331,0.031108874247289534,0.9179935353161279,1.6293654974080463,1.1979775678905238,0.02968367980008528,0.9207648527659389
Local Model,204,A,Chemical + CS3 + CS7,"(1446, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6713472938567426,1.2617344348075894,0.03056421159076106,0.9165843008903678,1.7141370275859626,1.3173247538599475,0.03144366232399963,0.9198434290530882
Local Model,204,A,Chemical + CS3 + CS7,"(1446, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.563944852394785,1.1840330458552855,0.029041331605352515,0.9282226202730277,1.7651178842761401,1.2532709901803092,0.030456703590732017,0.9092554705471728
Local Model,204,A,Chemical + CS3 + CS7,"(1446, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.587032915709793,1.1892938327377172,0.029236302441645143,0.927176133472215,1.7213532983617665,1.2921532126034008,0.031679989479976994,0.9082079320847278
Local Model,204,A,Chemical + CS3 + CS7,"(1446, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5829998642502918,1.1897589315086372,0.029057153712821245,0.9254180072847709,1.7256899587935561,1.3217835945736576,0.0324649341908159,0.9178229399787124
Local Model,204,A,Chemical + CS3 + CS7,"(1446, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6754459255106589,1.268560437900606,0.031088135005869648,0.919527341428194,1.6980444860774773,1.2874570346291092,0.03248004683515224,0.9069587112199838
