Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7032739877271998,1.2850169277644918,0.03173769086506319,0.9142734064825897,1.9801986108621692,1.4756220065739487,0.036580307268869836,0.8887063492509292
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7660787264867062,1.3293112182779745,0.03271360928668722,0.9090568895381549,1.7104777090211574,1.338156585619796,0.03310241017859093,0.9124324875728557
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8027022659719232,1.3647218192568973,0.03353979520280202,0.9037959219018656,1.551694052232796,1.2051609306786926,0.030009645193265183,0.9319199099472273
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7621690257157387,1.3283355715578196,0.03271615236952265,0.9090368078265936,1.722041635766106,1.2972090076182203,0.03187983698490798,0.9129109797283075
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.702618015943034,1.3028754655255907,0.03218293725934949,0.9161421436232204,1.974618591720601,1.4130559993394407,0.03442266077152701,0.879354105984133
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7007633336015267,1.2874100060536593,0.031724285538281105,0.9151087193340721,1.974689705782522,1.4435979930994085,0.0353804763045178,0.8861477121333113
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7747392966415634,1.334574297768597,0.03290235525629332,0.9081057539524444,1.6748439269956337,1.281129047199098,0.0315787626561474,0.9163022789115001
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.739913930146632,1.3105419412121786,0.032455883646632246,0.9107857585224226,1.8073193179407436,1.4004316238026053,0.03383952833640994,0.9055655057709147
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7489294365057653,1.3282472198047917,0.03261776235492355,0.9102492119978782,1.7919437558639713,1.3723437580284241,0.03448138167674781,0.9055586046034668
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7768258886539638,1.347269241846391,0.033159855517103286,0.9077657534915923,1.6715070966595063,1.2150046870597362,0.030211885029272672,0.9166132039231314
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7461249469536761,1.3188606560188725,0.03260014279498613,0.9089531293661028,1.7887673660762526,1.337359463094566,0.03239978074327595,0.9127117506166151
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7415496144206135,1.3286038796804982,0.0327737794768055,0.9109945842638271,1.818744976516623,1.3309319656383367,0.03247619164223867,0.9036577829839136
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.757720930303536,1.3244718302343919,0.03268883689795918,0.9106690991704695,1.7507773537376743,1.3565393814246298,0.03334479657279389,0.9050430049939061
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7429431398923096,1.3148464684379202,0.03236801467253839,0.9095853789747925,1.8027704535449143,1.385354461451533,0.034208397330565486,0.9103178690950132
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7556176758303048,1.3216263463786182,0.032433885553551714,0.9116416886210659,1.7725899822661837,1.3006663817576583,0.033017425217930274,0.8986102222988086
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",2.148780623714623,1.6187168883961303,0.03988285897769339,0.8144658396432635,1.8894608824944497,1.4065901263789704,0.03202074439981412,0.783962789505112
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.1852062679756148,0.8963779969703527,0.02086228442259398,0.9581528092640516,1.2461271721477611,0.867577143259774,0.021333096410861372,0.9538591602276584
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.3006638961614096,0.9806998739280007,0.023344225355205774,0.9574129814999943,2.20057849956314,1.7811886104906385,0.04659905721017754,0.8440019228373975
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.2440005064047364,0.9635832702108413,0.024186315249489217,0.9530700232971652,1.0527381841850525,0.8956065891538081,0.023203024655950623,0.9612640966732324
Local Model,204,A,Chemical + Physical,"(1446, 17)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.1781599741487405,0.856518823611104,0.021557205917010255,0.9585246268502606,1.159392232550625,0.9920140322471651,0.024739464553805726,0.9671419702822647
