Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,A,Chemical + Properties CS Less,"(1446, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0778901911344034,1.6251355302540076,0.03936466828719624,0.8724173188251614,2.304569487491955,1.7534621613601158,0.04300564655812914,0.8492586151544671
Local Model,204,A,Chemical + Properties CS Less,"(1446, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1376641208500784,1.6725393091200134,0.04047785742948095,0.8667618415342067,2.225047955901019,1.7526558146757236,0.04228465671344861,0.8518209089835231
Local Model,204,A,Chemical + Properties CS Less,"(1446, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1201933834418765,1.6449353238355526,0.03970162217627169,0.8669250159932305,2.133395580910382,1.6437050282831425,0.03976108465126381,0.8713082481200998
Local Model,204,A,Chemical + Properties CS Less,"(1446, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1740989901874896,1.6879120392663374,0.040880777759074165,0.8615384481314134,2.2970711079981845,1.7959511278409857,0.04312528728313427,0.8450380801403997
Local Model,204,A,Chemical + Properties CS Less,"(1446, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.19357332783689,1.7108335389818936,0.04131216813202469,0.8608082096008068,2.2962752585211135,1.7415094553805552,0.04183423369033251,0.8368474013491425
Local Model,204,A,Chemical + Properties CS Less,"(1446, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.08908140874327,1.6249316379850711,0.039487839438448344,0.8719186062184736,2.3656890799385497,1.8948551872516501,0.045599588197653966,0.8365972473794019
Local Model,204,A,Chemical + Properties CS Less,"(1446, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1534687548216205,1.6698625441594892,0.0403302327222965,0.8647004546125626,2.162872697565726,1.6610658221921293,0.04001307285732376,0.8604188203080805
Local Model,204,A,Chemical + Properties CS Less,"(1446, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.196053732872957,1.714543344205891,0.04174567528552938,0.8578769295909805,2.2413153097865366,1.7764911936723653,0.042600570496944545,0.8547665036496004
Local Model,204,A,Chemical + Properties CS Less,"(1446, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1724348582805235,1.693807726821306,0.040646000864587736,0.8615199470811851,2.3996417676175126,1.772351122793442,0.043955052908780635,0.830641705352254
Local Model,204,A,Chemical + Properties CS Less,"(1446, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.261234746080867,1.7528835090894377,0.04212354981107445,0.850619551869293,2.1099634989233413,1.629160250759455,0.039528184099303754,0.8671288412088966
Local Model,204,A,Chemical + Properties CS Less,"(1446, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1488470550056076,1.6698191615701958,0.04042551839397266,0.8621123404919001,2.3501156061727313,1.8496792705141263,0.043855412907859326,0.8493300964290016
Local Model,204,A,Chemical + Properties CS Less,"(1446, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1436093920785084,1.6785344232478425,0.040610668577559114,0.8651546320668589,2.314982627147316,1.7925968558235563,0.0432725681826033,0.8439123669782588
Local Model,204,A,Chemical + Properties CS Less,"(1446, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1470536821688246,1.6611119900557534,0.04029938462063055,0.8667130373389982,2.19218436083514,1.7245348307995647,0.04218775534315882,0.8511258578242338
Local Model,204,A,Chemical + Properties CS Less,"(1446, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1368930746053008,1.6608593603610582,0.039996998605138834,0.8640942565107295,2.29972582633347,1.7472077493106617,0.041953671325665645,0.8540590461138676
Local Model,204,A,Chemical + Properties CS Less,"(1446, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1449574783547525,1.65052190940547,0.03980197389886097,0.8681060447038027,2.1070059970462958,1.6297614966791807,0.04016575982782651,0.8567452163375665
