Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(1446, 15)",1,Chemical + Properties CS Less,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5329060190325152,0.1423318892281079,1.2087258782324852,0.1206624672462934,0.029766078582483625,0.0033201355586536868,0.924832858887832,0.0248908468335989,2.563352174563248,0.7873373093187218,2.134770292084793,0.6110698090046703,0.05301655937332849,0.014293599739625368,0.6887531284610551,0.30473403971965984
Local Model,204,"(1446, 15)",1,Chemical + Properties CS Less,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.7677911535960582,0.09486189157502382,1.396543009030915,0.08449148573456568,0.034483695609300494,0.002427667241695813,0.9065584642875457,0.010148183449910848,2.0792656612315112,0.10482073862988202,1.708539247183964,0.09869746269463478,0.043522435523242725,0.0029006028993966023,0.8772938088468458,0.012474731666469221
Local Model,204,"(1446, 15)",1,Chemical + Properties CS Less,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.746403429597872,0.05349592906726657,1.3910593586952134,0.04640588566771073,0.034495853068032274,0.001286075448684845,0.9105489135712767,0.005165749319855807,2.08945249437196,0.11572856530368501,1.6252199936715988,0.08408898552090557,0.040210530552407954,0.002169235610814587,0.8713561978618263,0.013455259881928479
Local Model,204,"(1446, 15)",1,Chemical + Properties CS Less,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7364508777632532,0.09776750515717565,1.3686923119963121,0.08763804537101252,0.03356745347482349,0.0025754524405158063,0.8974025679041929,0.023996061700407804,2.4246135376623084,0.42872655037476426,1.9567359159477518,0.3716966776857945,0.0489691344381323,0.009295103019705441,0.8209037799462173,0.06723197593076109
Local Model,204,"(1446, 15)",7,Chemical + Properties CS Less,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5381729117487557,0.23475307873439163,1.1824431774540034,0.15381495304439613,0.028920466286748048,0.003548112382812541,0.9228300126725134,0.03537774143006955,3.1958027252366583,1.3548569718697796,2.6974130812935204,1.1608571059868673,0.06713616688624022,0.027824621271829574,0.45159657217532934,0.6011376051648559
Local Model,204,"(1446, 15)",7,Chemical + Properties CS Less,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.5548428784702548,0.017738089007333462,1.2178347127643219,0.006054803694783507,0.03011214016332275,0.0001800068547905625,0.9281020229061671,0.0016434884686267973,2.353734045853161,0.24686934903923388,1.89746238928047,0.1741725753369607,0.04820115112582154,0.004066375619992698,0.8429858267525919,0.03368914587195489
Local Model,204,"(1446, 15)",7,Chemical + Properties CS Less,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5558425394677533,0.040018532542671216,1.2251680575534853,0.037594833266218326,0.030347628692516837,0.001060906045954422,0.9292561243986962,0.003709128418137101,2.402655320595294,0.1629628124004618,1.8603149005740058,0.10342664139923623,0.045961641413002824,0.002582502574353525,0.8287865137533711,0.025863985055307757
Local Model,204,"(1446, 15)",7,Chemical + Properties CS Less,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.6951178130496598,0.1713914976153517,1.301115644730739,0.11278791456329977,0.03149971443321228,0.0028415775314105164,0.9007352675387086,0.031705415099055625,2.9305895470281995,0.6214365205497118,2.383517440862531,0.5434116212257549,0.05889642952524609,0.013894404349252949,0.7356247544568576,0.10297976026510765
Local Model,204,"(1446, 15)",14,Chemical + Properties CS Less,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5863743277253475,0.18866178103110667,1.2352878292176783,0.14106248377589792,0.030384774188563408,0.003276773952550386,0.9197431730309173,0.03146107858730597,3.9268902259175906,2.174337846311753,3.2759413361549377,1.5538772061328956,0.08311936801812267,0.037851585501237066,0.12849495874447672,1.1286433682942467
Local Model,204,"(1446, 15)",14,Chemical + Properties CS Less,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.625129862939966,0.10478367253766219,1.2575885107214824,0.09277908692682196,0.03096489654733388,0.0026105694002748,0.921303372943297,0.009956393665980442,2.449477910668024,0.10845115776957162,2.032816267976857,0.10617715443283139,0.05220171374148173,0.002750745881322669,0.8320537814881278,0.014657122006968445
Local Model,204,"(1446, 15)",14,Chemical + Properties CS Less,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6004163653935366,0.0671170470937252,1.244173994277707,0.05880023521907242,0.030561290096007165,0.0015076321284534782,0.92478339864657,0.005866857120843341,2.6966262611694845,0.5099338059325313,2.066787605010937,0.26264572441036627,0.05053209210876345,0.006186227867387482,0.7817846244272837,0.10076136693878346
Local Model,204,"(1446, 15)",14,Chemical + Properties CS Less,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7445393307192671,0.04749696277970286,1.3369367421431373,0.03997496836099673,0.0325186678271073,0.001181209096802662,0.8974974742491213,0.015968804622550795,3.6411931227378864,1.6531435309457923,2.740460509278053,0.9073628135180015,0.0696760706058396,0.02409596766780736,0.5076081960068956,0.5069459126476477
