Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,AB,Chemical,"(2313, 5)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5605076813647973,1.204390558108768,0.027407938915279224,0.9426509311076203,1.7492493966694758,1.339872469809349,0.030793445958325307,0.9321743140655186
Local Model,204,AB,Chemical,"(2313, 5)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6056396680903546,1.2343274172396275,0.02789907561607979,0.9404342391084193,1.7065521703349187,1.312557047438158,0.029868567318026305,0.9309181137486937
Local Model,204,AB,Chemical,"(2313, 5)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.619534255609091,1.2495089411555111,0.028393888922783023,0.939287965815358,1.526413917418134,1.1701662792757828,0.02638988608594315,0.9450352410615259
Local Model,204,AB,Chemical,"(2313, 5)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6101836717606675,1.239458091731718,0.028008178535584176,0.9397881484608472,1.6317163775210566,1.256899034904711,0.02871183479796501,0.9380974542572655
Local Model,204,AB,Chemical,"(2313, 5)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6318995595874313,1.2593222157186201,0.028531902428450343,0.9384180481389699,1.6357804749245184,1.272315739553212,0.028363122400463334,0.9363067995861041
Local Model,204,AB,Chemical,"(2313, 5)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5957121995972505,1.23896462055928,0.02814307274617326,0.9415319727995287,1.672255821021596,1.256427077752725,0.028530047457592533,0.931787602689274
Local Model,204,AB,Chemical,"(2313, 5)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6065969789294092,1.2284834148510082,0.027868357816277195,0.9398190458111505,1.6882145254018348,1.3043813206979573,0.02972809215375979,0.9347933199245223
Local Model,204,AB,Chemical,"(2313, 5)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5547823809370476,1.2083348449707032,0.027589146489860678,0.9439338909860627,1.796711953026006,1.3300000003295636,0.030129355933238178,0.9245873845323198
Local Model,204,AB,Chemical,"(2313, 5)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6086228358606143,1.2280888813498985,0.027819496013992216,0.9398560150434436,1.585061523045052,1.2457511568275883,0.028467787022824754,0.9417511617386269
Local Model,204,AB,Chemical,"(2313, 5)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6914416176696927,1.2988059168258659,0.02918813853867655,0.9329949737722693,1.574446843722779,1.246678619054489,0.027977317965640822,0.9442888925550142
Local Model,204,AB,Chemical,"(2313, 5)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.621800342635991,1.2527287184431743,0.02846160425806973,0.9386832721362224,1.5747126414957378,1.19961582950073,0.027421997786939316,0.9431646770668445
