Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1250301913330032,0.871755236940126,0.01963381896762656,0.9701926817623631,1.2294500383275802,0.9468831336266537,0.02167509985660586,0.9664947780935073
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1837485031440003,0.9061442822430583,0.02048527206606069,0.9676242825375531,1.134714236792293,0.8631675736693017,0.01941992008567562,0.9694579589888336
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.171191760791737,0.9075304702346388,0.020555989223849474,0.9682495032420936,1.1483395507018574,0.9026997708347394,0.020223249090107323,0.9688914091419968
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2114877709072405,0.9207543907392224,0.020699273418827217,0.965914535657379,1.2696961713135169,0.988025044693059,0.022480583357297402,0.9625183427780392
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2367311297562198,0.9523821412699084,0.02139421763293332,0.9646314557734668,1.327874309836311,1.002179242418958,0.02217765230362858,0.9580282604718144
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1146387186090674,0.8716409051018792,0.019677950689306813,0.9714715905298404,1.1097928051948809,0.8586528011841082,0.01939017875515974,0.969957111212082
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.136040018327819,0.8747092838596652,0.019807895295525606,0.9699092898228546,1.128499794368591,0.8896846977217409,0.02021141304257407,0.9708633382338455
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.165840268501305,0.9040073655412003,0.020471496208738015,0.9684761465417212,1.242797912654908,0.92607626698702,0.02068190952586022,0.9639182062639324
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1894497898197145,0.9106393392636027,0.020438213622976806,0.9671166565610739,1.2091224153150086,0.9398584806764281,0.021389752000362878,0.9661050056829327
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2675274363150817,0.9681550155054355,0.02156583867085398,0.9623722634603468,1.2992035927814183,0.9813296858882489,0.021819623429100297,0.9620649891928369
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2254604257975465,0.9500213842443518,0.02145554724152733,0.9649907524016695,1.1696626185241272,0.9181314357156117,0.02086680173450031,0.9686428253464099
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1086883895244841,0.8655603032292547,0.019539788832161842,0.9715444714838221,1.3055234503200115,0.9762400600359198,0.021691920422412612,0.959750410694598
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1661803265420583,0.895484340152225,0.020155914051177434,0.9680359151444036,1.1664414815545832,0.9255015102575972,0.021059062776848943,0.9697488927810226
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1562551469981055,0.8872148507405202,0.019924657822554506,0.9694034176876856,1.1389223079744848,0.8855333567697764,0.019664046266387177,0.9675959856791349
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.220490016050303,0.9460245839123594,0.021330951894182125,0.965278189362028,1.2747170209523122,0.9748069498962137,0.0222101329791469,0.9626223287199361
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.999305606341776,0.7748482525921284,0.01748033316385785,0.9765128124137225,1.2462594913322038,0.938295963587386,0.0214472324905085,0.9658673178529043
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0423107837007197,0.8011890756198934,0.01807415535943071,0.9749205740639306,1.1227804075387897,0.848062281233541,0.018977805969524354,0.9702531285378977
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.202573430192386,0.9447153483728135,0.021710225369040468,0.9665976871272363,1.1447042928650557,0.881810020703948,0.02036207793685489,0.9692353852227615
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.088323977000648,0.8555817645167105,0.019535748258103062,0.9725239151751374,1.2104925972961347,0.9504602463180954,0.021839506658075512,0.9662719172424187
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1747167368829947,0.9146946335463202,0.020443321454845627,0.9681210061074114,1.2986547599080254,1.0048966553834107,0.02196602929589288,0.960136923048915
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0659628226310698,0.8392757095936603,0.01899083150076767,0.9739605982742898,1.1270049923557042,0.8870126994272297,0.019942302518287897,0.9693551413325153
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0569507572939758,0.837233994912893,0.019152893322087087,0.9739648733488818,1.2470868340112502,0.9745834779203605,0.022174764394448016,0.9647431548224942
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.037645602505929,0.8153822878875064,0.018504106916489394,0.9750479739768173,1.1288779235200697,0.8559989209121532,0.019226963271337844,0.9704441227818141
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0959194905323013,0.8671264540219137,0.019962707499305947,0.9721414040370723,1.1781316458068052,0.9408848070024368,0.02190839509965431,0.9680698816043498
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0365485475567962,0.8036623040431845,0.018306225397127243,0.9748626227767098,1.1280781589772209,0.8623293644673112,0.01956680837573897,0.9716321096817488
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.02280957865498,0.7889661040160333,0.01787401440788756,0.9756260661187302,1.0061700163213547,0.7735950752858367,0.01753632138388451,0.9771192417594419
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.177255322987233,0.9583056658948873,0.021972346819835533,0.9679642484752814,1.310261559223386,1.021282931552844,0.022896840446338808,0.9599628468874365
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0785518849932096,0.8408089679401514,0.01915053156422747,0.9726999149099816,1.1147770489853668,0.8770377903627545,0.020200789589170733,0.9725991087383845
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0943478489179672,0.8464173375955385,0.019042614821469083,0.9726193296228078,1.1701100761594372,0.8972209827319995,0.020066377182932423,0.9659055185521321
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0638100519743494,0.8223374923148313,0.018537934841380322,0.9736692768382401,1.1867423640322847,0.909136576265902,0.02081604671952096,0.967882359408518
