Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1104551591179936,0.8606770152323955,0.019416224243047092,0.9709600006724005,1.1907841385849702,0.9354117655084662,0.02142189747662213,0.9685691004064034
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1289921262172067,0.8749955168852934,0.01976943776145091,0.9705502005333457,1.0826166825690307,0.8313070457903406,0.01864918135410238,0.9721980998989004
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1380175719442442,0.8873347201785524,0.020134712388762046,0.9700227048814078,1.0825306979997438,0.8466589225291173,0.0191500501959667,0.9723547746261039
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1470128752929678,0.8861811521953662,0.01986368377933897,0.9694460241282472,1.1887396957762106,0.9262601401589132,0.02092900704354835,0.9671456639162646
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2071965078248268,0.9385358928101312,0.0211534628773495,0.966300571150056,1.2675383629719246,0.9800640188770376,0.021773598130602468,0.9617558285590043
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.138337793602487,0.8931372326825114,0.020151278977529972,0.9702455710544363,1.1441411862689872,0.8837915226913682,0.019769838966914033,0.9680686618413674
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1429383768564734,0.8869235201449006,0.020174600978774274,0.9695427415751542,1.1153800327187084,0.8782257953421342,0.019948495158206254,0.9715368766375211
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1289763408408318,0.8861340941145612,0.020000543899904782,0.9704381997733683,1.1869585412780916,0.9243614773513432,0.020732791181250092,0.967087703329643
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1859022883121362,0.9130547833146436,0.020359120753246685,0.9673125114061768,1.2139667199796682,0.9474551969585995,0.02141835516317292,0.965832863502806
Local Model,204,AB,Chemical + CS1 + CS3 + CS7,"(2313, 8)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2018196037756914,0.9179975821043207,0.02042879934753904,0.9661723424886979,1.2360517868564298,0.9312042236328124,0.020707879590252526,0.9656632552631943
