Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1806555395957512,0.9202368994391238,0.02078434965440891,0.9671722612944693,1.3060925353030548,1.0353096733934453,0.023846598723255695,0.9621872186290916
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1925548156547083,0.9243708802898963,0.020850789487267332,0.9671407825318852,1.2627575253779941,0.9801298231540181,0.022273152617641043,0.9621762156230593
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1736872741343476,0.9268884397074111,0.02101926121833565,0.9681140545401338,1.236389942927954,0.9682068640557707,0.021805258928801422,0.9639379325943314
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1726252558994104,0.91273268929899,0.020593883893956992,0.9680662711769854,1.3479740261586104,1.036900657813227,0.02352689978023026,0.9577543290012072
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1516459684945073,0.8990121259487631,0.020387259033641126,0.9693306492245151,1.325790238234874,1.0052415263499037,0.02248985569713316,0.9581599046597034
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.186184110983608,0.931456317875026,0.021060036460084322,0.967691744082286,1.230541167706107,0.9787629496149066,0.02223725047365641,0.9630639733067656
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1617566113435633,0.9045198676266903,0.020432330422820028,0.9685315405281533,1.3626361579458792,1.0508703663268883,0.02408391080043346,0.957518813148222
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1648443811152798,0.9198997273765164,0.020879559368538442,0.9685299803301759,1.3357575063264773,1.0000041576953185,0.022464808711016547,0.9583185963246283
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1819190226119125,0.9171160523708596,0.020719981045152505,0.9675317272512785,1.2581046401797578,1.0090783624621391,0.022836510558535833,0.9633031700954897
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1579572551114297,0.90639295350878,0.020477385519311258,0.9685964740053994,1.342790860640149,1.0201274787419676,0.02315020617985068,0.9594769113464782
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1810871767381983,0.9224799729358891,0.020811557126368254,0.9674801821859076,1.187783856671291,0.9538987963304758,0.021726424415699372,0.9676636839481667
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1749731527512455,0.9173898393274721,0.020796902357116287,0.9680402374367756,1.3060210563837762,0.9946587024892697,0.022263370771737238,0.9597197222275897
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1612461213972196,0.9100886800536425,0.020509257594518424,0.9683058282801347,1.2991913750467652,1.0052451858265425,0.022938998034880444,0.9624714641802408
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1930165766177785,0.9290856552488781,0.021128306598395312,0.9674269432418772,1.3928550770901087,1.0843492739597256,0.024175299753536862,0.9515356402747344
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1759365425409265,0.9257771208383279,0.020796835564504013,0.9677669297432477,1.2996533392640965,0.9949054488193552,0.023000185883411413,0.9611456431527673
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.1278317658664059,0.8692255757247104,0.020070934865604375,0.9728187230856259,1.698992344463977,1.2912287740768467,0.027927942389127117,0.934486127933846
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.9362699151934736,0.7172263252254872,0.015523059153449342,0.9831208014733752,2.509444954005531,1.8856259125513637,0.03951403673544567,0.8698677936284082
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.836841512391699,0.6589733726149838,0.015050536300996132,0.984291901193093,1.5376886332201232,1.2693992547607074,0.027556535977722302,0.9473629422644462
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.6937039117064179,0.5514232098363856,0.012895968577969617,0.9876049752209312,1.483326737046447,1.2669628379940063,0.030032674414752592,0.93649453217132
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.6491614528299785,0.48704218691464024,0.011534904354145697,0.9867040623023943,1.6900188141822088,1.1633271670278431,0.027354700607382713,0.8474655584542319
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.1707192018481627,0.9068631273560985,0.02083930617263832,0.9706838910715982,1.7472166957774375,1.3472859082340605,0.028551469041671988,0.9401364541677251
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.2067251702667068,0.9413775979570691,0.020911675105677298,0.9712441466322256,1.6378037697102945,1.2859585483240448,0.028118981391135195,0.9415199128309637
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.2157311931839108,0.9475102876366956,0.02110483832962946,0.9699355944668427,1.8355709101732027,1.5314492940919617,0.03510441730187587,0.9239640407084114
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.2338478512169173,0.9694647378999491,0.021648393866244883,0.9683431615475374,1.5888797846304132,1.3572025817790745,0.031231806378905002,0.92773649991835
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.2100247478884028,0.9429114770715723,0.021142486890670022,0.9681649768867747,1.209314484576145,0.926332409875012,0.021596862618888962,0.9474757190341626
Local Model,204,AB,Chemical + CS3,"(2313, 6)",,Random Forest,,,,Median,,Out of time Split,"{""Test Size"": 0.2}",1.2176876102571181,0.9545372657566281,0.021396775797816465,0.9679551452300589,1.2408434675951605,0.945981452155384,0.022008774107005857,0.9474754825750522
