Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(2313, 13)",1,Chemical + Physical,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.0159532220896081,0.14716001040096624,0.8074018207332953,0.10359584279509727,0.018769132748461967,0.002256797817557979,0.975323859268454,0.00610740874952876,1.5806352562126742,0.20254205978810835,1.2926529947916667,0.2307574517548201,0.029192422564128566,0.005580523285057154,0.9258694914681964,0.030373513429740553
Local Model,204,"(2313, 13)",1,Chemical + Physical,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.0856979910417308,0.018064962814448533,0.8505852648210954,0.017884380950789206,0.01925720891309579,0.00054989998441137,0.9745185097987473,0.0008526261579118032,0.9932101589110814,0.03795261651659682,0.7610861353259707,0.0286490263137586,0.017793121492545652,0.0006323598955830655,0.9662989014666649,0.0025426670646458644
Local Model,204,"(2313, 13)",1,Chemical + Physical,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0571322797532408,0.033950182634413524,0.8266236659691628,0.034061383924181204,0.01883633501374617,0.0008772363652509643,0.9740159034040495,0.0016487028508098724,1.1195718576326779,0.038967487361669974,0.8760929137741892,0.03504949685873215,0.019960256998753544,0.0007806503136145663,0.9707505611657982,0.002287404830154154
Local Model,204,"(2313, 13)",1,Chemical + Physical,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1819605065081158,0.12040817398030774,0.9228945258001457,0.09361818423395891,0.020915512023343585,0.002440838647103859,0.9706076148851038,0.006627501009152905,1.3830581168843128,0.28034172856311534,1.0953906324114118,0.22984167784344706,0.02444819848623952,0.00475730179501824,0.9528457581599515,0.0107987879392768
Local Model,204,"(2313, 13)",7,Chemical + Physical,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.1492355272172494,0.18514862539854943,0.8984831603866549,0.13741442627024802,0.02122322128411301,0.0029200430691044285,0.9688521632175425,0.007232264066367883,1.8594655711124763,0.3790827475200867,1.5111483072916665,0.2076936980520954,0.035206660595803255,0.0058067658193337686,0.8770590370222974,0.11322067501703455
Local Model,204,"(2313, 13)",7,Chemical + Physical,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.1218699456318484,0.08909693089551811,0.8597919880840629,0.08630249433611162,0.020045890826810398,0.0021042603107047256,0.9726878279432866,0.004357832324534751,1.3775742777758386,0.07184755080499913,1.0783342768636983,0.07719576665635312,0.025122810041404802,0.0018806653290639054,0.9347475579825719,0.006795923350972018
Local Model,204,"(2313, 13)",7,Chemical + Physical,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0756472562957637,0.07064921374321745,0.8285478131501585,0.07274102236059539,0.019320052449549607,0.001612964783210721,0.9730384696877626,0.0036876134150687708,1.582795212618898,0.06980289746403952,1.1600446700168885,0.04402206422133862,0.027045475505930054,0.00113943801381926,0.9418813011612528,0.00678420577839692
Local Model,204,"(2313, 13)",7,Chemical + Physical,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2291764717018288,0.13849052028797504,0.9436517204050916,0.12197569727159925,0.021974198268923262,0.003053059352989406,0.9683307540322834,0.007570622410608482,2.052163928780538,0.6004155094489925,1.5743985342914466,0.41136841345585456,0.03675793898059206,0.009462198743132318,0.8944776453227843,0.04341922048914041
Local Model,204,"(2313, 13)",14,Chemical + Physical,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.1769541477915815,0.1917739975601953,0.9146495553959046,0.1399289591941922,0.021575434867382733,0.0025796903243372788,0.9675845814094666,0.006050354783473579,1.940511429855184,0.6776155947793943,1.571556780779803,0.4562676467340871,0.03694089152601133,0.012481355569420052,0.8414051903373369,0.19417363765038254
Local Model,204,"(2313, 13)",14,Chemical + Physical,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.2724123331574069,0.11238381047490927,0.994847208799281,0.11341156237952117,0.023278049545340126,0.002636776024578331,0.9648844571196501,0.006313115586715396,1.7347742779781088,0.037923040309343854,1.4423082717559623,0.052841405083007366,0.03324538140012192,0.0014609618441799065,0.8954671015955661,0.00458369291094792
Local Model,204,"(2313, 13)",14,Chemical + Physical,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.075230394251083,0.04209431366479339,0.8152165599449842,0.041764905461044805,0.019003321682249164,0.0009275228243369546,0.9731960257933149,0.0022082572804067897,1.7548097337378104,0.22135805055597332,1.2783721587116446,0.11695185370830581,0.029902922429604836,0.002869332693699315,0.9275804100124714,0.01958223081851278
Local Model,204,"(2313, 13)",14,Chemical + Physical,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2844322956674963,0.10539775912999065,0.9735506284870499,0.0870279048867559,0.022620591997100304,0.0022014807753938494,0.9657678925057188,0.005934620344452644,2.45940186122558,0.9025085535458519,2.052771469292613,0.8677846664956149,0.04725515591743846,0.01963301448063667,0.8257903000856711,0.14916427288653664
