Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,AE,Chemical + Physical,"(1947, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1211111077988067,0.8868543435000577,0.021954451171632472,0.9308276215226122,1.220835658685359,0.9327218892024115,0.023003841747164314,0.9188403448473622
Local Model,204,AE,Chemical + Physical,"(1947, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1170046402113682,0.8814026168009833,0.021786060821428945,0.9313029442470669,1.288519952353767,1.0076761588072165,0.02487461911521086,0.9097423268051321
Local Model,204,AE,Chemical + Physical,"(1947, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.137907344795009,0.8898699631892976,0.022021794438147065,0.9306064614165197,1.0425878710131185,0.8223934026487689,0.020414484135661666,0.9335914751086173
Local Model,204,AE,Chemical + Physical,"(1947, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1087342550199892,0.8700783201910564,0.021520429637917973,0.9313987247712793,1.2224611428319632,0.9407579240578305,0.023407937692449872,0.9220591315481741
Local Model,204,AE,Chemical + Physical,"(1947, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1682532319463546,0.9276782538985716,0.0230133280977897,0.9247131789859646,1.2734269447693787,1.0138555198218335,0.025130543985232068,0.912277576517323
Local Model,204,AE,Chemical + Physical,"(1947, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2035811469586604,0.9476397127850973,0.02333596700290922,0.918972457674808,1.2501907613799776,0.9878112548436874,0.024335368338730134,0.9199997023320826
Local Model,204,AE,Chemical + Physical,"(1947, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1444999679584067,0.8971778771627693,0.022102223856349402,0.9280422532110283,1.2112319311418782,0.9609022737160705,0.02392199142221739,0.9192729750099533
Local Model,204,AE,Chemical + Physical,"(1947, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1238633744400546,0.8834792446875908,0.02191489581343201,0.9307133931818589,1.1914015179135489,0.9384859511662266,0.023169636279012383,0.9214604385772636
Local Model,204,AE,Chemical + Physical,"(1947, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0871916893097673,0.8478105503420162,0.021007775242939137,0.9347783190585309,1.27472907553526,1.0089904049674772,0.024960575373478656,0.9124732156718776
Local Model,204,AE,Chemical + Physical,"(1947, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1338234682621786,0.8898916501594906,0.0219585694089975,0.9309414763244432,1.1890934898755865,0.9084535152562785,0.02257283406841324,0.9147763032607201
Local Model,204,AE,Chemical + Physical,"(1947, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1620533549288634,0.9179455462524962,0.022646887030689712,0.9245997263446945,1.1739910419694684,0.9302484326484873,0.02309669176919048,0.928920637023565
Local Model,204,AE,Chemical + Physical,"(1947, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1273399821132146,0.8826115477751214,0.021771041938707984,0.9300346106239266,1.3034891781492821,0.9992444062844301,0.024619648036323164,0.9074428286334897
Local Model,204,AE,Chemical + Physical,"(1947, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1147321152526208,0.8830658908986003,0.021917782782197682,0.9325902152980339,1.2551511727824127,0.9880156411609798,0.02438422980096845,0.9087771355839246
Local Model,204,AE,Chemical + Physical,"(1947, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1381066029173363,0.8950747924530459,0.02215140787548165,0.9289685712573508,1.2475085061082334,0.9560642938687439,0.023634968417291916,0.9140860488295341
Local Model,204,AE,Chemical + Physical,"(1947, 17)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1184494772073814,0.8751575181052682,0.021627825008631245,0.931658481775379,1.1633053758868888,0.9303999560044787,0.023198952519420415,0.9238881680433936
Local Model,204,AE,Chemical + Physical,"(1947, 17)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9839280880817121,0.7802649088383029,0.01957492099806696,0.9467261836306916,1.2991409750418388,1.0452056331019248,0.02623033286159916,0.9084738804729426
Local Model,204,AE,Chemical + Physical,"(1947, 17)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0666510004676475,0.8387754121796507,0.020541904265585276,0.9375202376722678,1.4089773043179876,1.0875740717816096,0.026891240994290022,0.8910574588672715
Local Model,204,AE,Chemical + Physical,"(1947, 17)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0188008354977165,0.8127248387522511,0.020181859499083243,0.9443154236800917,1.2742304503084811,1.0189915186632674,0.025437282253339313,0.9020086138076104
Local Model,204,AE,Chemical + Physical,"(1947, 17)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9944337100174712,0.784461485379702,0.019272278039907324,0.944836341015783,1.2944445655573573,1.0250767628137634,0.025472867638742104,0.9109728030458487
Local Model,204,AE,Chemical + Physical,"(1947, 17)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.209071294717484,0.9766609293454652,0.024363975168636653,0.9193064109110463,1.4391134956181912,1.1510692956312645,0.02843361302384008,0.8862989133135845
Local Model,204,AE,Chemical + Physical,"(1947, 17)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.077704386159392,0.8551749999682727,0.0210506935462492,0.9350670589600046,1.2978722296436365,1.0513432759110644,0.02601711820137983,0.912679332001864
Local Model,204,AE,Chemical + Physical,"(1947, 17)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2185769989963746,0.9829661755379027,0.0243583522720735,0.9184929193307935,1.3933646540664637,1.0824246416809737,0.026913462231759694,0.8938480032427641
Local Model,204,AE,Chemical + Physical,"(1947, 17)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0489586857977282,0.831647128315715,0.020813725610498084,0.9397025178832006,1.3272934493382478,1.038181706965773,0.025807842693122876,0.902261601540048
Local Model,204,AE,Chemical + Physical,"(1947, 17)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1343990238573982,0.9139764632187879,0.022720011696248852,0.9289288232737726,1.3939063031180128,1.0978134556279349,0.027150723554444554,0.8957717005129523
Local Model,204,AE,Chemical + Physical,"(1947, 17)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0408757094112655,0.820490234672249,0.020112046856243525,0.9418728923600247,1.2670677217598445,0.9844628778750684,0.024485117463973652,0.9020414869034103
Local Model,204,AE,Chemical + Physical,"(1947, 17)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9622249390692885,0.7615582402299332,0.018910667310778253,0.9482767962191029,1.2215489622196403,0.9662494967060703,0.024311843973032005,0.9230623954701964
Local Model,204,AE,Chemical + Physical,"(1947, 17)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0105087283540553,0.7943110391023175,0.019685692848542647,0.9438610691381066,1.374131072582367,1.084158723072339,0.026786545032258517,0.8972478697296655
Local Model,204,AE,Chemical + Physical,"(1947, 17)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2288920065835132,1.0002865660035765,0.024856299050598326,0.9180364962684749,1.5707924179701704,1.232280918337264,0.030273943291454487,0.8587398027498557
Local Model,204,AE,Chemical + Physical,"(1947, 17)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1602516719753557,0.9307901957127956,0.02314255715503985,0.9262733072945234,1.4008590492934594,1.0741153316035104,0.026654839614177247,0.890670313020345
Local Model,204,AE,Chemical + Physical,"(1947, 17)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1417102367589227,0.9127679180789303,0.02236228115140166,0.9287927752092554,1.357225472842774,1.0875665237961434,0.02691767599311854,0.8960416395486356
Local Model,204,AE,Chemical + Physical,"(1947, 17)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9963959655712885,0.8010697923944244,0.020044782246057564,0.9454543813822459,1.3166519713008273,1.0342845253794961,0.025539344488600752,0.9053769920665387
Local Model,204,AE,Chemical + Physical,"(1947, 17)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9154939893884052,0.7223090524887066,0.017968207780894096,0.954047445906817,1.3402439777620658,1.0172440640267482,0.025369965656367725,0.8990362222589318
Local Model,204,AE,Chemical + Physical,"(1947, 17)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9278330154001986,0.746447335268966,0.01892139268692526,0.9537893600428993,1.2370508044999204,0.9766932046072824,0.024668278203213358,0.902268689873673
