Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,AE,Chemical + CS7,"(1947, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2997136574402544,1.0142861271183983,0.02528780647680269,0.9070325833430211,1.3141499251208326,1.0288656846459157,0.0256373161735608,0.905959352519549
Local Model,204,AE,Chemical + CS7,"(1947, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2872570903064018,1.000164873445033,0.024923106669405618,0.9087655716855516,1.3622768719995424,1.0787049660177703,0.02675268244836528,0.8991136047551559
Local Model,204,AE,Chemical + CS7,"(1947, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3306180076971956,1.035638609862414,0.025832207584019554,0.9051118398419634,1.1844347277837424,0.9336221196567251,0.023156760134230615,0.9142921182017877
Local Model,204,AE,Chemical + CS7,"(1947, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.28677022461774,1.0090879142708051,0.025100061132697107,0.9075984484491718,1.3662752757375491,1.0401308884766205,0.02600527186387291,0.9026420249828702
Local Model,204,AE,Chemical + CS7,"(1947, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2959354034399517,1.0092523526442756,0.025104716462658747,0.907357197125486,1.3281885220909122,1.034000598638202,0.025870890447553568,0.9045706431173552
Local Model,204,AE,Chemical + CS7,"(1947, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3153694222672276,1.024815779596583,0.02552835300441176,0.9032218318363163,1.2459122453642373,0.9784225559289108,0.024301606330190417,0.9205463338865892
Local Model,204,AE,Chemical + CS7,"(1947, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2971863538497257,1.0133545817239662,0.02521711572958978,0.9075619599140559,1.3253027925253198,1.0178120460009028,0.025498116819595233,0.9033516261672773
Local Model,204,AE,Chemical + CS7,"(1947, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3038777027875903,1.016654291484676,0.02534049987351551,0.9067398791402713,1.2979709505593122,1.0148319041523408,0.025203888867421403,0.9067814981008
Local Model,204,AE,Chemical + CS7,"(1947, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2764511807959316,0.9934859623858152,0.02475839639631696,0.9100941071018658,1.4026600274418661,1.107046551873856,0.02757346273023839,0.894023388074304
Local Model,204,AE,Chemical + CS7,"(1947, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3080521946621189,1.021167706224317,0.025428254027035118,0.9080870821003717,1.2776011563118936,0.9884773682020545,0.024607856617539024,0.9016172499177326
Local Model,204,AE,Chemical + CS7,"(1947, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3118868862599418,1.026893004752241,0.025528841137610645,0.9039021732898832,1.2654395184549885,0.9754621151323065,0.024543211229897312,0.9174158417300461
