Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,AE,Chemical + Properties CS Less,"(1947, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6181472522502227,1.2687319810067375,0.03129103161308371,0.8558975123169605,1.6260551676586894,1.2754382598094451,0.031393075498576374,0.8560219347718716
Local Model,204,AE,Chemical + Properties CS Less,"(1947, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6210025291121923,1.2887291993402716,0.032027959223651196,0.8553243125453287,1.733379544105785,1.344503635504307,0.033174014825109344,0.8366612710098656
Local Model,204,AE,Chemical + Properties CS Less,"(1947, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6087830191452355,1.2590909426570398,0.0310469392380772,0.8612924247418907,1.5108941803944742,1.1912914501670702,0.029592476466013897,0.860534562401092
Local Model,204,AE,Chemical + Properties CS Less,"(1947, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5734683221171175,1.2300563014058614,0.030356906737168447,0.8618365193320069,1.618599269731048,1.2696272626940572,0.03157311942206709,0.8633612772398329
Local Model,204,AE,Chemical + Properties CS Less,"(1947, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5248838833325327,1.1936588422018695,0.029472283611688195,0.8717319401396733,1.6588344171433433,1.3204384997448764,0.032468550122863135,0.8511432179705016
Local Model,204,AE,Chemical + Properties CS Less,"(1947, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6080860098673704,1.2684916621840912,0.03134092280167333,0.8553559874155566,1.6936883591835952,1.3236878038064026,0.03267583574354042,0.8531729620076498
Local Model,204,AE,Chemical + Properties CS Less,"(1947, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5656087577022428,1.2289835366976132,0.030301201664382913,0.8653481048763282,1.5520137785604755,1.2150141671987678,0.030322188164847594,0.8674574047262317
Local Model,204,AE,Chemical + Properties CS Less,"(1947, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.569442850399973,1.2250054270067325,0.030381947817556425,0.8648819812411599,1.6332110671818703,1.294057350845141,0.03187309524409052,0.8524100444375626
Local Model,204,AE,Chemical + Properties CS Less,"(1947, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5144728012623636,1.178952004575913,0.029244371227410432,0.8734381844991702,1.701677254432359,1.364079113055624,0.033716122178158545,0.8440233540688586
Local Model,204,AE,Chemical + Properties CS Less,"(1947, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6121256505013861,1.2748377877114214,0.03153210653792092,0.8603875391553197,1.6022007575743265,1.2360502395041497,0.030593203062302857,0.8452743801208122
Local Model,204,AE,Chemical + Properties CS Less,"(1947, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5198039419504648,1.19973818681603,0.029651922308366843,0.8710278565657412,1.6855790212765014,1.30474006261581,0.03244405472623369,0.8534748429358008
Local Model,204,AE,Chemical + Properties CS Less,"(1947, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.575012324967927,1.2326745755410609,0.030485391903526258,0.8634343900162368,1.6130771972405569,1.2877558077298679,0.031598588064696016,0.8582557279697374
Local Model,204,AE,Chemical + Properties CS Less,"(1947, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5752787457035238,1.2404754966765221,0.03068084049814433,0.8653839818501167,1.64532371275373,1.2816914085250894,0.03150824043982856,0.8432475467720051
