Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(1947, 13)",1,Chemical + Feature Engineering,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.4071589791515327,0.206534419540766,2.5627240326320244,0.14091248032851622,0.06436546833144756,0.0036918704595412534,0.3399319249617691,0.11987186682648823,3.813368319561253,0.9399054077786262,2.775338134765625,0.3688073739817121,0.07018501908457946,0.008768405838141476,0.05125739557321538,0.6393838893625551
Local Model,204,"(1947, 13)",1,Chemical + Feature Engineering,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.6170418538891347,0.016643116390152812,1.2660813760563485,0.020072495309219437,0.0313537167122681,0.0005821821447433774,0.8517754572682463,0.0030398925693033655,2.1489275597957533,0.1414068589807767,1.7175860585921852,0.09764275670393444,0.04157542968241377,0.002199663104838184,0.7731371552295224,0.029370420333611032
Local Model,204,"(1947, 13)",1,Chemical + Feature Engineering,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6342936257421001,0.03898721936223797,1.285916478738972,0.030087246260876846,0.03184727577446595,0.0007734674210716982,0.853234356375421,0.006777662959013316,1.7782920669124507,0.15812016272373255,1.34387969523346,0.05828399311910425,0.033313194930661136,0.0013762109448484854,0.8245956349797204,0.03108835411805118
Local Model,204,"(1947, 13)",1,Chemical + Feature Engineering,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.995619373032901,0.6357558096865807,1.556204805931789,0.49834582961070156,0.03840574945002997,0.012464180937386432,0.7725657994203752,0.1438211302451714,3.3197911884111457,1.6498925199363725,2.40575282862157,1.2189969495333324,0.060754760854349346,0.030663157173092263,0.18560494795821064,0.8031099496504976
Local Model,204,"(1947, 13)",7,Chemical + Feature Engineering,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4891875412966098,0.07248277534091353,1.1830076724107763,0.03804779046991782,0.029753271775877405,0.0013597008942903524,0.8722991506302141,0.026443477297601468,4.926946157010581,1.90876680448419,3.6548975067138674,1.1377845707657226,0.09093550142494697,0.028351331294833262,-0.6693910699094172,1.2779229928548725
Local Model,204,"(1947, 13)",7,Chemical + Feature Engineering,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.5008588286781273,0.11536390710168706,1.1878588858429477,0.09565367305997952,0.029501606883850284,0.0022388386769807253,0.8714922064495636,0.0194351822444441,2.0226818074140156,0.38439681580406965,1.655475610985978,0.33094826300749364,0.04038365758927125,0.0078115160538414045,0.793833429436205,0.07825255509634564
Local Model,204,"(1947, 13)",7,Chemical + Feature Engineering,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5625127289082612,0.15998277911182276,1.2407638652815753,0.14096677061043067,0.03044363258514578,0.0032773372918293475,0.8645986528639745,0.02926698506566097,1.8306346515905456,0.2408390798170731,1.4025804749830935,0.12787318879395276,0.03463646693626368,0.002939599926760646,0.8119116747800257,0.05094128546728114
Local Model,204,"(1947, 13)",7,Chemical + Feature Engineering,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.5226078531587885,0.31076605627707254,1.199419543759294,0.26261678457182275,0.029305819774407313,0.005587053443588018,0.8730685554535531,0.04740969905747446,2.3573945478537577,0.339705437975165,1.8189173270830143,0.27273716252298014,0.04572916256781599,0.007116491359980431,0.6616340814830752,0.10545946987852384
Local Model,204,"(1947, 13)",14,Chemical + Feature Engineering,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.6584019188294974,0.25788713604600166,1.372989330852733,0.26129502447511754,0.03376313783103643,0.00611781717493503,0.8433166956342233,0.04284744420941445,2.993832750035119,0.7850762451137946,2.259133997208033,0.2786061345507538,0.055498204140356305,0.007637879042223086,0.4048350823090813,0.4266747950297514
Local Model,204,"(1947, 13)",14,Chemical + Feature Engineering,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.3169567740948225,0.08626025969935897,1.034149421805816,0.07059231298376831,0.02558861882000126,0.0015564746966849213,0.9015667151189773,0.01299208138252731,2.1503912335514905,0.13877150205396593,1.7443372938368054,0.11493574544595163,0.042450547449570226,0.0026440023253447263,0.7743930242823861,0.028715861662671916
Local Model,204,"(1947, 13)",14,Chemical + Feature Engineering,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3508262176806314,0.04597457676744958,1.0683362305665047,0.03706013725188881,0.02659153759453558,0.000901040630464907,0.8999619640959984,0.007174250086484691,1.8110686714749007,0.22668951585562622,1.3978837886399904,0.09779520541258804,0.03505554966794275,0.0026594228065537507,0.8118148503375056,0.05036049177179375
Local Model,204,"(1947, 13)",14,Chemical + Feature Engineering,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.483008827294035,0.20714102424643882,1.174141983124049,0.18118076049274412,0.028573311978299303,0.004384804715307801,0.8796668302568836,0.04188838718635017,2.7956676073100204,0.7319162589988584,2.2843811859666254,0.7346620079665022,0.05782936331631601,0.018673930526236084,0.5209839159084726,0.23448283450942126
