Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4808137440717537,1.1870744333628562,0.028538046817675234,0.952469933037404,1.4335709559584826,1.1141637877756994,0.026399213010758826,0.9515639728061593
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4527485835245906,1.1508907033893203,0.027477673063726973,0.9527711986277785,1.5653256049980317,1.2880265712223113,0.03176064489002489,0.9480204237738182
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4055751551719715,1.1249083950469072,0.02704578690861539,0.9572664653062343,1.8052807939292315,1.3402871804885428,0.03198829251141867,0.9225262361290901
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4475208639043606,1.1546535182018427,0.027841563910979188,0.9534483254847542,1.6302568827503874,1.2472591258213872,0.029250880852408546,0.9425036004721121
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4701567515219789,1.1611589405765932,0.027862791401392962,0.9518074688986699,1.4832571556001815,1.2029893568521903,0.029018949625706236,0.9537785580082772
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.466875781366446,1.1613621474017273,0.02775019496758374,0.9531231947418747,1.5335780374180012,1.1692384251718522,0.02871023846826973,0.944550081539632
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4700600808785818,1.1611491027193461,0.027756869042744606,0.952237911920526,1.8877734338536099,1.3186990679915023,0.03170533211139189,0.922483980364629
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4620325533355087,1.1634792079678598,0.028111342960903486,0.9525251584228629,1.5013519788482157,1.181298722553996,0.027408424466332924,0.9505403806573306
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.430831421719968,1.143425087617524,0.027502825398363597,0.9543760935252757,1.720887421069458,1.2735895166572149,0.03065126069240829,0.9376782468806105
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4097710155441003,1.1263026006868055,0.027019804266403113,0.9566472382696771,1.7647744519759223,1.3755091672222477,0.03286583941344276,0.9286173110088547
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4740560752707994,1.1674779096636003,0.028062893738298438,0.9527954193375454,1.5152748415761441,1.1910062457050412,0.028473609987051753,0.9461819752972749
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4618314335468576,1.1620903303945158,0.027949017012368165,0.9523342526568702,1.552893365757197,1.2010642176477309,0.028374293151039835,0.949252482990654
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4431772460372787,1.1302937528220693,0.027251566452404844,0.9541361813444224,1.7345835311544298,1.406918539706144,0.03424905221745834,0.9326447260042295
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4199283819445954,1.1304555655003297,0.02724088821758443,0.9560331923010326,1.6946046043280905,1.294687270521992,0.03080830797845054,0.9341002990269323
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.495220242316964,1.1922878375643933,0.028542816068552232,0.950122180177367,1.4864105473656666,1.1286309056119048,0.027350077774952575,0.9536925502650302
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.063307377745903,0.8395467813436566,0.018672253930528078,0.9635061353336172,1.5789032483854153,1.3662916770729268,0.02845853131206157,0.8973729438941431
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.0546935513756999,0.8477506891013982,0.01850502321992062,0.9698884123858862,1.5260954691268083,1.194099389755903,0.02790031066488439,0.9417739816993573
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.1959585253011262,0.9401971750697979,0.021278090603919556,0.9643430164754623,1.8618945499870567,1.4267555210489995,0.034053163521178584,0.9239692431572547
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.349859308663786,0.98790655637255,0.02522265168635915,0.9545625311129372,1.3346453125614215,1.0827598039215696,0.028520158449925923,0.9157939509115386
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.0296609370207008,0.8083670308583961,0.022537172008241894,0.6669163858037312,1.906498790948672,1.4546399984335843,0.03875420417503973,-0.17614835663003925
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.0698876451108912,0.8392468158295676,0.018546892008996792,0.9631475864718281,1.6833947686204118,1.3927720467799471,0.03024851859012623,0.921536995186897
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.2433490053408922,1.0135243715392412,0.02219582476139436,0.954331195931415,1.3738923601377357,1.075632325277063,0.02498459780564372,0.9525096386056594
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.265420237499083,1.0194487096030407,0.022705368085200402,0.9562582523315751,2.589379527632605,1.690483643319817,0.039955833167951746,0.820444842275084
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.3957468417899457,1.1042421897738182,0.02472911396448818,0.9471789048278862,1.9587211332521273,1.5519759374543518,0.04158719347715883,0.8282623666833802
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.4721653843341513,1.16433650061292,0.02715076411861821,0.9503434785038465,1.5486896958984198,1.1927098876845519,0.032475608664362006,0.31970194169137456
Local Model,204,AQ,Chemical + CS7,"(801, 9)",,Decision Tree,,,,,,Out of time Split,"{""Test Size"": 0.2}",1.4317420420543814,1.1462288852076377,0.026434644588445473,0.9519409760240896,1.7175480182965033,1.2795010716639241,0.03479177217776018,0.13820803267372772
