Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,AQ,Chemical + Physical,"(801, 15)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.348186080039769,1.0556129589080812,0.025166807467122288,0.9606026300695503,1.3160631668418488,1.0288271526076038,0.024571492309716083,0.959179004075545
Local Model,204,AQ,Chemical + Physical,"(801, 15)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.331895805487945,1.0367478107327415,0.024638554699120095,0.9603021940240546,1.4725734630735159,1.1665295591354372,0.02825597086913707,0.9539979383535977
Local Model,204,AQ,Chemical + Physical,"(801, 15)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2895456903569118,1.0125139645295285,0.02421204644233941,0.9640305214708318,1.6076920418249439,1.156702473640442,0.02763326649111404,0.938557220182467
Local Model,204,AQ,Chemical + Physical,"(801, 15)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.350471387961392,1.0451980083780987,0.025114216506942035,0.9594812146331179,1.385351167915266,1.082753596305847,0.02551058130997138,0.9584808632582152
Local Model,204,AQ,Chemical + Physical,"(801, 15)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.354931711128144,1.0431108835967209,0.024883771295077243,0.9590657096851904,1.3531644412337096,1.1061579456329345,0.02637392820327287,0.9615309253739908
Local Model,204,AQ,Chemical + Physical,"(801, 15)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3481851960491609,1.0483535989522934,0.024827559986604037,0.9604022565590918,1.8295723993909774,1.1893530974773145,0.028790700102174226,0.9210797683903427
Local Model,204,AQ,Chemical + Physical,"(801, 15)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3933183545682908,1.0712943523722394,0.025434812432376004,0.9570944125610726,1.2955212911959384,1.1002945356369018,0.02664657359215113,0.9634926059541007
Local Model,204,AQ,Chemical + Physical,"(801, 15)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3526837505900666,1.0491676587656769,0.02526399852304779,0.9593610961836191,1.36985905140093,1.071873887062073,0.024965030518482163,0.9588246314138328
Local Model,204,AQ,Chemical + Physical,"(801, 15)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2814105529727189,0.9951633111772226,0.023827759359922453,0.963407496496939,1.6094143726516026,1.1549727230072022,0.027520263512027427,0.945490714143385
Local Model,204,AQ,Chemical + Physical,"(801, 15)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3623424145837122,1.0751752427885202,0.025587595641899656,0.9595151839744369,1.5070303332089174,1.1149540548324581,0.026393766551816838,0.9479454764949345
Local Model,204,AQ,Chemical + Physical,"(801, 15)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3976746279470906,1.0815442857742308,0.025911670983055503,0.9575606917074787,1.395853920059593,1.103492783256199,0.026188642015063636,0.9543306458844175
Local Model,204,AQ,Chemical + Physical,"(801, 15)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3450197243974316,1.0555011488606518,0.02515398431392921,0.9596476231642364,1.5982668010467729,1.2310664901733397,0.02909465261327735,0.9462436112998166
Local Model,204,AQ,Chemical + Physical,"(801, 15)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3500909074353453,1.0436918173565322,0.0247361520183193,0.9598618926138612,1.3408888211644172,1.075164222717285,0.02610848483069759,0.9597499235124007
Local Model,204,AQ,Chemical + Physical,"(801, 15)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3628591629258706,1.077805479766798,0.025626088623819095,0.9594963640815657,1.6646857492706841,1.2491004476547243,0.02985557110133852,0.9364067232601074
