Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,AQ,Chemical,"(801, 8)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.959094206767051,1.5133254623413086,0.03686498580197438,0.9168086458461806,3.023190755167178,2.058290791008043,0.05042622806394788,0.7845922974287489
Local Model,204,AQ,Chemical,"(801, 8)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0317344920908518,1.5469857073946045,0.03767742811415207,0.9076238390622118,2.460273944342172,1.8458661079406737,0.045523213715459886,0.8715925296721942
Local Model,204,AQ,Chemical,"(801, 8)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0550972929392737,1.572531903009519,0.038748679105948695,0.9086464461061515,2.302455144695057,1.7511650571823119,0.0422403347032091,0.87397767477016
Local Model,204,AQ,Chemical,"(801, 8)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.063960755106229,1.5652520970956025,0.038149203821192204,0.9053569966028816,2.12490657726376,1.5896954078674317,0.03868862517349051,0.9023194162322159
Local Model,204,AQ,Chemical,"(801, 8)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.043843956040057,1.5549621777229485,0.03810983984062612,0.9068574934323904,2.318911459113401,1.7353439474105834,0.043019876083106943,0.8870258924435779
Local Model,204,AQ,Chemical,"(801, 8)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9471858803954027,1.502084381341934,0.036891833594867474,0.9173988387530558,2.615460766081767,1.7724669083305027,0.04391484542902518,0.838718122476354
Local Model,204,AQ,Chemical,"(801, 8)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0813175513031665,1.5799114461770853,0.038283807262670416,0.9042607923004197,2.2918790826571818,1.6045170593261715,0.03980493485472757,0.8857450233821829
Local Model,204,AQ,Chemical,"(801, 8)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9889902310698833,1.5095429937925056,0.0373566378266831,0.9121352375806141,2.2134233024189034,1.698112587928772,0.04053643806309666,0.8924984605038093
Local Model,204,AQ,Chemical,"(801, 8)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.024159292693684,1.5384373578861612,0.03745007825735346,0.9086928254893374,2.5017929081725363,1.9220203380584717,0.04750672346211678,0.8682843268934133
Local Model,204,AQ,Chemical,"(801, 8)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9842060588752302,1.527815309426342,0.037351031143006495,0.9141197782794795,2.6074077806964975,1.9245130052566526,0.0460732380837926,0.8441766983495917
Local Model,204,AQ,Chemical,"(801, 8)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0400812128087447,1.5474320442676543,0.038061998164559664,0.9095828014809125,2.054508127403649,1.6326303176406005,0.03900271488350717,0.9010625629875464
Local Model,204,AQ,Chemical,"(801, 8)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0003353514490687,1.5197864105177,0.036920804006639274,0.9107481073089126,2.705827211610468,1.8026012935638427,0.04367383830645735,0.8459251872123251
Local Model,204,AQ,Chemical,"(801, 8)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9406098383361783,1.488235178931083,0.03636890317338936,0.9170708291220486,2.558922080818843,1.9334332714080813,0.047504648061270936,0.8534130551608111
Local Model,204,AQ,Chemical,"(801, 8)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.992676880384983,1.5306863627084144,0.037836406517288534,0.9134103831784826,2.6910697766185216,1.9257390861511232,0.04781973594101155,0.8338131725097297
Local Model,204,AQ,Chemical,"(801, 8)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0501486957129593,1.563422976775028,0.03811937418716943,0.9062291508647571,2.419707371675224,1.7672595815658567,0.04329559059353642,0.8772846183421903
Local Model,204,AQ,Chemical,"(801, 8)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.647249632789569,1.281201792134867,0.03153426185317972,0.9413034832117597,2.86589900699196,2.0450540773711934,0.0510666656778033,0.8060646916567599
Local Model,204,AQ,Chemical,"(801, 8)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.637666294923212,1.319002799307701,0.03240600729799716,0.9400032085778269,2.4519285538520643,2.0076324990216423,0.05260336475908633,0.8666727638778026
Local Model,204,AQ,Chemical,"(801, 8)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6238034391226488,1.306050204086922,0.0323854071279824,0.9432761556826987,2.844054606091747,2.155716544880587,0.054256490286555326,0.7958845666275154
Local Model,204,AQ,Chemical,"(801, 8)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.63005138379383,1.2814117327772043,0.0314758086145063,0.9410762438312194,2.633880852998713,1.8628498806672937,0.046429829587061607,0.8530880279568347
Local Model,204,AQ,Chemical,"(801, 8)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6135597687232703,1.2642407016352277,0.030895240519619695,0.941957077822316,2.152133958743686,1.6990274496639475,0.04243243087668519,0.8998902400991247
Local Model,204,AQ,Chemical,"(801, 8)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6252911461258044,1.2584541028505798,0.031075508669758625,0.9428280616323889,2.4591814096828823,1.9010248560104925,0.04792559578803572,0.847819693087217
Local Model,204,AQ,Chemical,"(801, 8)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6235493542907158,1.2925294603443611,0.03181289533427376,0.9417394609820942,3.016702537711608,2.1363713657154753,0.05512474698299899,0.7989949030580867
Local Model,204,AQ,Chemical,"(801, 8)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6685146550615537,1.3193704520400187,0.032518701700169975,0.938226038598813,2.539475652985983,1.8877296380435717,0.04703136345265186,0.8620110676280913
Local Model,204,AQ,Chemical,"(801, 8)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6986259675104873,1.3300025160927054,0.03250479780071748,0.9357226102682544,2.491595776677434,2.0534500402562763,0.051754065519495025,0.8693365004171927
Local Model,204,AQ,Chemical,"(801, 8)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6036574623444984,1.2817770929815704,0.03142378792073876,0.9441143621514396,3.1801649124954454,2.2217050260656017,0.05621638723104994,0.7631623065286465
Local Model,204,AQ,Chemical,"(801, 8)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6158855120498563,1.2719751045920633,0.03132919477840376,0.9433789323460093,2.4532762166235456,1.8641015469070765,0.04610125623081084,0.8611778021810701
Local Model,204,AQ,Chemical,"(801, 8)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5928259212443627,1.273459210759044,0.0311220853576421,0.9433727591037572,3.1062216292777367,2.3741682456521427,0.058868273477032995,0.7911890852851922
Local Model,204,AQ,Chemical,"(801, 8)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6208363553018874,1.2941201013104455,0.03162720103369166,0.9424433167447919,2.7826268635903197,2.2465232119840732,0.05736467512843418,0.818257065897962
Local Model,204,AQ,Chemical,"(801, 8)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6388728241978456,1.2881266836602256,0.031367235003860953,0.9415095249135895,2.5901069131308665,1.9468100233638992,0.0484563399133458,0.8446286013886412
Local Model,204,AQ,Chemical,"(801, 8)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6536948772337006,1.3004540951325403,0.031763538772921776,0.9392391137022633,2.1560336214628126,1.6966946770163143,0.04345610341135069,0.8989380866709327
Local Model,204,AQ,Chemical,"(801, 8)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7179599893878772,1.356184314546131,0.03381916570834368,0.9358676841973507,2.638938046042996,2.107573816141951,0.052951146417296084,0.8265969640126822
Local Model,204,AQ,Chemical,"(801, 8)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6604956099816706,1.314642447453808,0.03230846493757073,0.9383465352103072,4.400602955496699,3.1000709714022543,0.08575181216126668,0.5030047824516498
Local Model,204,AQ,Chemical,"(801, 8)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.60156139141517,1.241135325148474,0.030598546621480743,0.944690718695671,2.7844789828753895,2.17722314481382,0.05448134973343316,0.789910640119986
Local Model,204,AQ,Chemical,"(801, 8)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7066039224948153,1.3271044300124681,0.032633974515528456,0.9348777171504374,5.636505320663259,3.8239192948517977,0.10305016181428078,0.31545820691962756
Local Model,204,AQ,Chemical,"(801, 8)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.725028315409411,1.3547451611245223,0.033483427308898556,0.9337270563781481,2.612231815822234,2.1569715090151185,0.05568823653196173,0.8366053806530297
Local Model,204,AQ,Chemical,"(801, 8)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8195482363125686,1.4438385858341138,0.03600573876715632,0.9282865286148801,2.746047330405151,2.2015584328391333,0.05647968629741157,0.7584388967049487
Local Model,204,AQ,Chemical,"(801, 8)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5853399254063953,1.2487439283490789,0.03053229232423897,0.9445117274208608,2.8670656751503176,2.233103096573441,0.0571088580123586,0.7965975986978474
Local Model,204,AQ,Chemical,"(801, 8)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7457724163318993,1.4039491282335164,0.03503923803905223,0.9319852622040923,3.10392856721269,2.3671737699155453,0.060138130480784265,0.7949168210456865
Local Model,204,AQ,Chemical,"(801, 8)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.791572677718976,1.4214481344692573,0.035672208797372255,0.9283216759119927,2.645864169268328,2.195786237716675,0.05652750783155842,0.845102970547648
Local Model,204,AQ,Chemical,"(801, 8)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6556261592566526,1.3245808687841547,0.03298163931482705,0.9404321503322742,2.6810401228147454,2.079757563273112,0.05219686219372112,0.8110543521348148
Local Model,204,AQ,Chemical,"(801, 8)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6062640449447445,1.2710282233620989,0.031470693033427095,0.9437683669672626,3.472116427509185,2.616321574919814,0.06713136050012415,0.7096495759984927
Local Model,204,AQ,Chemical,"(801, 8)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6948438303895752,1.3277925340429024,0.032894823961444344,0.9361226594487925,2.7058872068155613,2.1909189958925603,0.05611298537692088,0.8282459001988678
Local Model,204,AQ,Chemical,"(801, 8)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.719338715831404,1.359527735297263,0.03387175175262777,0.9350705550912767,2.6623412572800147,2.19798138643788,0.056908782926104885,0.8078702131697351
