Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(801, 10)",1,Chemical + CS3 + CS7,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.607665362748266,0.6533377340333911,3.4814639405409493,0.42654908587794194,0.08187586131387352,0.005575900060464096,-0.2726547635309371,1.246174984613446,8.708752057105947,1.8024115858011125,6.3956571973164875,1.125260744417183,0.15493550691481237,0.03428667804949524,-8.160023782867095,13.800149264202133
Local Model,204,"(801, 10)",1,Chemical + CS3 + CS7,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.383535480287983,0.021842873974349888,1.0704163216749827,0.013465841082310838,0.02466113706806473,0.00026865114904370415,0.95511158942496,0.001414570667866982,1.8319096933856869,0.0976958509789553,1.3775882581943806,0.06850581560145651,0.037668600919568036,0.0018701710535303834,0.016835453022228036,0.1062670706799288
Local Model,204,"(801, 10)",1,Chemical + CS3 + CS7,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3697933995355949,0.02735894771989036,1.0734424915148824,0.01891286165936883,0.025548641396292645,0.0004084300105411164,0.9586222361540068,0.001976587431202115,1.524601341851169,0.11154274377138346,1.1826545529162167,0.06416044903075198,0.028280879036977808,0.0015681469555602,0.9480065509909507,0.008295407976200929
Local Model,204,"(801, 10)",1,Chemical + CS3 + CS7,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.1067889525648074,1.1320831209767173,1.6339559557955425,0.8489200338781194,0.036692968894083695,0.01871390437987942,0.8255067549410265,0.2152253540662116,3.320560104020894,2.1293672906706997,2.452147991744498,1.5523235535226072,0.05773327117031636,0.03304107185856963,0.4467361915378346,0.4937796120050298
Local Model,204,"(801, 10)",7,Chemical + CS3 + CS7,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5041405373077745,0.38956625134618716,1.2275032682411484,0.3564780655592622,0.029121621931737687,0.00698162683415901,0.867660236184925,0.13292319401535838,15.98645937841536,6.01958620800918,13.92999485476136,5.571701535288126,0.3487050696841211,0.1424414660842589,-62.25704543033525,83.3644744221307
Local Model,204,"(801, 10)",7,Chemical + CS3 + CS7,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.5039715117226464,0.29775425648770615,1.2295158352377096,0.2614461582245682,0.02818834950390761,0.005964681489479715,0.9454472889459286,0.019805749854085467,2.703866080026233,0.38465107078267086,2.1156580589048324,0.29216310784760896,0.05870957897892739,0.007512404409769974,-1.203580554121998,0.64004203888992
Local Model,204,"(801, 10)",7,Chemical + CS3 + CS7,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2336010222812528,0.07260499636461659,0.9764462667084602,0.06098500249897087,0.023566715407986157,0.001382698959637354,0.9663947472400357,0.0043080326594464105,2.127445051790581,0.36982146216389333,1.5959393010317589,0.16097781663972202,0.03939953785023715,0.0037491909948060066,0.8935543446611909,0.042793110587189154
Local Model,204,"(801, 10)",7,Chemical + CS3 + CS7,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.5591951114721636,0.34527953100669345,1.2758725854285056,0.32290945784919634,0.02844325803602748,0.006507627443148808,0.9287960573722548,0.03643582243280856,5.086921271732274,3.480637689572262,3.9245987271343616,2.5666815522585433,0.09483092940636122,0.05476942318872087,-0.4575858419279546,1.3581423215808772
Local Model,204,"(801, 10)",14,Chemical + CS3 + CS7,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.2955280737817454,0.13568067154221483,1.0327617798370567,0.1286944714803803,0.023732815937922414,0.0029802935715892293,0.9610683489270521,0.008115510299441317,3.1481124482479306,0.4879035075032731,2.4487037935342872,0.1884399976648929,0.06835200472451736,0.004661467636646941,-1.9648075244584933,0.9328097358423362
Local Model,204,"(801, 10)",14,Chemical + CS3 + CS7,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5242779244621458,0.2169605269017012,1.2593995450989792,0.21314219882934804,0.029542186162099787,0.004939076872717612,0.9477663096555518,0.01457019678088889,2.092219328311211,0.30850212302736224,1.5991246518547653,0.15979633333059076,0.03934286849097895,0.0037652231598084805,0.8882703816527345,0.037987162496632955
Local Model,204,"(801, 10)",14,Chemical + CS3 + CS7,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.3710190681228047,0.24954006213489216,1.1045620398676663,0.21818955097427556,0.024940329595098745,0.0048352028030675094,0.9486952347274851,0.020516720444171112,5.152212912334589,3.988112706336003,3.963741303929257,3.045735551484978,0.09264681370845704,0.06065326200620065,-0.7108832311843732,1.7116083070876953
