Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(801, 15)",1,Chemical + Physical,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.946430204848701,0.977823142425338,5.200306851108868,0.683807530718997,0.12326473124997538,0.009074545526479462,-1.930259860767809,2.951732424016154,11.791366150921714,3.044506979427528,8.903157483935356,1.9301407090097267,0.22056940139764344,0.06688445780707067,-18.025294641936114,29.79323260531933
Local Model,204,"(801, 15)",1,Chemical + Physical,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.4333770656922198,0.041568509594236844,1.1292868047952653,0.03939187433577601,0.026069349024450076,0.000871210093390133,0.951790637144331,0.002822467520360128,2.1669778018674344,0.15120806174253845,1.6813959732213626,0.13336708872038594,0.045825785259779574,0.0037446644612629926,-0.3784881774237285,0.18709464449389163
Local Model,204,"(801, 15)",1,Chemical + Physical,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.449345816616415,0.045324329427788544,1.1237896981309494,0.03488664402452598,0.026632903058777104,0.0007486096408304224,0.9536563656184468,0.003052178395537542,1.6573183375681384,0.24292748290355645,1.2482148210438635,0.13205440343992914,0.029656772810845406,0.002849387016622238,0.9378357862505606,0.019591179146922676
Local Model,204,"(801, 15)",1,Chemical + Physical,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.925135974361349,1.8436406442672175,2.2397424627726625,1.449217382973773,0.0503522611515881,0.03176135554777136,0.6309613224807717,0.4798290397220431,5.257565107859943,3.6889174106606597,3.8946526060749718,2.7958278607389557,0.09273978100339622,0.06188485063359139,-0.3568529534881366,1.387378288543627
Local Model,204,"(801, 15)",7,Chemical + Physical,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.8237713133688296,0.41161638752408525,1.4683760755666266,0.37572902604670666,0.034953252225631525,0.008232672733554736,0.7427129589369554,0.3345420369963293,10.96871954659766,3.747011654710643,9.208623251696114,3.4948189559203247,0.23169366934841695,0.10189652372511307,-24.18245124677652,29.327689674816664
Local Model,204,"(801, 15)",7,Chemical + Physical,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.7033980331177354,0.6105740911103782,1.3962299196647876,0.5435857594843116,0.03144277447696593,0.01061028937441843,0.9240081517631471,0.054319855388484356,2.6689329800088273,0.293861564484707,2.1488701437673257,0.2377902107030331,0.059934510828513164,0.006578691861416762,-1.1299322695505267,0.4570368568787609
Local Model,204,"(801, 15)",7,Chemical + Physical,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2723078294525554,0.10905737282623482,1.006356481144778,0.09551748887308337,0.02430482685819453,0.002680918150105681,0.9641315589150602,0.006811527674226133,1.8762153140828062,0.4687343536853097,1.3844427863563677,0.18646308357255262,0.03398585788185416,0.004470491060494833,0.9136533735341169,0.05772512073013378
Local Model,204,"(801, 15)",7,Chemical + Physical,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.5958338096057898,0.47919503220209886,1.2999692341377027,0.43450884982108423,0.029073077564652827,0.008929680907278576,0.9210456777870919,0.06602862913873492,5.290013371987224,3.8989439279930136,4.175318625926418,3.070541608008001,0.09891077480240933,0.06545364565010887,-0.4475164184565053,1.4563962697389843
Local Model,204,"(801, 15)",14,Chemical + Physical,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.2935105495274273,0.028573773693647095,1.0046811923418455,0.014781340516794193,0.02311666549901834,0.0002771831595410496,0.961591847527413,0.0017005465119673757,2.073447772653992,0.4550747584322268,1.6174039826951585,0.36999144549362045,0.04526636549318758,0.010752570628723654,-0.3164542517776789,0.5856835903504456
Local Model,204,"(801, 15)",14,Chemical + Physical,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3084281135608273,0.15552725890278707,1.0376128193413554,0.141803492542418,0.02497673978675159,0.003229337860789636,0.9617903436540083,0.009363060039013866,1.7607837007790659,0.24204565082752033,1.3708541226444644,0.18519089357907056,0.03427174955992301,0.004460665816040445,0.9199825084179271,0.030248518209308222
Local Model,204,"(801, 15)",14,Chemical + Physical,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.6989929327608506,0.5170001725680755,1.4020375523874888,0.49764614622307046,0.03143540828943555,0.011249312207027174,0.9148787405194795,0.059404155293939234,6.6582718470393205,5.993174256923035,4.970371077772025,4.48963726840763,0.11763746581283059,0.0974240850916364,-1.5705257611001053,3.0938186024332626
