Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(801, 15)",1,Chemical + Physical,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.393856078789922,0.1600891058889109,1.109427547295888,0.13976613248317493,0.02699605929958428,0.003163594060448602,0.8670848239213214,0.15377409027663091,1.650338085350667,0.20937875968655167,1.3518401592572529,0.16603366062443387,0.03312560176097413,0.005221676212821026,0.7688060181561424,0.27319521366813754
Local Model,204,"(801, 15)",1,Chemical + Physical,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.32297796285109,0.02481392350720931,1.0319154200553895,0.023930809687917262,0.0240688766195217,0.000644676351407182,0.9589509259312085,0.0015388806202691816,1.652014081499323,0.0944701394568819,1.2426710213291967,0.10113431927147207,0.0343840885698824,0.00319222252611165,0.20011044203045472,0.09208793899144352
Local Model,204,"(801, 15)",1,Chemical + Physical,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4078412237735547,0.10026358046800302,1.1123582138602335,0.09501908141802,0.026657021056129205,0.0022680960783066795,0.9560630378576819,0.006500125916812709,1.635841653549103,0.17446219025396115,1.2830559804971668,0.14648603957625728,0.030942641238472998,0.0037431279490291753,0.9398429771531364,0.013710655690538575
Local Model,204,"(801, 15)",1,Chemical + Physical,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.3234244556319437,0.07953563608877333,1.0571968280702648,0.06836716088200565,0.024231612154207296,0.0016958648551941976,0.9510199879569338,0.008660396414695369,1.7797038157523926,0.26850887798667766,1.3930525595299281,0.22207047785594175,0.034627659550037944,0.006042182048098428,0.7774813750725557,0.23016036383830005
Local Model,204,"(801, 15)",7,Chemical + Physical,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.6732947305675194,0.13613418878783864,1.3653292245589022,0.13074664038885572,0.03397116934016975,0.005179674397573436,0.7570531685572155,0.33925601109165904,5.081287555274529,4.397465614752783,4.1441596003528005,3.5129544503858643,0.10927301626744233,0.09643365892136646,-10.03367285893875,23.778724406128397
Local Model,204,"(801, 15)",7,Chemical + Physical,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.5434847817380362,0.10409949958141908,1.2309401057189675,0.09931721971756488,0.029233742774555815,0.0021063171564839355,0.9444587608870972,0.007620499026409283,2.8540849479528156,0.1180357456327119,2.324517813405683,0.12250911975443703,0.06536928578519119,0.0037240988963872803,-1.4106442636593257,0.1985807076379236
Local Model,204,"(801, 15)",7,Chemical + Physical,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4749355898590757,0.07957096557974705,1.1737660344827412,0.07202328771033877,0.02853014419733209,0.0018322158427290416,0.95199468938268,0.005521139034999227,2.648394085419227,0.47864507361961706,2.038677139465673,0.27902518479757765,0.05119623312518286,0.007235799502887332,0.834418756984724,0.07522722514040206
Local Model,204,"(801, 15)",7,Chemical + Physical,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.5144341370281278,0.10286041059235723,1.214399374014,0.08754029381318382,0.02836088981091203,0.002495432301745584,0.9374109352219324,0.009369152879822002,2.8676202992248476,0.6536408142384266,2.2413919052321507,0.507060576401943,0.05737034403101925,0.017004824777178126,0.28004555592141817,0.7432769482552114
Local Model,204,"(801, 15)",14,Chemical + Physical,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.7635984144564956,0.10376206179095501,1.4092413282502534,0.08935763197925874,0.03400153926480645,0.0024178406901685574,0.928390316344983,0.008568366684438854,4.664854587742442,1.6543397644950648,3.72042600373964,1.3521654163842916,0.10514772813209154,0.03812507299167126,-6.1567061187619805,4.370919186830319
Local Model,204,"(801, 15)",14,Chemical + Physical,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.69666576635622,0.1022330917623179,1.362597254618915,0.09682305357259184,0.03376449468458949,0.002565674063196818,0.9362968327377844,0.008056986021062957,2.763521986390065,0.3739144660544274,2.233123066729978,0.28379061376962683,0.057144437757923654,0.007846740553366321,0.8075974418857522,0.05269363860220953
Local Model,204,"(801, 15)",14,Chemical + Physical,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.5681995195808551,0.10969189401129292,1.2421853490088506,0.09020045073558576,0.02928564416105567,0.0027706748933533382,0.9353900482494163,0.006322081737150126,3.6514793886522705,1.5556245525459105,2.939092329337032,1.2884816700881112,0.07645938019537644,0.03856982387871664,-1.0838845257084961,3.0275123848370136
