Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.864213348088431,1.5117629916851334,0.032305217992786295,0.5092490001547914,2.0689935684836733,1.7093825941819414,0.03636635860572432,0.46882610680707193
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.907840462418029,1.5454087477463943,0.03297183514904922,0.5011765175941971,1.8302795778606602,1.479717829777644,0.031941516064768,0.528439646177263
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9399031049562192,1.5654287230662811,0.033422210014312746,0.479816406254191,1.9395723577365906,1.5170535121819915,0.031868718089905636,0.47759876274893776
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9066532729972059,1.5329027694310895,0.03268886760837464,0.5113872918148139,1.8132218757861336,1.4442001225398138,0.03087885877445624,0.5026051466886066
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.869434788429678,1.5045669633914265,0.03214628257524872,0.5222804961974158,1.9400465741584474,1.5835077647673776,0.03401246645861827,0.47164928225541913
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8659413269432505,1.5198120146531324,0.03251757245574274,0.5130044214259682,1.9896719558128568,1.5838702001327127,0.03408664226831896,0.4874935787431939
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8925598328879185,1.528237819182567,0.03265353899912642,0.5085448842199267,1.8515852072704182,1.501560598520132,0.032244274602563114,0.525384322520435
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9087494487231556,1.5225046392587516,0.03252069619894028,0.5057991383589876,1.7317048749473178,1.4106240101349656,0.029939838599943782,0.5608345630520453
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.858549613427544,1.4905250960129957,0.031902366348203676,0.515850841148827,2.036001467687339,1.6888172247470954,0.03615735722605855,0.47172812282764154
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.898354937051694,1.5394995449750852,0.0330033214452134,0.5152880902426059,1.9642053848977996,1.5754870957594653,0.033638044283195605,0.4193074774738407
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.903115636851463,1.5397471129588591,0.03299636848611078,0.5162981295565416,1.7422813969267477,1.4028704168857673,0.030271531642181052,0.5274951361520832
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9408307312606028,1.5708067155495666,0.03354624915081693,0.4759214423860938,1.8905223995468619,1.5270256903232668,0.0323234071134992,0.5285807565648222
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8730085307899444,1.5187577242728991,0.032539075795182566,0.5021529470752869,2.0248015248966214,1.5897771942921177,0.03353673843260739,0.48898004846765963
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8941307138706522,1.5261135717538687,0.032504955922961855,0.5076926212929628,1.9029777615866512,1.5617041563376401,0.03368609813425696,0.4901896785024571
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8362576610317078,1.4746100146953873,0.0315254795639445,0.5416526034900071,2.0245932446872943,1.6582129219250803,0.035616454186090454,0.4081926348861783
Local Model,204,AY,Chemical + CS3,"(975, 3)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.491349437658701,1.1914847203927446,0.025480898799687818,0.6873262749987616,1.8649852963636457,1.4365761368362993,0.03070923339087678,0.547547806750184
Local Model,204,AY,Chemical + CS3,"(975, 3)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5027792850973607,1.2015272914285189,0.025936211250435437,0.6911115049693322,1.7392322269760292,1.3674706474183096,0.029905372400242786,0.5646986462125017
Local Model,204,AY,Chemical + CS3,"(975, 3)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4546266378031139,1.163045487909046,0.024936190937392383,0.7079105903862162,2.1715496927499225,1.5929654883329198,0.03354441059370787,0.34785713387538286
Local Model,204,AY,Chemical + CS3,"(975, 3)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4820424914326649,1.1779126465474603,0.025507858275874644,0.7025812558390356,1.9314947917213312,1.5244323286429915,0.03315360506792947,0.4314523984859757
Local Model,204,AY,Chemical + CS3,"(975, 3)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6709525521975113,1.3577247885770576,0.029619131179136237,0.6157119870416792,2.106600365634543,1.6814914521716888,0.03666283880931192,0.3860574340470343
Local Model,204,AY,Chemical + CS3,"(975, 3)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7326391609627707,1.3893783746763717,0.03033776221848652,0.5805567057823653,2.341975340941309,1.8514541585609394,0.04094338530203339,0.27009144527253026
Local Model,204,AY,Chemical + CS3,"(975, 3)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.567470813364385,1.2569546889273078,0.027283262780121335,0.663567322475046,1.8885908172256045,1.484385677115627,0.0322337831736339,0.5011118503182601
Local Model,204,AY,Chemical + CS3,"(975, 3)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5205621961067117,1.194213038205484,0.025820038904547968,0.6839519942413668,1.735351997624087,1.3823696641064194,0.02968408757698607,0.5519490420630052
Local Model,204,AY,Chemical + CS3,"(975, 3)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5604400924519295,1.2527925437118963,0.02726208056888022,0.6592518408967487,2.1207949467160145,1.7103938874744233,0.037184510745240325,0.4060009996666516
Local Model,204,AY,Chemical + CS3,"(975, 3)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.460339755739191,1.1582227209125684,0.024976702398630625,0.7120738995463347,1.7264134744793516,1.3693557174117472,0.029445965260396504,0.5506741119383743
Local Model,204,AY,Chemical + CS3,"(975, 3)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.518032018586845,1.2105300854034815,0.026151484587862286,0.6900615289653385,1.7224354192676339,1.40679037104208,0.03055372228495647,0.5434101219016676
Local Model,204,AY,Chemical + CS3,"(975, 3)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5588886867002014,1.254369175834557,0.027282478764491514,0.6624008256342258,2.0682466800048585,1.6437016199505514,0.0357004348388711,0.4187199236098933
Local Model,204,AY,Chemical + CS3,"(975, 3)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4770290627357425,1.1766789823231463,0.025465264856015263,0.6909096944289059,1.919741325656978,1.482862571433738,0.03152844372031287,0.5239307015801982
Local Model,204,AY,Chemical + CS3,"(975, 3)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.442139395759358,1.1404014055119003,0.024566887729971013,0.7135742162407668,1.8746600198711822,1.495130064626219,0.03274172301017121,0.5051796412875238
Local Model,204,AY,Chemical + CS3,"(975, 3)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6042996674743593,1.2862287427719863,0.02799905312209444,0.6505485779705051,2.075543888481805,1.6823471150070273,0.03657867706800734,0.38400067095515467
Local Model,204,AY,Chemical + CS3,"(975, 3)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4221107085350497,1.1342790068983253,0.024353449333867495,0.7132302707721211,2.00460383231086,1.5075916583721454,0.032589316155116684,0.4689966842163642
Local Model,204,AY,Chemical + CS3,"(975, 3)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.418954468978677,1.1317339512950593,0.024153759421925138,0.7219267144564459,1.7531871684276585,1.4111295427594865,0.030674903303484723,0.560737722612251
Local Model,204,AY,Chemical + CS3,"(975, 3)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4224648173104746,1.1344804089880673,0.02443916469940701,0.713495737699665,1.7542400349100424,1.391744869357937,0.029621057086981546,0.5770841480790782
Local Model,204,AY,Chemical + CS3,"(975, 3)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5091274301919484,1.193363225506679,0.025828288020954146,0.6882018649544905,1.997703152719563,1.608908969753391,0.03508675480092191,0.38546027623431955
Local Model,204,AY,Chemical + CS3,"(975, 3)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5057271928588332,1.2001035120838468,0.026098006486310492,0.6852964866469051,1.9758908951805239,1.5622009654621496,0.03388988994018604,0.46499617992217945
Local Model,204,AY,Chemical + CS3,"(975, 3)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5904439537543722,1.2649316302800582,0.027640538817845704,0.6411320497858615,2.260467907685359,1.7606803432925715,0.03887551878473422,0.3287920018925147
Local Model,204,AY,Chemical + CS3,"(975, 3)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4407421785958292,1.1553076195747942,0.02476265528342577,0.709667642812375,1.9247361069406559,1.571841631878863,0.034001375692497005,0.4705080890515918
Local Model,204,AY,Chemical + CS3,"(975, 3)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4760838498588773,1.164685588772014,0.02492306046885286,0.6989266734889568,1.7775616072278269,1.4647123231992616,0.031367208223365355,0.5368547099999098
Local Model,204,AY,Chemical + CS3,"(975, 3)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4534200822738637,1.1763024858576687,0.02546819164474737,0.7012492835553938,2.1159820572275865,1.662977105444604,0.036026994682689835,0.4194592022350049
Local Model,204,AY,Chemical + CS3,"(975, 3)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4765649950491804,1.170765278205722,0.025130953953551794,0.7013266332671975,1.7184660252737982,1.3546743497743707,0.02915079835121549,0.5536586828871313
Local Model,204,AY,Chemical + CS3,"(975, 3)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4825571606107901,1.1915494309565855,0.025475635330948963,0.7020218886833951,1.648736307306013,1.3031388377095314,0.02807149389298695,0.5894605435936899
Local Model,204,AY,Chemical + CS3,"(975, 3)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5090681494870604,1.1897112690951708,0.025817627780947858,0.6792797933901746,2.0922805893977303,1.5848230382898347,0.034417600827087454,0.4139064750019784
Local Model,204,AY,Chemical + CS3,"(975, 3)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6259890202384653,1.3045825883649007,0.028591536083221923,0.6211373074496895,2.0922431118240397,1.6283770592658071,0.03508532569287519,0.4401029820418144
Local Model,204,AY,Chemical + CS3,"(975, 3)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.404258066576708,1.1173330722296564,0.023953718489551697,0.7248467221390711,1.8475604633700091,1.5191707946441984,0.03332308983508473,0.5087724903705744
Local Model,204,AY,Chemical + CS3,"(975, 3)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.446788522869629,1.1464750307324343,0.024798031193051306,0.7112340209426782,1.842559889782404,1.5216053176712205,0.032976184741803,0.5137187676616535
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.9030765811536816,1.5376001700376847,0.032026131028191164,0.39204677451625114,2.677960905672767,2.2498315664438095,0.05005459907195336,0.05190344987500095
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.656656627296841,1.3042801392384065,0.028299823245394977,0.5991489450486169,2.6520137588050594,2.348974335499299,0.048540523197334456,-0.007047444302876071
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5203045328326232,1.1731940245017027,0.024715773726900266,0.6728720945029378,4.047860109795139,3.111015926263271,0.06864542503765526,-1.53811946645836
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.9023885253099078,1.5466249661567883,0.03251593555565277,0.45466711576185426,2.559015973111252,2.127154893141526,0.04674384141585399,0.16911940354619537
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.9993320236596313,1.6187262119391026,0.03464817810263305,0.40154451249940215,1.1797044927294498,0.910066868708684,0.020227837233684254,0.4186076465737515
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.9030765811536816,1.5376001700376847,0.032026131028191164,0.39204677451625114,2.677960905672767,2.2498315664438095,0.05005459907195336,0.05190344987500095
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.656656627296841,1.3042801392384065,0.028299823245394977,0.5991489450486169,2.6520137588050594,2.348974335499299,0.048540523197334456,-0.007047444302876071
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5203045328326232,1.1731940245017027,0.024715773726900266,0.6728720945029378,4.047860109795139,3.111015926263271,0.06864542503765526,-1.53811946645836
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.9023885253099078,1.5466249661567883,0.03251593555565277,0.45466711576185426,2.559015973111252,2.127154893141526,0.04674384141585399,0.16911940354619537
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.9993320236596313,1.6187262119391026,0.03464817810263305,0.40154451249940215,1.1797044927294498,0.910066868708684,0.020227837233684254,0.4186076465737515
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.9030765811536816,1.5376001700376847,0.032026131028191164,0.39204677451625114,2.677960905672767,2.2498315664438095,0.05005459907195336,0.05190344987500095
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.656656627296841,1.3042801392384065,0.028299823245394977,0.5991489450486169,2.6520137588050594,2.348974335499299,0.048540523197334456,-0.007047444302876071
Local Model,204,AY,Chemical + CS3,"(975, 3)",1,BidirectionalGRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5203045328326232,1.1731940245017027,0.024715773726900266,0.6728720945029378,4.047860109795139,3.111015926263271,0.06864542503765526,-1.53811946645836
