Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(975, 3)",1,Chemical + CS7,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5430993715566028,0.1526705140657375,1.2210167703873074,0.11754352003257362,0.02591221039970768,0.0021855104287586656,0.633633109205567,0.09179565048823872,2.4646323825321574,0.8231950987331323,2.0234770359137118,0.6899211353454429,0.043896193271607535,0.014442548368625083,-0.008875349092653551,0.46541593144099497
Local Model,204,"(975, 3)",1,Chemical + CS7,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.6326378717863352,0.04564222427693995,1.3010544713338217,0.03534959699405225,0.027635969129327267,0.000662359364971578,0.6373602730908977,0.020446149868889336,1.7503814195951233,0.0395502251941909,1.4583485464764454,0.029954814017831576,0.03209665180292829,0.0006643472090558295,0.501736330920953,0.022328492047132525
Local Model,204,"(975, 3)",1,Chemical + CS7,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6265506772202662,0.01874905957431321,1.3137324493277787,0.01645217674590914,0.028066428599786624,0.00033494810755285205,0.6361617690637338,0.009503492110776234,1.6450771046052788,0.06273547463437507,1.329136014759031,0.062457000984389346,0.028402534623727778,0.0012821850912916708,0.6241305612480824,0.02886416083927759
Local Model,204,"(975, 3)",1,Chemical + CS7,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.6461164435689564,0.08190406472358104,1.3016894839451147,0.06854024415802688,0.02766572774110828,0.0011865037486517528,0.6149321016685805,0.07591794204117507,1.9199512061772264,0.31770901856582934,1.6062134853410133,0.2593875937701284,0.0348117731360323,0.006500502174919373,0.40942113130255375,0.23379030943719975
Local Model,204,"(975, 3)",7,Chemical + CS7,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.404074992429195,0.16020557348352557,1.1079126505533854,0.12173911605299237,0.023517599016783422,0.0021412883453778113,0.6941123936379457,0.08525420900699422,3.227823324119553,1.276764205388426,2.733604805686257,1.2525723136213769,0.059729570077063344,0.027476472321137414,-0.8623551769515452,1.2097776807323968
Local Model,204,"(975, 3)",7,Chemical + CS7,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.4407794245403478,0.0858492413988673,1.1447715585135263,0.06949911052215477,0.024447580816561825,0.0014958766409651843,0.7174726382518704,0.03284369536741543,1.8646887990690553,0.19962165982129082,1.4697587216762427,0.1848006395095365,0.032318168582333835,0.004165722099837499,0.4283977132285482,0.12398645486986536
Local Model,204,"(975, 3)",7,Chemical + CS7,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4088973172508075,0.06562261271852285,1.1191524250644944,0.06388963915704414,0.02416428936330398,0.0015011833274372753,0.7260673020765683,0.027414023929897936,1.683174149207829,0.14626874154460115,1.3325293348201368,0.13140570613303526,0.0287966882031506,0.0030236916358331134,0.600636997176996,0.059731678190304574
Local Model,204,"(975, 3)",7,Chemical + CS7,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.5330155969773327,0.30295255386503134,1.229083535776915,0.25312764392125614,0.026042723432438464,0.004927397445898495,0.646452800014573,0.19399126715897602,2.0453712919926805,0.23128226994806245,1.6471047846476237,0.1918070820156755,0.03547599892482318,0.003939340729753657,0.3405702966321465,0.20081766833492182
Local Model,204,"(975, 3)",14,Chemical + CS7,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.2706276472344578,0.20884300796149746,1.987484851116901,0.18640007179989374,0.041952394218649394,0.003326593106397774,0.1884195459677129,0.16729925359781977,2.3938083229234333,0.8172571680676217,2.09863653916579,0.8294341037441848,0.04533077299835539,0.017554300603430575,-0.1238568302430244,0.5947031360062551
Local Model,204,"(975, 3)",14,Chemical + CS7,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.262581132533361,0.0328964341289406,0.987774543148805,0.02921957572395734,0.021140139777938702,0.0006694528392883704,0.7804283447198563,0.01152598768919202,2.236604935122513,0.0847082998664339,1.8056258819915436,0.08704631665522483,0.0398552937906118,0.001985126916812847,0.15692941543143446,0.06299151747676825
Local Model,204,"(975, 3)",14,Chemical + CS7,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.386235183367764,0.05553860035943667,1.0941228799766065,0.051102608361178484,0.023514995959092604,0.0012372257742446866,0.7313513366403223,0.02450318366133073,1.6515830283119803,0.1174445071182202,1.3180987657819474,0.10019852779555158,0.028425846708702355,0.0022956565225218067,0.6169224457003002,0.0464623491561725
Local Model,204,"(975, 3)",14,Chemical + CS7,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.5995702426720013,0.4105776240889956,1.3025427466911934,0.4106051980102402,0.02770860570485686,0.008699147255428185,0.6091283475866798,0.21088278020804319,2.4767970264697,0.6500568622494635,2.097743122689676,0.6619174016309863,0.04493830923507093,0.013444546395714546,0.019326795960000486,0.4439064274191256
