Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(975, 4)",1,Chemical + CS3 + CS7,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.7275499890444375,0.16373726832512017,1.3836910208677635,0.12048480641552624,0.029433577792764874,0.0022303041737671944,0.5400784426509856,0.12182090820651255,1.9401551528730296,0.779871985998717,1.624663618038862,0.7871755358724273,0.034882867582487674,0.016089976445883687,0.2973034419790634,0.4578885487074828
Local Model,204,"(975, 4)",1,Chemical + CS3 + CS7,GRU,Out of time Split,"{""Test Size"": 0.2}",1.5814106202134361,0.045388714895958346,1.2565632776113655,0.038140090679558064,0.026795771525012793,0.000759092531641295,0.6597459744687478,0.019338680158348855,1.9352460047711622,0.028622816779378592,1.5936269098265559,0.02359728284390323,0.03506472373647141,0.0005580082260228795,0.3911090564735888,0.018085879374533254
Local Model,204,"(975, 4)",1,Chemical + CS3 + CS7,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.599406186994942,0.012610312363931196,1.29006251565004,0.013220436435243234,0.0276632018448248,0.0002837201042832217,0.6482027645747375,0.008244669662155434,1.613498775449551,0.06610871977286265,1.305268791003105,0.06340285318571795,0.027992327390617203,0.0013348905928346588,0.6387122537718315,0.025164840076937846
Local Model,204,"(975, 4)",1,Chemical + CS3 + CS7,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7392937602991752,0.13170920732457703,1.376374788681344,0.1049761241430682,0.029125259359556344,0.002045764859545533,0.5695374066279977,0.09279906004848697,1.8225553134944614,0.21394544322736192,1.5103336513189622,0.19962488570736514,0.03261093289694936,0.004024135172297332,0.4877540677402445,0.1019164354155309
Local Model,204,"(975, 4)",7,Chemical + CS3 + CS7,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.929285682556466,0.28311857814957403,1.5285725138346355,0.22964397292971014,0.03212604332801918,0.004560485557705454,0.4190547760018361,0.1727845254086107,2.959506318350964,1.0511145714613752,2.5362510727391094,0.9873442426307756,0.05460809776829391,0.021020355304015446,-0.5932444489164558,0.8585489752807606
Local Model,204,"(975, 4)",7,Chemical + CS3 + CS7,GRU,Out of time Split,"{""Test Size"": 0.2}",1.6848469652801146,0.016905302587069453,1.3611004266730677,0.006168083001470752,0.028910346311489987,0.0005302278119467006,0.6149731922900236,0.007752745332283423,1.6839949274914279,0.17946612796050063,1.3304810996619063,0.15077316214332664,0.02890486298331584,0.0034163063475794245,0.5338576274975084,0.09663213537672485
Local Model,204,"(975, 4)",7,Chemical + CS3 + CS7,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4783999954712512,0.03519793013709409,1.176539156747008,0.026297685587897957,0.0251722124498318,0.0005512218547567735,0.6987937884927932,0.01673852180557883,1.7037974110518908,0.09233840982932938,1.3582340828493578,0.07855442907730667,0.02907993732822084,0.0015729776857816148,0.5918464244405163,0.036486058757893534
Local Model,204,"(975, 4)",7,Chemical + CS3 + CS7,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.5989076429380042,0.19587651193317873,1.288258564571808,0.18453056011226415,0.027384230741607528,0.0036335315454295706,0.636467705870582,0.09877153381438418,2.2674142188231325,0.19405859615924076,1.8729543353349734,0.17878885751006005,0.04039329714594029,0.004665919258682016,0.18922292024676898,0.22817104832669882
Local Model,204,"(975, 4)",14,Chemical + CS3 + CS7,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.9169654673428227,0.2683411513186909,1.583161696854171,0.2372201980807356,0.03332310904873967,0.004733692926225267,0.41873266564029094,0.16518178211475823,2.491255884577497,0.5015132234104207,2.02710581265963,0.4462315922080568,0.044430031409303086,0.009201347958955918,-0.27036479277949144,0.6575648149231194
Local Model,204,"(975, 4)",14,Chemical + CS3 + CS7,GRU,Out of time Split,"{""Test Size"": 0.2}",1.6116821755612012,0.447201805577066,1.3337519394113209,0.4133965991108084,0.02832843291208408,0.008590881691881824,0.6149346534647959,0.21787997747679205,2.018574969809217,0.11958348419348339,1.651584730043516,0.12035259303593655,0.03630741659552098,0.0030666059683960023,0.31186420320247166,0.08039622151680048
Local Model,204,"(975, 4)",14,Chemical + CS3 + CS7,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4380431317546791,0.0565940326808811,1.1449786207189978,0.0454649729685802,0.02447992681107903,0.0009339648485681725,0.7110335109458508,0.023772905588615143,1.6508667055794946,0.12061048439757638,1.3098302895682197,0.09551946668998189,0.028096696121037212,0.0021399763140664543,0.6175419524923143,0.044752204029974985
Local Model,204,"(975, 4)",14,Chemical + CS3 + CS7,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.4479030039904803,0.22583242339654563,1.1666957404119067,0.19353192278667547,0.024798714410783674,0.0038938035858689375,0.6932322128539034,0.08663084945413214,2.14151426117471,0.5367764283974019,1.7916204700854002,0.4764262506750056,0.03860829506675519,0.01077135050613227,0.2180174085486322,0.4312006930086066
