Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,F,Chemical + CS3,"(2514, 10)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.149707884931365,0.8965415763760134,0.0204869713443451,0.9721734781848129,1.1976783696751903,0.9224087789850252,0.0212148536074841,0.9715031795864935
Local Model,204,F,Chemical + CS3,"(2514, 10)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1546859211031046,0.9092163668290587,0.020847286118886723,0.9727156806866863,1.1492632409370023,0.873629545966389,0.019727643058266384,0.9704951369595656
Local Model,204,F,Chemical + CS3,"(2514, 10)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.13711616333081,0.8925269938297735,0.020425273438242925,0.9728957273869882,1.1964412802233642,0.9327963898433129,0.021724228112256404,0.9710465736597417
Local Model,204,F,Chemical + CS3,"(2514, 10)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1428000444948265,0.8936164099087706,0.020451176557589847,0.9726636698000005,1.1545920579850983,0.8980171188445498,0.020626977502327934,0.9729028254095949
Local Model,204,F,Chemical + CS3,"(2514, 10)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.176858569982015,0.9118930332418937,0.020905152249672793,0.9714365995078438,1.3184431974122424,1.0096596151709079,0.023111182947245217,0.9624649500860267
Local Model,204,F,Chemical + CS3,"(2514, 10)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1457050171574912,0.8953119078208887,0.020496771105280413,0.9726185777020226,1.2470456431555128,0.9642366994019768,0.02225733066878198,0.9679365326902606
Local Model,204,F,Chemical + CS3,"(2514, 10)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1759730459656603,0.9230920868071674,0.021089985875615298,0.9714252365359124,1.1853437846765127,0.9256000952597402,0.020781853566921037,0.9698250317487493
Local Model,204,F,Chemical + CS3,"(2514, 10)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1503621359156617,0.8989347688740369,0.02052530482379749,0.9723475024914029,1.2988884860333632,0.983667730858501,0.022834371694144737,0.9655188790811062
Local Model,204,F,Chemical + CS3,"(2514, 10)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1512412336245184,0.9023309576944115,0.020604580533738703,0.9725166458290244,1.1721269102606227,0.8940656342705484,0.020412128862333668,0.9710431518194012
Local Model,204,F,Chemical + CS3,"(2514, 10)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2181027213695423,0.9420823582977232,0.021687687264429045,0.9690391734847245,1.2500318169347129,0.9647405765731021,0.02211461624634766,0.9678637173005811
Local Model,204,F,Chemical + CS3,"(2514, 10)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1434300556537462,0.9051761450784113,0.02074368833327362,0.9729312253054496,1.2484012574669199,0.9422430156002459,0.021214836625335944,0.9666543874623047
Local Model,204,F,Chemical + CS3,"(2514, 10)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.182058500944553,0.9257488041692321,0.021018564986761083,0.970902437094811,1.1897558228611083,0.9490500514976545,0.022037616625822296,0.9706650230876676
