Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,F,Chemical + CS3 + CS7,"(2514, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1176678312257953,0.8751179903505572,0.020002462737820356,0.9737028061553887,1.1065737372419544,0.8639547875102898,0.019816329277796408,0.9756736634645875
Local Model,204,F,Chemical + CS3 + CS7,"(2514, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1224108981191934,0.8763780227198285,0.020040773051637945,0.9742196308294041,1.1101639257729703,0.8588602333751396,0.01936948226338893,0.972468568512698
Local Model,204,F,Chemical + CS3 + CS7,"(2514, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1152140742150565,0.8682295998336662,0.019836239862861607,0.9739297872949184,1.136328613377332,0.8943094474231272,0.020565678061348926,0.9738828927292605
Local Model,204,F,Chemical + CS3 + CS7,"(2514, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1012519095881201,0.8582703605663236,0.01965636160441609,0.9746152398972161,1.0879402586716778,0.8454482754656143,0.019396214608190947,0.975941033152464
Local Model,204,F,Chemical + CS3 + CS7,"(2514, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0921635790960185,0.8514794295445587,0.01952157702120057,0.975399907486901,1.2906040476875948,0.970061731072536,0.02265194831537258,0.9640333328479564
Local Model,204,F,Chemical + CS3 + CS7,"(2514, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1234920364062355,0.879618821867303,0.02014336896575266,0.9736700296374369,1.176097481831575,0.9109182071875388,0.02128624090061688,0.9714811226064458
Local Model,204,F,Chemical + CS3 + CS7,"(2514, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1388773197381268,0.8916065450902603,0.020401718870007485,0.9731995678194398,1.1387392756744972,0.8895068137925375,0.020223704440478798,0.9721511819298791
Local Model,204,F,Chemical + CS3 + CS7,"(2514, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1346973693575562,0.8781790449463982,0.020019513494756693,0.9730954767399904,1.2235178842297751,0.9699676468168528,0.02223851674452798,0.9694044485586707
Local Model,204,F,Chemical + CS3 + CS7,"(2514, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1577567862146412,0.9087318212508205,0.020761666856574438,0.9722046765155797,1.1608804778209723,0.8785141273331687,0.019964540281733306,0.9715961617221849
Local Model,204,F,Chemical + CS3 + CS7,"(2514, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.098381263983648,0.8530716952557116,0.019520672200997454,0.974826073996122,1.2004112158490856,0.910417781693052,0.0207956464954139,0.9703644089060764
