Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,F,Chemical + CS1 + CS3,"(2514, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5660974338486782,1.26839640377885,0.03049269359288155,0.9483677012269357,1.7015732082472124,1.3893082468931526,0.033478468040847836,0.9424802127751447
Local Model,204,F,Chemical + CS1 + CS3,"(2514, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.586014786164901,1.2920003943156386,0.031111177830444373,0.9485245862475995,1.5352117653581505,1.2524306668533718,0.029683487259049565,0.9473508758353779
Local Model,204,F,Chemical + CS1 + CS3,"(2514, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5603488140664799,1.265935399659174,0.030440985110052814,0.9489646048589836,1.7022490838764204,1.3635446267099551,0.03323922046221225,0.9413911222012509
Local Model,204,F,Chemical + CS1 + CS3,"(2514, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5727968924711415,1.2779068972731278,0.030744234678363083,0.9482220324112367,1.6450712239844405,1.3397055948610093,0.0321547780570232,0.9449906783843391
Local Model,204,F,Chemical + CS1 + CS3,"(2514, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5624840309115784,1.270862718585945,0.03064031201921224,0.9496508045080924,1.747003069843949,1.3939108349317573,0.033110882749614746,0.9340975612130336
Local Model,204,F,Chemical + CS1 + CS3,"(2514, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.573858348998491,1.276663494366191,0.03069004317321031,0.9483296197030473,1.6504480667316603,1.3458000665440948,0.03255954315373626,0.9438371015776756
Local Model,204,F,Chemical + CS1 + CS3,"(2514, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.578212958678925,1.283165643844718,0.030879064468785033,0.9485341536534454,1.6299657617296825,1.3240803266946173,0.03142943843547739,0.942942185597765
Local Model,204,F,Chemical + CS1 + CS3,"(2514, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5698367093710186,1.2798463034001468,0.030763639774689246,0.9485039205875344,1.6648494469036452,1.3393354387833156,0.03207481327344861,0.9433516096765612
Local Model,204,F,Chemical + CS1 + CS3,"(2514, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5779736202192307,1.2848180546089523,0.030935107908804348,0.9483659085757136,1.6324100394259486,1.3123088425623017,0.031377971572815716,0.9438356768275634
Local Model,204,F,Chemical + CS1 + CS3,"(2514, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5702199102176826,1.2749825936046317,0.030613048266541716,0.9485523338137631,1.682729293812167,1.3880273343272418,0.03367605522219613,0.9417652768436531
