Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.099219975828115,1.5503632351591703,0.037846281085382245,0.8828345681193139,2.0756727092628293,1.6438993547124583,0.039571315425946794,0.8961483799321339
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9555684182165014,1.5037541826623635,0.03650883189666562,0.8987350976424537,2.8059541538551724,1.9368415772411902,0.04684588762240431,0.8076860560748463
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.11042785294296,1.567311321990374,0.038225262303535866,0.8845761991682735,2.3699347511823374,1.6877452354067268,0.04179465935646783,0.8508362968074179
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1032112571457757,1.5420871979130826,0.03763832773660517,0.886162515613712,2.183769679786981,1.4730860389010916,0.03550783211914968,0.869316425492148
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0521790970009017,1.5142637203956208,0.036982344454420585,0.8924880890953478,2.4978681330372856,1.8277343720322345,0.045492464020856535,0.822493821772385
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1327549866173308,1.559768033657059,0.03808309169092721,0.8810106161435136,2.186521957421409,1.6190356778889512,0.040223134717380385,0.8758582519920703
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1571857006264787,1.6015115383548355,0.03913888832279688,0.8797089730528789,1.798562761495501,1.4515575422829439,0.03484885505127771,0.9117615523672455
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0120277296659768,1.47755415971391,0.035921673517712166,0.8950430439546518,2.557057919394908,1.8492380215875033,0.045192148701478176,0.8263543093621111
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9397919593976718,1.450817738366483,0.035161916578445786,0.9015489584160352,2.822081877964253,1.8808500817419358,0.04579163960415883,0.796424556894
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.069259201573996,1.5307070521826591,0.03735969878634217,0.8880338490072381,2.4577111388082282,1.6809614380652578,0.040229016584567144,0.8451507793660791
