Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.535701129069269,1.2238896483700825,0.030111615714344474,0.9372957461868189,1.5511239232627991,1.2142512431425208,0.029689703408872416,0.9420052717939682
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4527749257528573,1.139890236721123,0.027885918497448675,0.9441131554488073,1.887721623889178,1.522018560521743,0.03732267869438206,0.9129586668802603
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5362201261144532,1.2161049638616144,0.02976045927522574,0.9388408765446546,1.7130626223054173,1.3194655429615696,0.032998562289856787,0.9220642252957602
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.54452575795977,1.244207581307997,0.030574653461651415,0.9386082793624158,1.6370317300556874,1.196828938652487,0.028806286377766267,0.9265618824640214
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5496285253431745,1.2134825192619774,0.029609211748242478,0.938697065229125,1.6446555649530288,1.3269143708358855,0.033252971891997586,0.9230472089016012
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5402464880519524,1.2222475360314167,0.02996086918678121,0.9379407192358504,1.9012957816277023,1.4375730424768782,0.03662439090753217,0.9061337345056626
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5309813274828548,1.2075961105953434,0.029826093737479846,0.9394104182314622,1.6004289697296676,1.3286820027968465,0.03217479478336946,0.930131813228096
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.53299222665246,1.219992185320173,0.030087785129018055,0.9390711181004999,1.6068633700031492,1.2588779988008385,0.031097064740185535,0.9314289529813294
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5470545509851545,1.2344525234126904,0.030525573890199685,0.9373788179761048,1.7900133092395252,1.4180059747134937,0.03512259113465629,0.918097211332823
Local Model,204,I,Chemical + Properties CS Less,"(849, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5315956328478848,1.2164798682717715,0.02955174682422194,0.9386597986220192,1.7160802514951117,1.3136471313837716,0.03220780093631369,0.9245042445377112
