Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5765884184419683,1.2735653611918203,0.03147427188528926,0.93391235735814,1.6968262733840942,1.3411438150573032,0.03279476569095957,0.9305982717475767
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5856714652463448,1.2715527756428955,0.031316809891737345,0.9334206822803673,1.655224289883667,1.326873088644249,0.03277545322031673,0.9330788594219533
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6121954901294093,1.292250349135707,0.03191694433460384,0.9326419113384711,1.5549713816762079,1.2698929917019839,0.031380951281051686,0.9357851933339586
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6107662018062094,1.299437571035636,0.03214866876668209,0.9332295179644812,1.550035536002956,1.2465699139641002,0.030491698906557327,0.9341598743328603
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.576394066073652,1.2694665128311051,0.031219162279085028,0.9365610999165592,1.7099649220621738,1.3910555310880157,0.035061374336231126,0.9168142643662356
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5884098369781536,1.2792645274101275,0.031412842824733216,0.9339988626446624,1.649510739976624,1.3341995031745384,0.03370056249992361,0.929348649869325
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5978047781893288,1.287726334453399,0.031993194669110284,0.9340058259116372,1.6022218658934548,1.285859548563695,0.03098294432556928,0.929975184509346
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.600321905282017,1.2766555465470402,0.03149001037564607,0.9336015405778724,1.6027130995320717,1.3271676100988383,0.0329876597110837,0.9317827115818716
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5761629570047475,1.2731484007755705,0.031419866937589296,0.9350001673378268,1.6926470850784237,1.3484180176947929,0.033094927562158954,0.926764946319723
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6032496846104407,1.2982247200105905,0.03199186533577064,0.9327860706653772,1.586830397448329,1.2455644947756959,0.030885262388837938,0.9354481979308986
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5739066129789352,1.2663019858686169,0.03145115595752479,0.9352057961516167,1.693475679090601,1.3797045855269292,0.03310405246541717,0.9245058117221822
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.605996974962297,1.2994334848453069,0.03212678385327404,0.9339124598249736,1.572788755741336,1.2345989725417503,0.030367816026852137,0.9310664231454651
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5826125739302355,1.282168574512586,0.031645226310766675,0.9338288604045163,1.6631177311918077,1.301240812495779,0.03203398953902513,0.9318080636385214
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6187603329514386,1.2979144958239235,0.03171222525746561,0.9320303547294254,1.5187240425441968,1.2335345914067883,0.03174095495575626,0.9363726622952151
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.589181799796898,1.2728430251696656,0.0314472464677743,0.9339083929572343,1.6388296053368916,1.3538003233564686,0.033478716000072364,0.9313945600961343
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.2215229884338934,0.924350203546169,0.0228414251783558,0.9502769285546262,1.4419581775327748,1.188431264855941,0.030807058329851696,0.9213582085726687
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.2917526238553771,1.0058535887757212,0.024713237828750224,0.9494680427384197,1.8199963237304753,1.4879007885861493,0.03297173345013821,0.919034608492757
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.346574069270783,1.0755247887337935,0.025187021537126767,0.9522738300373297,1.2454036617010413,1.0103531504214365,0.02250977188106943,0.9586096416161346
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.185596230173995,0.9689817767483752,0.02311498923142099,0.9626987419774886,1.8736544982282552,1.5193015043308646,0.03708815069952361,0.8824005133126314
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.4527407990756682,1.1295004374126847,0.030539212708488698,0.9076620007219017,1.3047661609484427,1.0723907324926196,0.02755086481151809,0.9374723919907728
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.2459486450771682,0.9487520733414022,0.02353480631784871,0.9476858623624034,1.953221822767957,1.5551315683152835,0.037135635028703096,0.880290253802513
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.3233533980362164,1.0205137105970288,0.025563528074071747,0.9437915209488125,2.2881175518736203,1.9093059932292413,0.04329763629205223,0.848497144009142
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.4873852738333189,1.1758123869198898,0.02882553370802002,0.9360660408252126,1.7336260734342386,1.3830262052207374,0.030402525964768848,0.9282923178918557
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.506805893750302,1.1992618086263096,0.028956303535437242,0.9405573860713052,5.2369406718335005,3.289453033275946,0.08928569102304593,0.23968251852186861
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.557360172658162,1.2433990906176955,0.030263217833714127,0.9363096484171006,2.5307909232641026,2.193958223447195,0.057669417811590344,0.7711031107608115
Local Model,204,I,Chemical + CS1 + CS3,"(849, 11)",,Linear Regression,,Standard Scaler,,Median,,Out of time Split,"{""Test Size"": 0.2}",1.5032298607779984,1.1942570743892609,0.0287631384535466,0.9398182190171088,2.8612285677181473,2.457426385214283,0.06636439711904227,0.6755233696534932
