Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7402341316891867,1.3693814734120433,0.034028375904668,0.9194808907893567,1.673789724075642,1.3628694969626034,0.03376171368609152,0.9324699113618446
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6751145870999538,1.3066510260333368,0.03236622599482396,0.9256977509691415,2.027224351377741,1.5330623738905962,0.03768933877650788,0.8996185969941668
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7053255088032966,1.329608218006252,0.03282261253377984,0.9246351345430438,2.0393200151381228,1.5394590467565201,0.03844867866172312,0.8895511643984897
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6763099274565532,1.310118607196611,0.032483538976292026,0.9276850435802895,1.7377758932338487,1.3719009376974667,0.03335126703762275,0.9172448790076594
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9036381093728443,1.4826370634191175,0.03656384138658185,0.9074886874889837,2.2471838776184687,1.67634570104836,0.04275256181278766,0.8563347677078235
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6645494350992702,1.329870829294286,0.03288583462902978,0.9275197506111816,2.3538424262498676,1.574649023168227,0.039987314353835096,0.8561317558721223
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7177792623073929,1.3527945326073354,0.03344883321272102,0.9237231274919984,1.6629967275271738,1.3351381445492014,0.03255586653448085,0.9245621237226804
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7429874601436683,1.378175236810114,0.03388764254677743,0.9212352627939444,1.9685791030416793,1.5641588614968691,0.03830870231512776,0.8970826439376061
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7049314128382038,1.349347476874957,0.03326715727142285,0.9239456899682587,1.8059873239337156,1.4294555955774646,0.03552390678179555,0.9166288937208626
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7269848795356373,1.3525648506388945,0.033264133320323346,0.9220108783654112,1.928114964105835,1.5340501931997441,0.03853128427999416,0.9046955457636685
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6331266400816542,1.2882210195819477,0.03187458715917489,0.9302381540115083,1.8925329722776818,1.4235636632582718,0.03444305044531167,0.9057150225779671
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6379583369001836,1.2887526164665841,0.031590899293823804,0.9312558346635563,1.8160438782010162,1.4213814522238337,0.03517271915538936,0.9080942469980938
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7298982784023145,1.3504353766237687,0.03329903442687475,0.9209393240307464,1.994803085265201,1.5541691620770623,0.038145039436865646,0.9018959136115682
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6871689589317673,1.3331551667832837,0.03286559895331925,0.9261641890578716,1.75682102570189,1.3294392103307386,0.03416393247003043,0.9148585472147672
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6755174394726449,1.3002222287795122,0.03198295354310939,0.9265321971665161,2.099629665804588,1.602103884544598,0.039994964685158965,0.8873901571662749
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.785872249946132,4.357808716385453,0.11157235442308977,-0.11555847296494082,8.13229709480229,6.9270093469058756,0.17248737220058036,-1.5013504456416502
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.245547626890801,4.125218115912544,0.09913950919299297,0.1667235950547925,10.12119702878741,8.707344638600068,0.1950054647657362,-1.5039298493493911
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.414971572778852,4.971447680438007,0.11343210616126032,-0.0831424123455462,14.64335693177246,12.888487871955425,0.2729138238327826,-4.722162766251096
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.0942817054778775,4.610826921816225,0.10854715694136585,0.014413127047121943,24.474567693202026,14.965208159054027,0.374747445612104,-19.065799329601603
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.6776442302687653,2.9234649997287323,0.08036618347341032,0.4082427040924782,3.3207128519502804,2.7834491505342376,0.07467355644847655,0.5949868804260864
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.07020696210681,3.823263222023293,0.09843539283576414,0.14334484428552374,8.029225816130307,6.862588949764476,0.17067978189551689,-1.4383464612291492
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.072360091665338,3.9879316824453848,0.09613644479996264,0.22083834876109376,10.173400460762737,9.176632600672106,0.2150918464858867,-1.529826160015015
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.297499871506613,4.912118479410807,0.11242713684864937,-0.0438363681471623,15.20098638061551,13.113116096047795,0.2748471193161154,-5.166268764131921
Local Model,204,I,Chemical + Physical,"(849, 17)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.285502473008592,4.684075656467013,0.11049981722723175,-0.048406881365546495,28.108375878285287,16.223653001224292,0.41043156465918307,-25.466585202309904
