Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,I,Chemical + CS7,"(849, 10)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1579153220174132,0.884424386924068,0.02158098047587736,0.9643518334345168,1.6401397890236395,1.1154446744366784,0.02706439789801081,0.9351578727280601
Local Model,204,I,Chemical + CS7,"(849, 10)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1633010659919962,0.8799872876188186,0.021361643320900653,0.9641658447820453,1.425238093347601,1.097032451244509,0.026712166310292506,0.9503836884761017
Local Model,204,I,Chemical + CS7,"(849, 10)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1664126252968212,0.87813353635112,0.02136761461468109,0.9647419105720572,1.3880396010755163,1.0861184517873315,0.02654177526008518,0.948832512521014
Local Model,204,I,Chemical + CS7,"(849, 10)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.144591644192592,0.8745656782493327,0.02134578632060643,0.9662851961712703,1.4330480970579098,1.110170456575368,0.02653856172287666,0.9437232673586149
Local Model,204,I,Chemical + CS7,"(849, 10)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.177050847303824,0.8702895591008845,0.02110232544926653,0.964631510688659,1.6006673984136703,1.156715655942517,0.028532313680074875,0.927108538554783
Local Model,204,I,Chemical + CS7,"(849, 10)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.165231653978706,0.8882734236891305,0.021632197019884506,0.9644818095695735,1.478775837684889,1.125537608594725,0.027791626778172252,0.9432174539150301
Local Model,204,I,Chemical + CS7,"(849, 10)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.171972536220907,0.8923316280695773,0.021856897976359757,0.9644947122923068,1.3996662339396795,1.0466849965700609,0.025095262180875495,0.9465613306127789
Local Model,204,I,Chemical + CS7,"(849, 10)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1555383272416966,0.8823120025634419,0.021482334324483095,0.965381199751447,1.5125881302216728,1.126982545443225,0.02735622118790604,0.9392390919746673
Local Model,204,I,Chemical + CS7,"(849, 10)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1840973269615669,0.9281041885946515,0.022495611867772505,0.9633153139229761,1.3578495339066359,1.061078084897112,0.025856106121633287,0.9528708655277924
Local Model,204,I,Chemical + CS7,"(849, 10)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.156854680381004,0.8891168254716771,0.021500554794889326,0.9650043088790519,1.5826479355435772,1.169652519551981,0.028945025182000886,0.9357880321672863
