Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(849, 10)",1,Chemical + CS7,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.8551627964743975,0.23621090767945768,2.2050074506218054,0.15107400007373828,0.05532405754135272,0.003285186419623216,0.7401087947938648,0.05339900484175852,11.441724203762014,11.626234866967868,7.378279496136833,5.359499795004015,0.18016970885369224,0.1404126812541011,-7.808886941787379,17.197501129656725
Local Model,204,"(849, 10)",1,Chemical + CS7,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.3268015592157454,0.029799741409479743,1.0406299192553123,0.024970299067342237,0.02470449054108678,0.0005152834024969325,0.953092183672358,0.002093994672709701,6.822073235429074,0.6104277821914019,3.9469468703924444,0.2471646516944468,0.11354121284553143,0.0070384615966846125,-0.8594065248609795,0.3220921701953276
Local Model,204,"(849, 10)",1,Chemical + CS7,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3000627904880584,0.022936181688250342,1.009789529653562,0.017479443212224208,0.024491103189004514,0.000398779463276458,0.9559449677616488,0.0018093358641921345,1.4312636109490524,0.07467530014276239,1.105992985273893,0.06392666370771166,0.0270159209011091,0.0016041017780855289,0.9461900333470431,0.005055736277681394
Local Model,204,"(849, 10)",1,Chemical + CS7,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7692895954563517,0.7324753990990474,1.3432513359098652,0.5072353866352952,0.033485302189091265,0.013644537077350768,0.8842650138138949,0.11722974216160624,11.493137523124041,16.600569562571717,6.753963827435288,8.258767798893583,0.1823597758621921,0.2378897823423109,-10.336184971067103,21.956353383664407
Local Model,204,"(849, 10)",7,Chemical + CS7,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.1307119915570845,0.28698843707732535,0.9122983963111302,0.27141542228637616,0.022696356488775226,0.007321894175140835,0.9547630891110656,0.028043554196115324,11.054502226530754,8.857115583067248,8.611222991220878,6.119683434954618,0.20222425695644367,0.15177299368984126,-6.957074076812545,11.582090081005068
Local Model,204,"(849, 10)",7,Chemical + CS7,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.0853108160699978,0.05260982695179914,0.8573162871806597,0.040570867625944355,0.0203486458021771,0.0007798938153544519,0.9682855199010797,0.003027677326170045,5.7979247638266855,0.609304193131553,4.797807190711038,0.5577766781100696,0.1300990697230193,0.016903515036633586,-0.3484873492909724,0.2700849871916346
Local Model,204,"(849, 10)",7,Chemical + CS7,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0852132278624997,0.06405185999666942,0.8550010978810003,0.05155914090681017,0.02092064319816729,0.0012527625763870524,0.9691404994515829,0.00372202623391619,1.5194217493968531,0.07813966290793874,1.2038401466339492,0.05351375650022134,0.02974202555160719,0.0014030296815183544,0.9391305021033346,0.007877151273684154
Local Model,204,"(849, 10)",7,Chemical + CS7,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1211743977380768,0.17853475508938174,0.8975633678574627,0.14703235548253574,0.022081067869382097,0.0033583538173425753,0.9618151200599321,0.011442036383822983,8.29857148531178,7.748880647679541,5.446293542530284,3.6586552673650545,0.14179951002569888,0.10777473286106579,-2.600701719551713,6.27633352421457
Local Model,204,"(849, 10)",14,Chemical + CS7,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.0727252121390662,0.2842558833445727,0.8616898853139653,0.24391490990267264,0.02112702085013185,0.004916473295239009,0.9604606247739633,0.017378003829017337,8.068362254681865,5.700354918683222,7.028833271662394,4.2851241074688025,0.15537277287963758,0.10204860396784257,-216.8805901440405,448.9214707329898
Local Model,204,"(849, 10)",14,Chemical + CS7,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",0.9811797941892041,0.07298742814901253,0.7801405805746714,0.05593476815610546,0.018599835763290624,0.001294895232014317,0.9738902193392859,0.0038962190137519486,7.5782883775024175,1.5517420459609714,6.480144219240766,1.136553554841259,0.17929791694167196,0.03211270445256524,-1.5034456390748625,0.9128456907546281
Local Model,204,"(849, 10)",14,Chemical + CS7,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0553684701705799,0.056867777168166565,0.8335004621717251,0.0532400548492117,0.020379462180204925,0.0013572721291743865,0.9709037663005962,0.003439480129962903,1.5690154212852403,0.1287185565210627,1.2605181434480017,0.1031184971038331,0.030861617086429004,0.0029019915823912763,0.935479693329703,0.01230154371206782
Local Model,204,"(849, 10)",14,Chemical + CS7,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.0604177217973956,0.133950504964257,0.8317978061851612,0.10120840901951456,0.020230287764224995,0.0027345707762211017,0.9648596392986236,0.013357957189521295,6.215694963213957,5.929640346005261,4.348398057187105,3.077702964636659,0.11163970361658128,0.08850285958348854,-1.1104225302463218,3.9172417006342073
