Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(849, 10)",1,Chemical + CS1,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.611445008786236,0.6971423434672119,3.521604238062729,0.5579126171725666,0.08717779848575218,0.009282972284166174,0.338022261693026,0.10820848397957546,18.359610510335585,18.801209423417895,11.911844920139687,9.216504990674476,0.2897752970609915,0.2385467698959655,-21.826808056577743,40.36925005210414
Local Model,204,"(849, 10)",1,Chemical + CS1,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.4786401619570444,0.017047550253500916,1.165885239733629,0.016328285290297527,0.02785573217154795,0.0004839865324705246,0.9417632718696262,0.0013376963452518952,8.451099574682425,1.107025628877745,5.911903082155715,0.5980032630061396,0.16488905154366576,0.01779585535094812,-1.879343975722182,0.7292960691349025
Local Model,204,"(849, 10)",1,Chemical + CS1,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4201790059523325,0.03569829807686232,1.1178620939800765,0.03026060955528514,0.027310477986998448,0.0007727997456760241,0.9474073632229304,0.002943804976119571,1.6335894806227667,0.08162710161307898,1.2681757995306275,0.06238554795307689,0.03125639514686321,0.0015744549415275327,0.9299013677786565,0.00619276654724756
Local Model,204,"(849, 10)",1,Chemical + CS1,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.383475089314765,1.0467454048827842,1.8094376197272772,0.7293266821190204,0.04519109123256226,0.019516175021366582,0.7844310654997562,0.21407859320097586,19.47380456183134,28.85223043306455,11.33207069220216,14.41552051923234,0.3059783688535367,0.41438506749243165,-32.685557063065026,67.12987220812632
Local Model,204,"(849, 10)",7,Chemical + CS1,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.3432409339472435,0.19573087897145725,1.080704643085695,0.16544513719365586,0.026970824626933752,0.004478663928150321,0.9394672092165792,0.02123107756817909,20.027872176259105,15.091275573682136,15.12124306490927,10.401927946782251,0.34696852250270915,0.23147304846309597,-22.5013770650663,30.13578409169732
Local Model,204,"(849, 10)",7,Chemical + CS1,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.1664001766746306,0.05317263368785314,0.9264033933053759,0.04681953600825626,0.022094788613096644,0.0012890190946546348,0.963379287171954,0.0033374271012346075,12.01436924480983,1.3960028536431914,10.323021189371744,1.2344389431412794,0.2876957711226587,0.03688377696104492,-4.804407564505074,1.2763821854333988
Local Model,204,"(849, 10)",7,Chemical + CS1,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.128027305786851,0.0682846136734925,0.892523345994248,0.056702404003650834,0.021922245838238905,0.001456526068258486,0.9666464517647053,0.004209017354953332,1.6660893272174357,0.11803370434514655,1.3306386892044602,0.09352230277718551,0.03309581070251628,0.0024324422353670682,0.9265631748406302,0.013002257124984548
Local Model,204,"(849, 10)",7,Chemical + CS1,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2531908450646434,0.25096424365342623,1.0076056471705666,0.20793642164999973,0.024902532410845578,0.004825821187240653,0.9512193749500818,0.0204421439932471,20.34103624681504,32.79026761249613,11.526802883744187,15.091119520501534,0.31100654214609885,0.43637340006335684,-40.03050294280292,111.6695814851747
Local Model,204,"(849, 10)",14,Chemical + CS1,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.320213444345451,0.2205329659742151,1.0551148406154154,0.18472770159230653,0.02589749514429039,0.004226889677797867,0.939850188981646,0.01836110252511864,36.06304211466799,48.803401663308726,28.14308364232381,32.7063716012963,0.6384277440057058,0.7930380599630877,-2060.7503210906693,4047.3608380211076
Local Model,204,"(849, 10)",14,Chemical + CS1,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.0506830389882935,0.016532451168006987,0.8348257913589477,0.01640583314438209,0.0199625040826878,0.0005026468670505863,0.9702175480936472,0.0009327495176476542,10.428111850525726,4.7245503500733435,9.155650624670752,3.908445744319913,0.2514150022679182,0.10917083884535217,-4.4834198583586735,4.708355609100643
Local Model,204,"(849, 10)",14,Chemical + CS1,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2007872320217652,0.1741990643829811,0.9492612953075442,0.143097317248574,0.022953356099215692,0.0031886780989800498,0.961650344057598,0.011791662335838603,1.7422979845684743,0.1638088555907026,1.3984468115550954,0.1333186711313098,0.033517033404574195,0.0035838722357082855,0.9203766400076884,0.015657342714408936
Local Model,204,"(849, 10)",14,Chemical + CS1,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1643222333152698,0.17511606980625666,0.9216017721545657,0.13890296465588745,0.02266697727924196,0.003968490811943682,0.9569051042831191,0.018713623520780844,52.48211910890449,119.19307283640885,24.579985208785374,51.74043921629615,0.680601099165906,1.4665679108225311,-474.9934285019311,1540.9726752350457
