Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(849, 17)",1,Chemical + Physical,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.0351652792471535,0.8320158538618087,3.102813683592243,0.6260736464581873,0.07595368776063555,0.011254507042696949,0.49312753826618383,0.13017876414085836,8.822020496705955,4.1268945913222845,7.041292497373095,3.0298478032523346,0.16610682946532485,0.0650559236198999,-1.8763619465815524,2.5075425283391017
Local Model,204,"(849, 17)",1,Chemical + Physical,GRU,Out of time Split,"{""Test Size"": 0.2}",1.3491086881526109,0.03192574154370348,1.070995731232034,0.028793485182582013,0.025717367025774818,0.0007248834041844081,0.9514989363928641,0.0022981391200560305,5.9893310855061515,1.646155354362912,3.967565042832318,0.6769064718609582,0.11318177976801896,0.02065770462543022,-0.5291922563654422,0.8541711161402913
Local Model,204,"(849, 17)",1,Chemical + Physical,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.34422233615316,0.019915489961925135,1.0642075381706435,0.015631056048018052,0.026113563449384522,0.00039015924780002416,0.9529083118835062,0.0016279630894250026,1.5083062447115771,0.11659863540197139,1.1815173851362828,0.07247735512297955,0.029124672077350398,0.0016955086368759089,0.9398720402453277,0.009857164990850957
Local Model,204,"(849, 17)",1,Chemical + Physical,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.0904834356663207,0.9157055088991014,1.5896632162194066,0.6511223140287579,0.04005017934263401,0.01748611929035008,0.8346087434219559,0.16691335313150843,9.5840301815108,12.2478543299284,5.784851170929893,5.919322483345696,0.1552080377200883,0.1720555026729399,-5.733674686353918,13.365149287707409
Local Model,204,"(849, 17)",7,Chemical + Physical,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.1876182968507438,0.1452141715518453,0.9460312816086276,0.11382824511293921,0.023395402458937238,0.0023963322781522054,0.9534798908790104,0.01275734925638069,9.916942369026744,4.464075216796093,7.887841721448031,3.4420257707869015,0.18168318016598844,0.06773142202423552,-3.2248685836339637,3.702812009681652
Local Model,204,"(849, 17)",7,Chemical + Physical,GRU,Out of time Split,"{""Test Size"": 0.2}",1.1833627952894423,0.13658497701308456,0.9443556885519714,0.11725913344649043,0.0227431208305857,0.0026666831523248207,0.9618834714616709,0.008774431619459106,7.804966733958801,0.815876729918278,5.10828022287603,0.5406424757582955,0.14581926243371787,0.015863882729004866,-1.4433949860598343,0.5232798292239689
Local Model,204,"(849, 17)",7,Chemical + Physical,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1253682253661659,0.09302940427224751,0.8879738067715593,0.08222045408720773,0.02167961048434288,0.0018941501760226624,0.96672924970459,0.005581515831199766,1.5805453157619678,0.09380561229657162,1.2733213121807088,0.07947315072877974,0.03134923355187723,0.0021379509421910066,0.9340989457380217,0.009261882872517647
Local Model,204,"(849, 17)",7,Chemical + Physical,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2780858618658304,0.2876503787579624,1.0331804085654779,0.26008027189448196,0.025607101551288203,0.006595676016716689,0.9493927564028009,0.023888589298594852,8.363408115383994,10.608337771189774,5.38125166365326,4.961247460018877,0.1402104983965124,0.1438963729284582,-4.042707278804442,13.080342634405858
Local Model,204,"(849, 17)",14,Chemical + Physical,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.3727136643244344,0.5298141247162595,1.1408579482969037,0.5044122857586287,0.02816015975108724,0.012758034000191884,0.9225137360450109,0.07403454272363554,6.645964737162943,4.751341302225742,5.899616928100586,4.2570623651304835,0.12776965388594974,0.08984224026394354,-169.24982875951844,483.33258833427635
Local Model,204,"(849, 17)",14,Chemical + Physical,GRU,Out of time Split,"{""Test Size"": 0.2}",1.3298035849136165,0.17314551150636737,1.0836235473950706,0.16140730630202987,0.0260106135250129,0.003693937128292467,0.951495125112026,0.01188832403045671,7.95612014992998,1.1979745015866408,6.305034882057714,0.5998747813469868,0.1765552870731737,0.01737192223868834,-1.7083050972540506,0.7703923570261041
Local Model,204,"(849, 17)",14,Chemical + Physical,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.076831782462079,0.09470758199205682,0.851439302824502,0.07916114121122365,0.020859431506695326,0.00203948747384898,0.9695788431603181,0.005705988082781065,1.5959671098305312,0.15847302639751618,1.2844271451507963,0.1330124795226631,0.03125144093351544,0.003440205549208555,0.9330956170623826,0.014324341384634195
Local Model,204,"(849, 17)",14,Chemical + Physical,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.107579616955352,0.3470264714142573,0.9035454319986751,0.34003155987888817,0.02219339102626481,0.008353391367229955,0.960003727430865,0.0321587024472019,5.235315541102264,4.1534389074096945,3.7158597261872104,2.092411535051644,0.09490299576965922,0.06082341080841549,-0.2788777262669855,2.007017122824491
