Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(849, 12)",1,Chemical + Feature Engineering,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.520605528736471,1.078396054230912,4.9697987182052055,0.9772729779954765,0.12358323493859016,0.017423516291468752,-0.3219553047068498,0.24089104337923983,18.284181277918155,12.947191389291065,12.580500904307646,6.993846581286069,0.3009376250403377,0.17575467386446722,-15.252929965755065,22.45467679268365
Local Model,204,"(849, 12)",1,Chemical + Feature Engineering,LSTM,Out of time Split,"{""Test Size"": 0.2}",2.0412557419112987,0.020064907263134663,1.575161422781928,0.01740134677244962,0.03820291425540728,0.0005326953237838507,0.8890183833144946,0.0021805439007369074,13.479930273680358,1.103054130009741,8.652350060706045,0.6601245312766467,0.24727598240360105,0.019316695851578292,-6.25023313916014,1.2022812513353003
Local Model,204,"(849, 12)",1,Chemical + Feature Engineering,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9135759508652048,0.026262742641203735,1.4899283836642456,0.023638805117960383,0.03667126333005483,0.0007297673770814363,0.9045779387090337,0.0028993496293207776,2.137835906430293,0.21076863766750537,1.6280805651420314,0.08745535731530842,0.0402530267918024,0.002406156074972267,0.8790605322530214,0.024851607462168468
Local Model,204,"(849, 12)",1,Chemical + Feature Engineering,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",3.0657794927724122,1.4558554559133596,2.2235804843509306,1.006628920242604,0.055903832535872035,0.027274597240849737,0.6325699678467352,0.4059338306424799,21.29546481723743,30.944322605826827,12.564084577213226,15.503995286505935,0.33865479863849884,0.4453920278645509,-38.27040107387879,78.84168796891794
Local Model,204,"(849, 12)",7,Chemical + Feature Engineering,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.6406078182487798,0.4360083241106768,1.3478310982807078,0.408305689960614,0.033197447752740104,0.010102797002690367,0.9030600223629667,0.058896126055777716,10.557952232924556,5.988252916541416,8.279658913612366,4.3000397909277845,0.18792114344002997,0.09345137015296592,-4.427449955712826,5.962868830023182
Local Model,204,"(849, 12)",7,Chemical + Feature Engineering,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.450363601041193,0.08080699810816651,1.1552819726110046,0.049670264071668836,0.027634252606562364,0.0008674883126070206,0.9433199983389681,0.0063572623381308235,15.926345524262745,3.0102745402312507,11.97379396338212,2.0870522128638833,0.3418412803528861,0.059638593201275375,-9.4233830177386,4.022417285959349
Local Model,204,"(849, 12)",7,Chemical + Feature Engineering,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.330570854907845,0.08318284073758307,1.052542639970837,0.06379677155225084,0.025624926993180527,0.0014458843260036452,0.9535864194787319,0.006014445367415318,1.7680302020324048,0.09843557183022901,1.4423231883897203,0.07762338093160595,0.03562926213480829,0.0019866821144113498,0.9177055099169608,0.010038062275184629
Local Model,204,"(849, 12)",7,Chemical + Feature Engineering,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.4317332364737714,0.170893959303133,1.1281635474837557,0.13766394035879312,0.027516755885980865,0.0030839652381445745,0.9379452177873984,0.014962711402167607,11.983193044990571,13.51536303868431,7.483227974023096,6.148738105718406,0.19617263709923866,0.17825981351182815,-8.072470059321343,17.416642300403513
Local Model,204,"(849, 12)",14,Chemical + Feature Engineering,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5316596491675087,0.36679492880201375,1.2594525654916249,0.361170539987111,0.030856621376757147,0.008321048126330232,0.9160563216012251,0.04388665017388771,16.59543945602191,12.311067202435853,14.920889142354328,11.19929762214858,0.31491986945901396,0.22812988661351746,-2098.3457040207854,4585.370865416185
Local Model,204,"(849, 12)",14,Chemical + Feature Engineering,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.559230076635659,0.30492345660837017,1.2850285902023315,0.2722223245082586,0.03081432073453218,0.0064876967964037045,0.9319184782660912,0.02387730151122666,22.244685034112663,2.460679476868094,14.674938751298358,1.7100360643981043,0.4198696393400814,0.04721507959124117,-19.955258198749135,4.571214997635492
Local Model,204,"(849, 12)",14,Chemical + Feature Engineering,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2649776919793707,0.08961689770166958,1.0055209725542609,0.07294467056750968,0.024606824111538493,0.0018231337211466407,0.9581100798089872,0.006203520550249452,1.8530516302133297,0.14352425548101802,1.5064557228470306,0.12801600838095983,0.03643792439968712,0.0032078529503670483,0.9102941554978288,0.01448194547071501
Local Model,204,"(849, 12)",14,Chemical + Feature Engineering,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.3709300721040398,0.41960956823272955,1.1048027506788658,0.4017377611125445,0.027063984144935653,0.009737290987515735,0.9381386606225959,0.045805578467939256,18.50065643599983,27.172940416379017,9.560883435152776,10.146681598449868,0.255931663243715,0.29293773219429214,-29.432535204881965,66.64763598273845
