Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(849, 12)",1,Chemical + CS1 + CS3 + CS7,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.6751374780329416,0.19519436072588114,1.3295658209529924,0.15758079137415754,0.03234451635271802,0.004157744925496393,0.9061439589379121,0.04035130557162141,2.2184960863181713,0.5097209642164015,1.8368071785721123,0.441803682222922,0.043428154722628065,0.009326530964774366,0.8425775691744505,0.06327942713799481
Local Model,204,"(849, 12)",1,Chemical + CS1 + CS3 + CS7,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.226697381729773,0.02642186210193848,0.9847478873506151,0.02835561195431893,0.023684582593288123,0.0007832299498317806,0.959904968464612,0.0017367146736269625,2.673922718980267,0.2999297067455679,2.305795648612228,0.20846704631285648,0.06427781794857497,0.005914913396353336,0.7130500727769755,0.06609449217311739
Local Model,204,"(849, 12)",1,Chemical + CS1 + CS3 + CS7,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2043820216996763,0.029859685970683465,0.9444172574856439,0.026631419878772402,0.023066398625915863,0.0007514401670228738,0.9621923775346353,0.0017768886059443603,1.3291358923419314,0.08160727631302088,1.0440383434026115,0.07497615721850014,0.025510447632307167,0.001727195508687887,0.9532673179254716,0.0073593936166826785
Local Model,204,"(849, 12)",1,Chemical + CS1 + CS3 + CS7,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2878663136210664,0.13119853779251453,1.0156129064583315,0.08629563435716534,0.024861399326943482,0.0025529644751603486,0.9499390083359753,0.015562042406339174,2.1140334999030768,0.3758680071491618,1.6979795204685653,0.2653402364970727,0.04199827171424288,0.009734523144212475,0.8634699868174115,0.053051326928691106
Local Model,204,"(849, 12)",7,Chemical + CS1 + CS3 + CS7,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.7531556694707655,0.30532548562479533,2.1676824653969557,0.10920942000815131,0.05107136672158803,0.003541043828117374,0.7376770549448969,0.11780123276828679,3.897849628983771,0.7678492090269647,3.2696438916524255,0.7421529733982996,0.07412755807431458,0.01624703964487833,0.4552346145183774,0.21092355646495856
Local Model,204,"(849, 12)",7,Chemical + CS1 + CS3 + CS7,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.2569300212390901,0.03384515838997385,1.0195345078245655,0.04091489897682901,0.02470625166951737,0.001236511742817055,0.9575314913317716,0.002288726676234943,4.58432753422744,0.7521299100359459,3.9040641542066603,0.698732278205279,0.1099237837808182,0.01979086053072437,0.1437146186043863,0.2725851152604249
Local Model,204,"(849, 12)",7,Chemical + CS1 + CS3 + CS7,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2200536480091024,0.04673313355391203,0.9740377311174359,0.04852566454877553,0.024044856141940008,0.001295394596321897,0.9610810450398483,0.0029705935582808114,1.6565909486304897,0.1396882744643584,1.347183099178289,0.11746571056328356,0.033425981005409486,0.0031928941147772332,0.9272523991937056,0.014158189022595252
Local Model,204,"(849, 12)",7,Chemical + CS1 + CS3 + CS7,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.5666959092241408,0.5020808527514881,1.2830570275971716,0.4182015787806409,0.03133003131334969,0.01017718008553441,0.9135715557520837,0.07317706186859438,2.929334925166653,0.8692323489614991,2.3841680795091715,0.6453392519905716,0.059625427334656006,0.018772866528515206,0.7233188119920634,0.17112978184649213
Local Model,204,"(849, 12)",14,Chemical + CS1 + CS3 + CS7,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.4066261852308495,1.5995871858657618,3.640640645294501,1.521079247170349,0.08543815623902941,0.03568323159442096,0.19560359680867206,0.5156765293228908,7.098840152060083,2.8649107166033176,6.873508122762044,2.9387900474082156,0.1471600658797394,0.06291169228722435,-330.25570493869964,626.1704347231225
Local Model,204,"(849, 12)",14,Chemical + CS1 + CS3 + CS7,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.32546298881982,0.0246025944622333,1.0752612636884054,0.013978047848395165,0.026070991900626606,0.00016493529725702616,0.9525982576794142,0.0017556115934505591,3.677490014095371,1.0161379063924618,3.2505681151955486,0.9386031988730735,0.09109118509278669,0.02667803542575899,0.391003862553676,0.33626836179254715
Local Model,204,"(849, 12)",14,Chemical + CS1 + CS3 + CS7,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2594731861564972,0.0539745331952892,1.0101926041880314,0.055822473028585944,0.024988850275297063,0.001555423081781208,0.9586186816582783,0.0036989363008574673,1.9022914979199919,0.1385761179939251,1.5561741498454444,0.12040494113260264,0.0379755362650089,0.003071099068412762,0.9050059034219216,0.016473755400997176
Local Model,204,"(849, 12)",14,Chemical + CS1 + CS3 + CS7,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.5772071346961951,0.4323164563590987,1.3094767589198422,0.3692602362844986,0.03213808602266124,0.008886577381788122,0.9140168576863557,0.06441143440845085,2.73310121005167,0.6386100208344607,2.3065718022793296,0.5497561919744506,0.05705525897095111,0.014450290148906334,0.7594906293000092,0.12468101980344115
