Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.416459804048513,1.1461740181528925,0.02588402164155451,0.9480685944680982,1.539390160953674,1.2018898128082391,0.027621362678998788,0.9400180420492558
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4008799911083467,1.1348330052202733,0.025732918568049594,0.9499881360322474,1.577664767712637,1.2792826313033527,0.02870307885838385,0.9329457311211353
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4139948264932145,1.1469493119228762,0.02599756597485179,0.9482000876583118,1.4469931978564283,1.1698444263355154,0.026301488078561048,0.9471370544709581
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4409538373392716,1.1603139889102183,0.026290714265470166,0.9467751661739241,1.5895766044797177,1.223426865979051,0.02810840010498384,0.9335001061789856
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.380588654388591,1.1152935319701676,0.02527804107559883,0.9506534172814264,1.5599357536134217,1.2378042567190517,0.02783299821791455,0.9385890503593698
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3902176742814825,1.1210118449148525,0.025363529976455843,0.9497636818994692,1.601235595137448,1.2903947160050677,0.029280218317783144,0.9362454232459598
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.401355174418463,1.139386057467074,0.0258764217558167,0.9492225677790319,2.0192195504719734,1.2455003200810852,0.027815312509995922,0.8965842551972785
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4057340732383106,1.1317628587995257,0.02570303150400396,0.9494353395134384,1.4763986183151734,1.1966112839393175,0.02662104420790689,0.9420844055848879
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3797516596873944,1.1272983128315692,0.025612648130411964,0.951418725045839,1.8053880837940415,1.27545909807949,0.02904275152333774,0.9123945473056357
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4089210652537245,1.13219743500345,0.02566992806092888,0.9486715464924828,1.450458885612389,1.156566596307349,0.02710115656917222,0.9460834426812958
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4388990633712595,1.1723979287165933,0.026579125933869244,0.9461208764979384,1.399992643410374,1.1087033293145965,0.025149033149466423,0.9514953960363286
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3921091466392297,1.126819172862874,0.025483462399565223,0.9501101561902283,1.8832389612996507,1.2981182260402842,0.030272608516059615,0.9083951235810556
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3825473901061116,1.1131023838529257,0.02538940849722303,0.9511488523954573,1.6366849799698246,1.3444292105302849,0.030007867865676923,0.9284244351633653
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.404698613566096,1.125147265430583,0.025455523211900172,0.9494331606532628,1.5751135982781062,1.206463219484307,0.02731059406953905,0.9346681819249817
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4278711686341055,1.1481302700263654,0.025944048724063275,0.9473031669428238,1.515519423336725,1.1907314963322346,0.02713955410499189,0.9416438865642311
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2340912387005902,0.9949448423254467,0.02264550341470937,0.9596219326588317,2.132144065415697,1.3804858005887741,0.032824021029858375,0.8792465341011825
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2407328600018843,0.9878584908595957,0.022412620846823446,0.9597368145290056,1.9466923343785023,1.4972674528889638,0.03377957132688521,0.8936303677558145
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3092494927480343,1.051150494408748,0.0243544029641816,0.9545881215259134,1.6326813601406622,1.3007705150303503,0.030679053280921735,0.9287742601228494
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.266803081252734,1.0181080865766305,0.02297431029860204,0.9578644421724384,1.4970192009353245,1.2073547426595728,0.02809358494564536,0.9372898872262272
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1877891096579525,0.9607369830238329,0.021820856296096574,0.9627258220960081,1.8078282897242828,1.3878476091440286,0.03176942021615303,0.9129491821066404
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2095571964069831,0.9664177544974157,0.02197138391724929,0.9610890013535478,1.8377150426571465,1.4509333123804629,0.033388222696561366,0.9126881402524136
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3318577841757024,1.0532181195332164,0.02405823597227165,0.9530941095458113,4.109088546992146,1.8842549145963678,0.04262567551482831,0.5450357928925336
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3374320675747304,1.0686705059059007,0.024507272349642464,0.9531086793579697,1.6912593246859111,1.3529050600677113,0.03087823454025288,0.9203018832093524
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1586673521901367,0.9319485044947777,0.021408320236406982,0.964944304148432,1.635338783857213,1.3062517316509579,0.029829194978840665,0.9224643271647148
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.215779082571621,0.9643752898870143,0.02192108950626232,0.9609613407931847,1.6421986271793714,1.3460435221017886,0.032082976851169516,0.9287915897944119
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2448796197111625,0.9951560981615588,0.02262916317592664,0.9587479412626783,1.5900824830730431,1.2723440070567786,0.02910897356554445,0.933825757697612
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2491790088701444,1.0117284063552827,0.023278936795672927,0.9589532261656611,2.1092472911567315,1.5478667294830704,0.03698663207671236,0.877363474499953
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2118956863274846,0.9740495607567209,0.022072961787993905,0.9617715403469188,1.7240511284747069,1.3998705788766694,0.03194467545356358,0.9158331899989727
Local Model,204,O,Chemical + CS3 + CS7,"(1295, 10)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2685900775813752,1.0297337840441871,0.023764220213143485,0.9577546607926003,1.6316802645937876,1.3076003521804491,0.030554578785690976,0.9252218162161391
