Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5804078698290795,1.2502225674073209,0.028399173773676595,0.9353512793674884,2.5297610811558338,1.4494170082121745,0.033709456972640855,0.8380122254153508
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5691331351345659,1.249955989587261,0.02853754648726663,0.9372533182922956,2.118573414675215,1.3191631025513166,0.029365118103616535,0.8790839326407683
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.552175738488915,1.2431810968907184,0.02849742836721209,0.9375812358653668,1.6739370762359296,1.3282245709629132,0.03008744524478353,0.9292548557070925
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5680762880342982,1.2433675718859818,0.02833733882510238,0.9369698190968847,1.9130709885689547,1.5244234711046847,0.03546389988994658,0.9036791738203348
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4974735295079538,1.195218547688488,0.027324632133498113,0.9419440426284427,1.9351320049351324,1.4478723710107988,0.03288467692079184,0.9054952624527987
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.515054132407866,1.2064754939723659,0.027545962019889157,0.9403365323064816,2.1482070672255715,1.4881371987832563,0.03365860660450454,0.8852498723507555
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5376309816584062,1.2319980795134908,0.028209094763721233,0.9388666022580034,1.8291690671825929,1.368857783608455,0.03100436901857125,0.9151352617525473
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5684883459447687,1.2402411876958308,0.028319770331136505,0.9370488969326921,1.777334859436535,1.427516335152291,0.03180455521802734,0.916068153876059
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.564938893090314,1.250683037452256,0.028711883170075413,0.9375026178813568,2.855745945272454,1.488163559961503,0.034629004002316326,0.7808057625222292
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5669675773414922,1.2358492719436707,0.028212567342198337,0.9365100660329161,1.7319361911616367,1.3544658763988597,0.03215365004976886,0.9231267781942302
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5708772244486542,1.2628295324023626,0.028963403171483684,0.9357838375783154,1.8410323909092294,1.3590606707127397,0.03094003281270579,0.916120793226962
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5478840333610533,1.2297380157235047,0.027972862341544127,0.9383202774740057,2.5406999063779554,1.448668750188526,0.03392751947864685,0.8332697215850083
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.495316534325132,1.1907909898500186,0.02739645476444535,0.9428546380044661,1.803797326387847,1.4273952410488056,0.032099293827502165,0.9130619153480312
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5259757324023115,1.2138508863706847,0.027615265537068404,0.9403246801047795,1.696180774312246,1.294311873977249,0.02972955331832404,0.9242390773750563
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5337660018895347,1.2111739932616246,0.02770250884633766,0.9391970457956951,1.8307717358887268,1.35273484925966,0.031025774805555045,0.9148407664042484
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4757575568845935,1.1972443710656906,0.027920575725829073,0.9422594360408402,2.3152064243102317,1.6871057597433383,0.04040437088911014,0.857620995920523
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2451312720293783,0.9919192810658154,0.022449056683091818,0.9594508416411788,1.7594743118364886,1.4101678859346636,0.03203515826315146,0.9131061817150334
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3467273049254223,1.0738685125264766,0.02475747918894456,0.9519510424945037,1.6723267852674044,1.3594294947707304,0.0314926450643569,0.9252731988333186
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2722538663045149,1.0250907385325854,0.023655832413190168,0.9575010613331628,1.8945608630923358,1.4713488471953209,0.03466186197714447,0.8995615588501533
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1818631569174889,0.9550631147283467,0.021834164491986822,0.9630968206351549,2.05530505100125,1.5173367385547685,0.034689473702618795,0.8874848305172163
