Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1804721672316623,1.6836570559413682,0.038903484123290276,0.8769383702014097,2.058905050842105,1.656756308273386,0.03863158126860391,0.8927009533715582
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.178158699519453,1.6952762007193813,0.03934509631265597,0.879093342597691,2.076629829458308,1.6195736143822157,0.0371765397779412,0.8838243385776455
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.198269631443103,1.7142566490793942,0.039627632935662925,0.8748026015771408,1.9886764057432427,1.564350452586313,0.03594839169622268,0.9001503328173461
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0968302963131547,1.6355684178305134,0.03775779252216229,0.8872956329659394,2.3858071524194737,1.8301412585069499,0.0427670260798778,0.8501941752303582
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0963689878423644,1.6374777553666278,0.037921119227544126,0.886220522344241,2.4111519378759727,1.837413911077827,0.04234144988733162,0.8532826260234028
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1391722105507736,1.6613628107041942,0.038500163497165105,0.88105568570473,2.231255192848516,1.730640207605503,0.039916729890915124,0.8762060605033181
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1606947117152036,1.675167726354956,0.03881732559168483,0.8792850357243042,2.183959426844969,1.6983147634414208,0.03920460557015312,0.8790213564284598
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1577093318612715,1.685323214880517,0.0390809475316818,0.8808684940379174,2.1462812466255494,1.6595941986623919,0.03783587270139195,0.8776056078918018
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1451000427125115,1.676770191015556,0.038774765975004656,0.8825745695436719,2.221329476248975,1.713251197619991,0.039404738401483626,0.8673778836377386
Local Model,204,O,Chemical + Properties CS Less,"(1295, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1493403418669033,1.6676619529157024,0.038395124167595954,0.8805475023327423,2.1925639961249463,1.702702154865327,0.04037694638096849,0.8767985371020115
