Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,O,Chemical + CS7,"(1295, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6653276779285962,1.322088676511551,0.029576513349416758,0.928217105265578,1.6559684413276756,1.315465819605529,0.029817491800527878,0.9305891541075425
Local Model,204,O,Chemical + CS7,"(1295, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6004731925477056,1.2642652732525095,0.02855125367338389,0.9347218278639922,1.8104499192343189,1.457956821043979,0.032539186917011485,0.9116981079691063
Local Model,204,O,Chemical + CS7,"(1295, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6875213123031305,1.3419329209493394,0.030103252992962907,0.926221144034234,1.6047357201117192,1.27554292126512,0.028216190757810244,0.9349832257105529
Local Model,204,O,Chemical + CS7,"(1295, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.667147315098492,1.330799777793148,0.029779906567605544,0.9287537298879073,1.6246090248390284,1.2607778659658544,0.028690174608069993,0.930536645794665
Local Model,204,O,Chemical + CS7,"(1295, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6119196658912451,1.277171312869746,0.028662176047972516,0.9327309537165283,1.7539905521733798,1.3815588873785893,0.0309840778953158,0.9223597565845337
Local Model,204,O,Chemical + CS7,"(1295, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6176376815245812,1.2782713890812114,0.028631476680833108,0.9319834341779272,1.7381286884429512,1.3919424550413626,0.03131763779089386,0.9248784135541818
Local Model,204,O,Chemical + CS7,"(1295, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6707008887686052,1.3317327835200836,0.030049731089091914,0.9278275082609018,1.8658400583354218,1.2921007988535762,0.028925386420345915,0.9116984341892608
Local Model,204,O,Chemical + CS7,"(1295, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.696091764253967,1.3398608866805735,0.030054087425478403,0.9263895550674508,1.70514218989369,1.3436632446524719,0.029603171799694305,0.9227480486666065
Local Model,204,O,Chemical + CS7,"(1295, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6398584695780258,1.3055811779655546,0.029340209901427158,0.9313754053309832,1.81289351504924,1.4044910769665104,0.03144767163295166,0.9116646394968868
Local Model,204,O,Chemical + CS7,"(1295, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.632366484090073,1.2928205546080838,0.028921255337052292,0.9310998459437989,1.6322018683134802,1.3015667418255308,0.029877268307360153,0.9317254180957207
Local Model,204,O,Chemical + CS7,"(1295, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.677446283823062,1.3404441840860375,0.030143070287628762,0.926775383480792,1.5620196007702456,1.2180493493982265,0.02695666397185584,0.9396184281589951
Local Model,204,O,Chemical + CS7,"(1295, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.604777530896056,1.2766047139701697,0.028646353501450533,0.933702791813947,1.724404307985177,1.389392525809152,0.0315031585819655,0.9231956301075681
Local Model,204,O,Chemical + CS7,"(1295, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.608200168406631,1.2751762880597797,0.02883840674278688,0.9339009947511694,1.8015807638496382,1.4290573827088109,0.03171622744917746,0.9132754485411453
Local Model,204,O,Chemical + CS7,"(1295, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6249412009199606,1.285960967457893,0.02881382782060209,0.9323333303122826,1.617561606315446,1.2822264947486202,0.029078854101865344,0.9310994573085356
Local Model,204,O,Chemical + CS7,"(1295, 9)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6878374351292222,1.3297955690479646,0.02957115066433698,0.926367813478529,1.8760718396356628,1.4314803134520544,0.03233431763332657,0.9105743150068992
Local Model,204,O,Chemical + CS7,"(1295, 9)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.275466327717142,3.3120973872677713,0.07635841145823223,0.5418963672958785,9.698329126328511,8.204208777501034,0.1977777932259768,-1.5565449947208716
