Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(1295, 15)",1,Chemical + Physical,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.087044538694143,0.2224139408183895,2.419325343772409,0.1767219397140365,0.055724222181988116,0.004011314649789002,0.7460285771447306,0.05214438317929017,9.351203755424287,8.1375083481679,4.878542110736553,1.7636828931508524,0.11117063081916174,0.03969788819705808,-3.6003203113861697,7.666214403554547
Local Model,204,"(1295, 15)",1,Chemical + Physical,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.3666071652061873,0.041686613953049775,1.1112056314377556,0.03149809040904056,0.02535119317167987,0.0006274533763801889,0.9496321936214929,0.00310207929492214,4.103920286431455,0.27809839231903166,2.6211135157286893,0.10090659166985642,0.052875492781674645,0.0018497295825497147,0.604737580883877,0.053737694836733414
Local Model,204,"(1295, 15)",1,Chemical + Physical,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3886592248647502,0.025135385579048927,1.125888614860741,0.021265101697173286,0.025561012139627016,0.00046739483659187124,0.9503095299778056,0.0017697038931208929,1.7001500545181072,0.17530304865667737,1.2643750830298073,0.06605106248075564,0.028694614705214304,0.0015026052143120921,0.9246703924993072,0.015422437640787256
Local Model,204,"(1295, 15)",1,Chemical + Physical,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.6738897439580505,0.5411764220535256,1.322409525977335,0.3956786944091753,0.030621429089979182,0.009773352241733136,0.9188047623813126,0.054377459763984795,5.726828261526949,3.1057022831473833,3.782260480020212,2.699123620417967,0.08401989103900635,0.05802284457806278,-0.2240835456572773,1.5040465605292415
Local Model,204,"(1295, 15)",7,Chemical + Physical,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4830924318506957,0.2342819303998357,1.1938057196424994,0.1970569619482682,0.02709631407956873,0.00439668320703824,0.9398062019553172,0.018578831100678168,13.580748348442087,10.53230045215985,9.988899518854478,6.552928561705867,0.22141509305533102,0.1475222677568978,-7.812382951507858,11.551325405454046
Local Model,204,"(1295, 15)",7,Chemical + Physical,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.3567932072492894,0.16461859871602072,1.1010476073374351,0.13595006220013872,0.025042065228501154,0.0027667659115557645,0.9490116757077559,0.012053966280939347,6.04460170731164,2.9410927285887034,3.506026094681989,1.3495455146623883,0.07105402209365642,0.025581432312573697,-0.0834897785022813,0.8191393988671992
Local Model,204,"(1295, 15)",7,Chemical + Physical,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1728928180333147,0.06293692809870864,0.9346797577483872,0.04522414428311591,0.021403870119873325,0.0011670374108537025,0.9636371740147094,0.0040733026443133934,1.9670112077324482,0.3969526270763274,1.4318195172506283,0.12825734725869153,0.03332593921166802,0.003396211808008864,0.8906858229169896,0.04889953240039954
Local Model,204,"(1295, 15)",7,Chemical + Physical,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.4658191739080841,0.37089767423823894,1.1987547228664874,0.3156355393670787,0.026788104766966178,0.006411277335851276,0.9363471645512231,0.033761872957779014,13.902632492025473,12.753949169972296,10.314592256336596,12.073010853914935,0.24358105579764702,0.2914404715209795,-9.663721299197947,18.200051026911584
Local Model,204,"(1295, 15)",14,Chemical + Physical,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4591889423365947,0.1999400441110274,1.1875175522380488,0.1561902571177996,0.027369705713829576,0.003916718160814954,0.9398648118600221,0.017886124906034785,9.67934734164423,7.277285804505016,7.359024335421048,4.897033014318415,0.16261206885702817,0.10684081898133503,-3.588072127057947,5.734797484732782
Local Model,204,"(1295, 15)",14,Chemical + Physical,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.0931424532993252,0.1085226311148789,0.8746978477251414,0.08936964023285704,0.020040472272325267,0.0021356893281536267,0.966858024863588,0.006605861853672514,3.294362169728687,1.1685844366835816,2.1682551551587657,0.42998484708043605,0.04595158248294042,0.007947759322776762,0.7038411322641566,0.206461080150606
Local Model,204,"(1295, 15)",14,Chemical + Physical,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1787089411873743,0.10802519402260523,0.9472084728408044,0.09408323938728574,0.021401017700860243,0.0020555391021056173,0.9626806596791411,0.006823237717176349,1.8826298812671713,0.35150307391833174,1.455194619659204,0.1419279558240923,0.03330193456270226,0.003117971148247665,0.8971987983113924,0.04653308237371056
Local Model,204,"(1295, 15)",14,Chemical + Physical,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.3113516933659497,0.36247459664172954,1.0649439802788707,0.3065936103077984,0.024325565078870806,0.006886990638301791,0.9483777214618524,0.028623321939072636,12.830625068545809,12.133455963062715,9.333897200912395,11.389613182926686,0.20796574022772188,0.24710452508334615,-8.334660801507288,15.307673823742649
