Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5131567737334242,1.174131914716956,0.02956249623121114,0.817726726457032,1.7109165943554945,1.2761130023452938,0.03161489307227162,0.7484382694614086
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7426550473200324,1.356495837321516,0.03433810378293696,0.763351392486095,1.8202872770191696,1.3966875488790353,0.03561821857074351,0.6905518957771446
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6848030960318752,1.318921962614003,0.03325107865762701,0.7632156553637292,1.693326711852574,1.3248276695683845,0.03393013556040497,0.7961439105193537
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6652137711928339,1.301261933916135,0.03297383491171027,0.77811733268706,1.724029483463753,1.3433946126283154,0.033569873177380784,0.754198483253925
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6611352358225293,1.3045138276198955,0.03297821928600015,0.7737175523440497,1.8126457554979876,1.3953807634407558,0.03524146699500187,0.7532109297306453
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7245788352934106,1.3411336327451695,0.03403498719930681,0.7613270509595846,1.511391667820375,1.2251161027047235,0.03034916726620432,0.8090825714318571
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.653104682117021,1.3021457118835842,0.0328552839183217,0.7818720465082658,1.7736583885072958,1.3554321252581631,0.03426792485993006,0.7367639950262659
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.652813338793017,1.2855677670198618,0.03254009820452374,0.7848500036603283,1.8055038221771265,1.3740599238825002,0.034512551690837875,0.7115792534334051
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5049587257946342,1.1704294367132742,0.029325697305266723,0.8128966899159216,1.6510582440690207,1.2408786525318198,0.03117359044812941,0.8005825114372086
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6610646031204097,1.2831968518647403,0.032419407860487394,0.7752486990921705,1.7401949357867348,1.3784407438687785,0.03533626019026026,0.7640331614774556
