Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,R,Chemical + Feature Engineering,"(1444, 13)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0004090839761606,1.522354984299961,0.03812249622070596,0.6814388747163866,2.4996817376693343,1.779698166632735,0.04376861915605038,0.463022200167968
Local Model,204,R,Chemical + Feature Engineering,"(1444, 13)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1013325117196398,1.5988600936823594,0.03972399189212729,0.6559111052540565,6.838988803975831,1.90046567659477,0.04740762901325293,-3.3680916775271363
Local Model,204,R,Chemical + Feature Engineering,"(1444, 13)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.107968554146095,1.5991036173502602,0.039523334950777624,0.6293338415835451,2.181887108112297,1.6897207250892083,0.042182534898852264,0.6615404888867786
Local Model,204,R,Chemical + Feature Engineering,"(1444, 13)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0361207750905637,1.5374133495644573,0.03834454985891014,0.6682656369450177,1.9199480897682004,1.4999931282650638,0.03746828538257402,0.6951584546366163
Local Model,204,R,Chemical + Feature Engineering,"(1444, 13)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0226328274782186,1.5267985887098476,0.038036574511722814,0.6645135455205908,2.158236622285803,1.546251894632975,0.038107736260033394,0.6501368835939918
Local Model,204,R,Chemical + Feature Engineering,"(1444, 13)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.054088232733424,1.564441300429307,0.03915764926077802,0.6614090977719531,1.9828513790722648,1.490835989453801,0.03656610688550642,0.6713967485430317
Local Model,204,R,Chemical + Feature Engineering,"(1444, 13)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.969579018536947,1.5098757161722556,0.03762213425728434,0.6903597344605497,2.0524580307587583,1.511998653477863,0.03755398381442486,0.6475042320744567
Local Model,204,R,Chemical + Feature Engineering,"(1444, 13)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9941706131543708,1.5127730204264322,0.037724668379711675,0.6868024551955956,2.0326019745072945,1.5797240070488212,0.03932076721730954,0.6344604619827092
Local Model,204,R,Chemical + Feature Engineering,"(1444, 13)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0792784616291167,1.5675132966144776,0.03872042800940474,0.64284428662307,2.2517092254096123,1.6625881060431984,0.04102325029460371,0.6290946747652482
Local Model,204,R,Chemical + Feature Engineering,"(1444, 13)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.018072653350642,1.5067814437575817,0.03738203502545606,0.6682562407353316,3.5248982851627018,1.7932057427697714,0.04510672658233468,0.03183728850145284
