Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.443161644557339,1.1270673343278628,0.028400749459665236,0.8341997822434876,1.6385761816442648,1.2351045633599833,0.030464919505882454,0.7692614432668604
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4673478236423863,1.152765901243532,0.028947650978397965,0.8322172760597619,1.5318618366440984,1.1951739839864024,0.03061576936613709,0.7808471349649677
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4667093730045337,1.1487467191621854,0.028872043737682155,0.8205502672745728,1.5582730788489734,1.255330735572894,0.03189903052853638,0.8273648184570134
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4483859123814546,1.1335685012619219,0.02856332596668223,0.8321381618647143,1.6208035312004663,1.3020482416383945,0.0326384137324856,0.7827519286829201
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4667658872966705,1.1595067151607525,0.029214589547542955,0.823574040246496,1.5625532388776735,1.188541644414266,0.029822868004660004,0.8166125161410772
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4969434217637576,1.1675587159524232,0.029443722803277016,0.8201759115003279,1.4812455008032361,1.190222079267139,0.029354348443904315,0.8166226816714139
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4578110979037464,1.1517343431613147,0.028966991677443862,0.8303659163886897,1.5519856775127745,1.200677449051484,0.030274425771557686,0.7984509503436693
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4512637975681977,1.1422095656622022,0.02879132537007253,0.8341228945716535,1.5312028653023193,1.2028038125219642,0.030188240803327476,0.7925587414649252
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4612115922579212,1.1546820537352458,0.02905566739214327,0.8236162750691922,1.6482719806830208,1.27027315344365,0.032100251293834536,0.8012550023310052
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.453830547300921,1.1459416229089652,0.02881008572988916,0.8278302905214965,1.5646170797316294,1.2141504430770873,0.031147890009783415,0.8092470308845738
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4818000875174957,1.1708978769541818,0.029505690891361448,0.8237338126171423,1.3832063048022267,1.0635732398643625,0.02667122029105517,0.8435753809212221
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4455212579602859,1.1374744470109155,0.028671262885105298,0.833140532220424,1.6027418675979277,1.2563009025811323,0.03159261221661151,0.7859475038867111
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4743915522601478,1.1639392305184235,0.02928901709653702,0.8252324104162801,1.4951780003715012,1.161339653569522,0.02924971025882257,0.8186684938514228
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4635674840870982,1.1333550392580238,0.028542705478438783,0.8273495197647321,1.5229261907035465,1.254379553349373,0.031537077786936915,0.8139158591090835
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4283015120788216,1.1261613987061392,0.028292790548340125,0.8336604265392896,1.7224802352829354,1.314027847713894,0.033262409827162415,0.7723517766431612
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.3024136380214615,1.038152747776197,0.026143682490326184,0.8201994281731739,1.448269655569789,1.1460905272385173,0.02754367640560401,0.13272094860668737
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.3902539969583658,1.1159834468675696,0.027455334676769867,0.8828172007023153,1.113296812385815,0.9024588486243939,0.0240410257382901,0.901732732828236
Local Model,204,R,Chemical + CS3 + CS7,"(1444, 12)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.9187058484366326,0.7395764458697777,0.018986836490175085,0.9341369884871101,1.9677192866603201,1.5170994857261917,0.03825625435982495,0.7022551074694994
