Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(1444, 17)",1,Chemical + Physical,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.3072466429686647,0.2031170220836276,1.0237847426704738,0.16118417720092013,0.025469437827680942,0.003537481734006732,0.8549825045261037,0.04138525868460222,3.368791629891899,0.4786591285896859,2.479498020040578,0.3476359554813036,0.06312142634701218,0.009402753296180094,-0.4616320926601558,0.8452176502218811
Local Model,204,"(1444, 17)",1,Chemical + Physical,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.2815814108451085,0.04993158413153635,0.9724791101232751,0.03511736430944402,0.024002673138934855,0.0007655124807488253,0.8700195785256478,0.009973661926111656,12.342366849529348,3.836207823368939,1.8039206569720028,0.18890681304307003,0.0450101074091812,0.004498466032464565,-14.800660897250049,9.360685806777928
Local Model,204,"(1444, 17)",1,Chemical + Physical,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2487577519333495,0.04477108698245723,0.96190025852087,0.0357822099496327,0.02404668144852379,0.0008216174090825694,0.874126497545982,0.010424085130865386,3.6838158337054057,4.542864428254432,1.216480497754752,0.2965193342069771,0.030240386107796217,0.00711712402271139,-1.8297813516675558,5.3543196812005895
Local Model,204,"(1444, 17)",1,Chemical + Physical,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2264476654195784,0.06321883571891412,0.9414270588781996,0.04821264732745557,0.02332524532045777,0.0012323217154702221,0.8699624594984,0.02923283563601838,5.660608689917223,6.618435275490383,1.8243118024190268,0.8375730686835529,0.045718218182166905,0.02102966701839095,-6.270257946018317,13.500367938778364
Local Model,204,"(1444, 17)",7,Chemical + Physical,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2290534079023219,0.25498082407886785,1.0004834485535228,0.21413559745758426,0.024939172593121773,0.005121380892869309,0.8661940171265731,0.0624504630908983,6.400248163490928,2.451903608482187,5.524125004643979,2.287440969842087,0.14341950232449563,0.06003644644577519,-4.1316571876610215,3.2552412640631485
Local Model,204,"(1444, 17)",7,Chemical + Physical,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.1543662335172036,0.09949838962417455,0.9127619347804558,0.08438132002798529,0.022687045614668472,0.002027661019765225,0.8943129391572541,0.018272021430237362,24.14693260440121,15.846244421658458,5.736714051174342,2.60483531493307,0.13984739794586187,0.061452093424561934,-77.30166979786289,87.41777185521764
Local Model,204,"(1444, 17)",7,Chemical + Physical,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.116528136807297,0.07740706615968329,0.8889286266084391,0.06671005968192666,0.02233358893248246,0.001616929318738013,0.8994234602905578,0.015174971993257298,5.893963816128443,8.601658553880398,1.9638217990185807,1.399575671049814,0.048271608191646796,0.03318249235869158,-7.9139263218012035,18.071708278120422
Local Model,204,"(1444, 17)",7,Chemical + Physical,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1409834305720385,0.23496422276342008,0.9177770372280147,0.2252757604797002,0.022801051867706274,0.005625859231767505,0.8850320398165608,0.05215753913198904,7.5127226305212735,6.159621329828098,3.8424201646771348,3.198178707512875,0.09679935290419478,0.08057001390867435,-7.381769935508939,11.03742300629856
Local Model,204,"(1444, 17)",14,Chemical + Physical,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.0321854864772408,0.22483726735508192,0.8160640225877951,0.18002137797668616,0.02050480671441671,0.004432297532992409,0.9090744473937786,0.03552649621031323,3.190174073461021,0.508311446058916,2.7855761098861698,0.42586658052476656,0.07020062289832697,0.012175366191789189,-0.3313003011216734,0.7484670403827994
Local Model,204,"(1444, 17)",14,Chemical + Physical,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.1100875048032608,0.054145487353867455,0.8684257325317994,0.04199456912270039,0.021498489934979808,0.0009505903447979965,0.9026005069644599,0.009618781977381991,62.45267023298109,9.169187700940075,16.198338266621676,1.9711524207735995,0.38132178883251294,0.04561772160744106,-370.70941554720895,106.43891628556351
Local Model,204,"(1444, 17)",14,Chemical + Physical,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.06283804899668,0.06365957954087728,0.845282868371198,0.05896892674734444,0.021370580889203943,0.0014922231241392971,0.908183138810357,0.012154459504965772,10.26849577486831,17.717489278697105,3.2268478494820823,3.9117268388289266,0.07836017546616461,0.09215293918210016,-33.70240383748117,78.49320369597672
Local Model,204,"(1444, 17)",14,Chemical + Physical,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.0321186431704492,0.07333827913765463,0.8113799949627541,0.06061005191008742,0.02014930028254095,0.0014744122618152596,0.9066982847348826,0.024534302774110665,20.646158477122523,29.109878747214765,7.615947418498101,7.166606253477208,0.18607203997772254,0.16525114518791004,-125.19633476006148,245.091322806371
