Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3631637710063926,1.0580896189647355,0.026086562904064622,0.939201947918838,1.2980354867242752,1.0297136718151614,0.025926789005503402,0.943840626524057
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3417536624595214,1.0534078271919805,0.02586185032771046,0.941042702606575,1.4512212339642903,1.078098537651776,0.02695616893702615,0.9307465523720464
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.374449750082504,1.0649375999985586,0.026454337591088107,0.9382506497553926,1.6195747466214547,1.2687761879906863,0.03142685963809132,0.9127528026923186
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.333290928821264,1.0407152586464217,0.025845149020672108,0.9418469355040219,1.6471860162769287,1.1893608130844942,0.029506031951445136,0.9104872033831736
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3783222164757611,1.0726848794672028,0.0266662488586581,0.9372848772282732,3.318696969884062,1.4307723040651217,0.03536901345984267,0.6473965315853953
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3566056212848832,1.0704497473580494,0.026370435981849225,0.9400355578388963,1.5605289670389544,1.2073865292119044,0.02994598916170959,0.9180473965867251
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.338228276599608,1.0421208755849765,0.025812686012756846,0.9416021307259341,1.564850635870382,1.0886397225516182,0.027123172992694965,0.9180162857755272
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3439033025162288,1.0572222982972017,0.026143855716304832,0.9396208458343739,1.4922319951884968,1.1350826131886445,0.028291973690531273,0.9324050456084768
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3554963292450641,1.060850957516228,0.026266383059896852,0.939865219056707,2.4473165197662268,1.3209754041850272,0.032377413180426286,0.8027952581161582
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3515402908959788,1.0447235116806122,0.025829588802743584,0.9405772752415025,3.0817339095299716,1.3383209829847214,0.033575206730828464,0.6758079393071839
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3559461484863877,1.042632388598813,0.025785997149540357,0.9395053952929538,2.1129352707676867,1.3188363654940733,0.03232873705107176,0.8556180296953587
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.375512519553225,1.0696326214742249,0.026404215339980577,0.9388598836957667,1.4436635102549982,1.1017196617690213,0.02707688501575447,0.9276034183659132
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3529189605172742,1.0513808978879582,0.02597252027702032,0.9389712137023141,1.401408633843107,1.0635858469995958,0.026663063822761734,0.9392187928398541
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3744824130325886,1.0689992799090284,0.02653822234619373,0.9386649370398006,1.475933276170735,1.1324631019178868,0.028312847093984028,0.9253999782217812
