Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.552937766717635,1.2455603998787754,0.030710474266553222,0.9210955134059033,1.531587542581315,1.1675463058666653,0.02926697692049272,0.921813319834293
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.533069493383411,1.2162076267170578,0.029955999616279688,0.9230310305502839,1.5999090015143675,1.2798352416595646,0.03238635817978843,0.9158285683870869
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5229727072110617,1.1797636331707921,0.029119939174385434,0.9241843435156991,1.75111830963592,1.3679442804659852,0.0334415103116765,0.8980046271075376
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.544454486242349,1.2124139697483953,0.029885099667357484,0.9219679554706435,1.5297965343070143,1.2157208484151953,0.030056657132122758,0.9227911332813166
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4365162782928544,1.1312241118756685,0.028178574485422853,0.9318772976815247,1.4677440226928562,1.149645702724043,0.02800642300516184,0.9310313026702594
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5374398340387416,1.2149703917175232,0.029982942925571854,0.9229836678856796,1.605666401710712,1.2848455985413838,0.032069568690809305,0.9132379659286838
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5499066360047677,1.2175695769549384,0.029995421185924673,0.921666474570588,1.5085076296840954,1.1631841027075,0.02854295854878744,0.9238137090951724
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5550886174377556,1.2322444132506039,0.03041084911132886,0.9191534917467468,1.5477618628780212,1.2030972038841248,0.029963854416365305,0.9272806703089649
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.500419915285206,1.1817659381393906,0.029122070967627506,0.9263191408011964,1.818943714600544,1.3689219436149729,0.0339000206035966,0.8910629548961666
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4284259067750205,1.1147325472120757,0.02783140187350114,0.9336241639502132,1.4762003463446938,1.2054871505408544,0.030007621695864316,0.9256120301216276
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5525673560915165,1.2047384272661499,0.02971115702830257,0.9206891397180068,1.664289390783409,1.3098834905816863,0.03234032182795062,0.9104226381103012
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5682277429616833,1.245020958438545,0.030738363084664957,0.9205277643437876,1.491396632853204,1.1434215978717217,0.02839441468013171,0.922736848614723
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5569363799214504,1.2187210507117199,0.029967997943057555,0.9191773846303922,1.6010293573745555,1.223217782507974,0.030404067114682357,0.9206698391980898
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5582615719258721,1.2355213692001366,0.030472120312660632,0.9211664357787729,1.5331382428673164,1.22206122629658,0.03083466422601759,0.9195051418749257
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3595617651293188,1.0746337202298237,0.026839530523936627,0.9392199999805465,1.698843581959791,1.3136628480818329,0.032066347124985475,0.9058054476802372
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.3817441615605832,1.0833510406414177,0.026074101685456007,0.9404306304924246,1.6039860242754589,1.2128375966686498,0.029731745702738552,0.9073306541330167
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.9812322277894426,0.7694731764012809,0.019277002455208646,0.9678508462353584,2.2125917147559506,1.6900721464996922,0.04077816025494215,0.8163737919290136
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.1952412028259654,0.927178687459388,0.023366503567799596,0.9500986360347344,2.246676618374693,1.8598098556495808,0.047097758028016905,0.7701139780306515
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.8670395416621755,0.688398846669867,0.01773855357934266,0.9699586466429048,1.0613303745143272,0.8685097147581674,0.02209843931409074,0.9631165263192144
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.034839130288435,0.816454088724484,0.02014394704496852,0.9714133410775343,1.6296860307274785,1.3662984836239687,0.0342362194292988,0.9116199216619216
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.387927926555,1.0866816990228967,0.026104906442926575,0.939260271320527,1.636588314649902,1.2891191037079615,0.03256885366988312,0.9091485152286848
Local Model,204,T,Chemical,"(1016, 9)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.532387313028895,1.1771952662721892,0.028966202018274215,0.9238863608892504,1.8419172395857557,1.4776352368614554,0.037840847465084156,0.8819013720401855
