Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.501075487972178,1.1501792212425195,0.028179624646491812,0.9262777365214773,1.4337106976762253,1.1497653661989697,0.02881849308113978,0.9314871278400128
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.474556345918569,1.1415673273515876,0.028010156085574625,0.9287943043906476,1.5795338309362648,1.1243640580200795,0.028231256826593804,0.9179587980312672
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4579892567863728,1.1217300203893457,0.027788742131844586,0.930516240794574,1.6232847055481459,1.2867753202692038,0.031619930855832146,0.9123526306718795
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4387578411990283,1.1122643446130507,0.02748131747805867,0.9322829291566994,1.4944039208283133,1.142919606175916,0.02810194636217102,0.9263223391702107
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.470919144672731,1.1293010739822666,0.027957278113380484,0.928575309837835,2.049597687677873,1.2811270389650844,0.03127366309240963,0.8655104231259952
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4649183005366762,1.131437823102979,0.027754567077869597,0.9300780740326828,1.5900822143167046,1.2310779590232699,0.030612469548576125,0.9149139730384753
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.506491087308737,1.1591585114726572,0.028641746017560293,0.9259935230276586,1.4980692831335032,1.1457551852822891,0.028812333567473737,0.9248644262863491
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4309284978254588,1.1100272991560483,0.02731306744285293,0.9315478885956323,1.6257041974631945,1.2198660300870243,0.02999430876918471,0.9197722452197702
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4377238976537154,1.0997309784461065,0.027125438759977593,0.9323480958641658,1.6991458958241972,1.216852306497508,0.02987720097294219,0.9049398682956332
Local Model,204,T,Chemical + Feature Engineering,"(1016, 12)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4936924770626947,1.1474228853082598,0.02848921396969668,0.9274200014283815,1.9329384634620406,1.2008257936374307,0.029770852901049655,0.8724594877061438
