Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2186031143198484,0.9587889958452134,0.024068702960248496,0.9514132150815483,1.199631929226541,0.9212655155492258,0.023384852836648644,0.952032713039956
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.225498290008109,0.9581847318440543,0.02403294575942311,0.9508167291266285,1.1704028071057928,0.922848850455339,0.02340137100158158,0.9549551796081194
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2011837869815354,0.9367433080888289,0.02353727789278255,0.9528378514232498,1.263650481000759,0.9988301993291622,0.025115492837147153,0.9468866828174728
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2188062817861838,0.951767234606295,0.023954742303220023,0.951404939755619,1.1948547876594322,0.930857596385067,0.023145708503736935,0.952899004239925
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.195777280011477,0.9341917838296689,0.023522274501905197,0.9527968089484949,1.2869107980504793,1.0103278096331376,0.025194599209104687,0.9469789563271801
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.186863982498352,0.9255532503084101,0.023152818786466238,0.9541025587620958,1.322701681754299,1.0477103512025217,0.026750519444345058,0.9411233763683069
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2332958665562417,0.9582121412795724,0.024040076850712886,0.9504012023104924,1.139302932135903,0.9156359276054372,0.02323520723225137,0.9565429503040632
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1933131633216354,0.9397995314227386,0.02368459525568695,0.9523942024820683,1.297042952313149,0.9946571974531316,0.024834735455630044,0.9489318293748198
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.209967961496121,0.9469750002048557,0.023843742555093694,0.9520844162620478,1.2331688091706499,0.9716381366559668,0.024298825178310095,0.9499294763962346
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2334019333619228,0.96579489758733,0.024299418672953065,0.9505115538850205,1.13670633658192,0.8764234508403794,0.021708085506745797,0.9558928839060393
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1823356862866385,0.9252136917949138,0.02328122839727709,0.9540047106116144,1.3368317663600786,1.0412288320526122,0.02594132688981346,0.9422044910654144
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2231447637902808,0.953770273160172,0.023984811263509737,0.9516548528657787,1.1786876030641757,0.9326685769411911,0.023431031731756577,0.9517404205267102
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.222517236518716,0.9573486896446389,0.02394055677711785,0.9501688226066662,1.1822932205583871,0.9190975197883785,0.023633643623038467,0.9567396386990931
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.241711406780098,0.9693620798729269,0.024299703921314492,0.9499421972911771,1.0979919280381656,0.8721972840916129,0.022197801305875058,0.9587139056957341
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1868415416874307,0.9353032124639057,0.023644260238953326,0.9536821609718298,1.3282911093524397,1.0212045751517818,0.025043866440323345,0.9424155092689306
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.2343860728695268,0.9510852037277101,0.02314918492391848,0.9524588422954199,1.4273231038220204,1.153008714232085,0.02871600693740541,0.9266196922144453
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.940509437376013,0.7004862230459883,0.017561958433265978,0.9704639609379526,1.8892012846259556,1.4086652482762345,0.034168988104592186,0.8661283652153884
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.243088535356066,0.9795902991804158,0.024677355203842646,0.9460234121679173,1.9370552584045313,1.5829365381392326,0.03906966690265954,0.8291104704775714
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.9186208409831373,0.7530239612359054,0.019405676610954582,0.9662779262575,0.761202538019366,0.5949139936432051,0.015297708976632077,0.9810272150483668
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.7839960007747111,0.6152488115885363,0.015192038436555763,0.9835923867704102,1.0101417221932345,0.7316782714604199,0.018172118456851395,0.9660444229848703
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.2382294050567177,0.9651134351927593,0.023414797327657947,0.9516561486825025,1.1448111380711623,0.9167328279144111,0.023492302640992186,0.9555449779914728
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.1582073193645874,0.900554881576699,0.02225754005836386,0.9565191523846606,1.6461983987554114,1.316017826824224,0.03403143952631168,0.9056658421965831
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.2672422603038573,0.9855116744535578,0.024525607101566416,0.9468938889475665,1.4403752563992298,1.1459421413180573,0.02901743066462392,0.9150949432859095
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.2993037236161202,1.0204285767874162,0.025548021228206465,0.9415399218551427,1.1559801397136091,0.9476499406712466,0.02557149268789874,0.9554618552836229
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.2525082987366363,0.976239453039324,0.02464976483906549,0.9464189319276545,1.0751299534753498,0.855396661886501,0.020340116150442036,0.967254415351306
Local Model,204,T,Chemical + CS3,"(1016, 10)",,Linear Regression,,Standard Scaler,,Median,,Out of time Split,"{""Test Size"": 0.2}",1.2683906022369793,0.9914995052577247,0.025019712934173023,0.9443919086020183,1.0339451220481835,0.8279263170125756,0.020048631620396357,0.9703751565792855
